date,open,high,low,close,average,volume,count
1632303000,6.78,6.78,6.78,6.78,6.78,1,1
1632303900,6.78,6.78,6.78,6.78,6.78,2,1
1632304800,6.78,6.78,6.78,6.78,6.78,0,0
1632305700,6.78,6.78,6.78,6.78,6.78,0,0
1632306600,6.78,6.78,6.78,6.78,6.78,0,0
1632307500,6.78,6.78,6.78,6.78,6.78,0,0
1632308400,6.84,6.87,6.81,6.85,6.822,31,11
1632309300,6.9,6.98,6.89,6.89,6.907,13,7
1632310200,6.94,6.94,6.9,6.9,6.904,11,2
1632311100,6.94,6.94,6.92,6.92,6.931,9,4
1632312000,6.99,6.99,6.82,6.94,6.904,156,18
1632312900,6.85,6.88,6.85,6.88,6.867,4,4
1632313800,6.85,6.94,6.85,6.85,6.864,65,4
1632314700,6.85,6.94,6.83,6.91,6.858,99,16
1632315600,6.92,6.92,6.85,6.86,6.862,17,3
1632316500,6.85,6.88,6.8,6.8,6.833,171,42
1632317400,6.8,6.9,6.78,6.85,6.826,2997,687
1632318300,6.85,6.91,6.75,6.75,6.831,3445,996
1632319200,6.76,6.77,6.67,6.7,6.721,3334,951
1632320100,6.69,6.73,6.66,6.71,6.694,1966,699
1632321000,6.72,6.73,6.66,6.69,6.686,1778,620
1632321900,6.68,6.71,6.66,6.71,6.692,1109,443
1632322800,6.71,6.74,6.68,6.72,6.716,1083,467
1632323700,6.72,6.76,6.71,6.76,6.736,664,332
1632324600,6.76,6.83,6.75,6.8,6.79,1942,870
1632325500,6.8,6.83,6.77,6.77,6.802,1432,486
1632326400,6.78,6.79,6.72,6.74,6.753,1317,392
1632327300,6.73,6.75,6.72,6.75,6.737,654,182
1632328200,6.75,6.77,6.73,6.77,6.755,761,247
1632329100,6.77,6.8,6.75,6.77,6.778,1098,312
1632330000,6.78,6.78,6.71,6.72,6.739,772,284
1632330900,6.71,6.73,6.68,6.73,6.706,601,260
1632331800,6.73,6.75,6.69,6.72,6.719,1066,314
1632332700,6.71,6.75,6.68,6.74,6.72,1151,313
1632333600,6.73,6.8,6.71,6.79,6.768,1105,358
1632334500,6.8,6.81,6.74,6.8,6.785,1433,547
1632335400,6.8,6.85,6.77,6.78,6.811,1388,592
1632336300,6.78,6.81,6.76,6.79,6.782,808,316
1632337200,6.79,6.83,6.78,6.79,6.802,604,268
1632338100,6.79,6.84,6.79,6.83,6.816,1036,361
1632339000,6.83,6.87,6.81,6.87,6.844,1138,490
1632339900,6.87,6.87,6.82,6.84,6.842,2610,994
1632340800,6.84,6.88,6.81,6.88,6.84,1032,15
1632341700,6.85,6.85,6.82,6.84,6.839,8,4
1632342600,6.82,6.82,6.82,6.82,6.82,3,2
1632343500,6.82,6.82,6.81,6.82,6.819,9,5
1632344400,6.81,6.81,6.8,6.8,6.802,20,2
1632345300,6.84,6.84,6.84,6.84,6.84,1,1
1632346200,6.84,6.84,6.84,6.84,6.84,0,0
1632347100,6.84,6.84,6.83,6.84,6.84,2,2
1632348000,6.84,6.84,6.8,6.8,6.804,10,6
1632348900,6.83,6.83,6.8,6.8,6.815,2,2
1632349800,6.8,6.8,6.8,6.8,6.8,3,2
