date,open,high,low,close,average,volume,count
1624366800,29.82,29.82,29.82,29.82,29.82,0,0
1624366801,29.82,29.82,29.82,29.82,29.82,0,0
1624366802,29.76,29.76,29.76,29.76,29.76,1,1
1624366803,29.76,29.76,29.76,29.76,29.76,0,0
1624366804,29.76,29.76,29.76,29.76,29.76,0,0
1624366805,29.76,29.76,29.76,29.76,29.76,0,0
1624366806,29.76,29.76,29.76,29.76,29.76,0,0
1624366807,29.8,29.8,29.8,29.8,29.8,9,3
1624366808,29.8,29.8,29.8,29.8,29.8,0,0
1624366809,29.8,29.8,29.8,29.8,29.8,0,0
1624366810,29.8,29.8,29.8,29.8,29.8,0,0
1624366811,29.8,29.8,29.8,29.8,29.8,0,0
1624366812,29.8,29.8,29.8,29.8,29.8,0,0
1624366813,29.8,29.8,29.8,29.8,29.8,1,1
1624366814,29.8,29.8,29.8,29.8,29.8,0,0
1624366815,29.8,29.8,29.8,29.8,29.8,0,0
1624366816,29.8,29.8,29.8,29.8,29.8,0,0
1624366817,29.8,29.8,29.8,29.8,29.8,0,0
1624366818,29.8,29.8,29.8,29.8,29.8,0,0
1624366819,29.8,29.8,29.8,29.8,29.8,0,0
1624366820,29.8,29.8,29.8,29.8,29.8,0,0
1624366821,29.8,29.8,29.8,29.8,29.8,0,0
1624366822,29.8,29.8,29.8,29.8,29.8,0,0
1624366823,29.8,29.8,29.8,29.8,29.8,0,0
1624366824,29.8,29.8,29.8,29.8,29.8,0,0
1624366825,29.8,29.8,29.8,29.8,29.8,0,0
1624366826,29.8,29.8,29.8,29.8,29.8,4,1
1624366827,29.8,29.8,29.8,29.8,29.8,0,0
1624366828,29.78,29.8,29.78,29.8,29.78404,4,2
1624366829,29.8,29.8,29.8,29.8,29.8,0,0
1624366830,29.8,29.8,29.8,29.8,29.8,0,0
1624366831,29.8,29.8,29.8,29.8,29.8,0,0
1624366832,29.8,29.8,29.8,29.8,29.8,0,0
1624366833,29.8,29.8,29.8,29.8,29.8,0,0
1624366834,29.8,29.8,29.8,29.8,29.8,0,0
1624366835,29.8,29.8,29.8,29.8,29.8,0,0
1624366836,29.89,29.89,29.89,29.89,29.89,8,1
1624366837,29.89,29.89,29.89,29.89,29.89,0,0
1624366838,29.89,29.89,29.89,29.89,29.89,0,0
1624366839,29.89,29.89,29.89,29.89,29.89,0,0
1624366840,29.89,29.89,29.89,29.89,29.89,0,0
1624366841,29.89,29.89,29.89,29.89,29.89,0,0
1624366842,29.89,29.89,29.89,29.89,29.89,0,0
1624366843,29.89,29.89,29.89,29.89,29.89,0,0
1624366844,29.89,29.89,29.89,29.89,29.89,0,0
1624366845,29.89,29.89,29.89,29.89,29.89,0,0
1624366846,29.89,29.89,29.89,29.89,29.89,0,0
1624366847,29.89,29.89,29.89,29.89,29.89,0,0
1624366848,29.83,29.83,29.81,29.81,29.81687,2,2
