date,open,high,low,close,average,volume,count
1629446580,33.99,33.99,33.99,33.99,33.99,1,1
1629446640,33.99,33.99,33.99,33.99,33.99,0,0
1629446700,33.99,33.99,33.99,33.99,33.99,0,0
1629446760,33.99,33.99,33.99,33.99,33.99,0,0
1629446820,33.99,33.99,33.99,33.99,33.99,0,0
1629446880,33.0,33.0,33.0,33.0,33.0,3,1
1629446940,33.0,33.0,33.0,33.0,33.0,0,0
1629447000,33.0,33.0,33.0,33.0,33.0,0,0
1629447060,33.0,33.0,33.0,33.0,33.0,0,0
1629447120,33.0,33.0,33.0,33.0,33.0,0,0
1629447180,33.0,33.0,33.0,33.0,33.0,0,0
1629447240,33.0,33.0,33.0,33.0,33.0,0,0
1629447300,33.0,33.0,33.0,33.0,33.0,0,0
1629447360,32.9,32.9,32.9,32.9,32.9,2,1
1629447420,32.9,32.9,32.9,32.9,32.9,0,0
1629447480,32.9,32.9,32.9,32.9,32.9,0,0
1629447540,32.9,32.9,32.9,32.9,32.9,0,0
1629447600,32.9,32.9,32.9,32.9,32.9,0,0
1629447660,32.9,32.9,32.9,32.9,32.9,0,0
1629447720,32.9,32.9,32.9,32.9,32.9,0,0
1629447780,32.9,32.9,32.9,32.9,32.9,0,0
1629447840,32.9,32.9,32.9,32.9,32.9,0,0
1629447900,32.9,32.9,32.9,32.9,32.9,0,0
1629447960,32.9,32.9,32.9,32.9,32.9,0,0
1629448020,32.9,32.9,32.9,32.9,32.9,0,0
1629448080,32.9,32.9,32.9,32.9,32.9,0,0
1629448140,32.9,32.9,32.9,32.9,32.9,0,0
1629448200,32.9,32.9,32.9,32.9,32.9,0,0
1629448260,32.9,32.9,32.9,32.9,32.9,0,0
1629448320,32.9,32.9,32.9,32.9,32.9,0,0
1629448380,32.8,32.8,32.75,32.75,32.77273,5,2
1629448440,32.9,32.9,32.9,32.9,32.9,1,1
1629448500,32.9,32.9,32.9,32.9,32.9,0,0
1629448560,32.9,32.9,32.9,32.9,32.9,0,0
1629448620,32.85,32.85,32.85,32.85,32.85,1,1
1629448680,32.85,32.85,32.85,32.85,32.85,0,0
1629448740,32.85,32.85,32.85,32.85,32.85,0,0
1629448800,32.85,32.85,32.85,32.85,32.85,0,0
1629448860,32.85,32.85,32.85,32.85,32.85,0,0
1629448920,32.85,32.85,32.85,32.85,32.85,0,0
1629448980,32.87,32.87,32.85,32.85,32.8568,2,2
1629449040,32.85,32.85,32.85,32.85,32.85,0,0
1629449100,32.85,32.85,32.85,32.85,32.85,0,0
1629449160,32.85,32.85,32.85,32.85,32.85,0,0
1629449220,32.85,32.85,32.85,32.85,32.85,0,0
1629449280,32.85,32.85,32.85,32.85,32.85,0,0
1629449340,32.85,32.85,32.85,32.85,32.85,0,0
1629449400,32.85,32.85,32.85,32.85,32.85,0,0
1629449460,32.85,32.85,32.85,32.85,32.85,0,0
1629449520,32.85,32.85,32.85,32.85,32.85,4,1
1629449580,32.85,32.85,32.85,32.85,32.85,0,0
1629449640,32.85,32.85,32.85,32.85,32.85,0,0
1629449700,32.85,32.85,32.85,32.85,32.85,0,0
1629449760,32.85,32.85,32.85,32.85,32.85,0,0
1629449820,32.85,32.85,32.85,32.85,32.85,0,0
1629449880,32.85,32.85,32.85,32.85,32.85,0,0
1629449940,32.85,32.85,32.85,32.85,32.85,0,0
1629450000,32.85,32.85,32.85,32.85,32.85,0,0
1629450060,32.94,32.94,32.94,32.94,32.94,1,1
1629450120,32.94,32.94,32.94,32.94,32.94,0,0
1629450180,32.94,32.94,32.94,32.94,32.94,0,0
1629450240,32.94,32.94,32.94,32.94,32.94,0,0
1629450300,32.94,32.94,32.94,32.94,32.94,0,0
1629450360,32.94,32.94,32.94,32.94,32.94,0,0
