date,open,high,low,close,average,volume,count
1632124800,320.0,320.0,320.0,320.0,320.0,4,1
1632125100,320.0,320.0,320.0,320.0,320.0,0,0
1632125400,320.0,320.0,320.0,320.0,320.0,0,0
1632125700,318.0,318.0,318.0,318.0,318.0,1,1
1632126000,318.0,318.0,318.0,318.0,318.0,0,0
1632126300,318.0,318.0,318.0,318.0,318.0,0,0
1632126600,318.0,318.0,318.0,318.0,318.0,0,0
1632126900,318.5,318.5,318.5,318.5,318.5,1,1
1632127200,318.5,318.5,318.5,318.5,318.5,0,0
1632127500,318.5,318.5,318.5,318.5,318.5,0,0
1632127800,318.5,318.5,318.5,318.5,318.5,0,0
1632128100,318.5,318.5,318.5,318.5,318.5,0,0
1632128400,318.5,318.5,318.5,318.5,318.5,0,0
1632128700,318.5,318.5,318.5,318.5,318.5,2,1
1632129000,318.5,318.5,318.5,318.5,318.5,0,0
1632129300,318.5,318.5,318.5,318.5,318.5,0,0
1632129600,318.5,318.5,318.5,318.5,318.5,0,0
1632129900,318.5,318.5,318.5,318.5,318.5,0,0
1632130200,318.5,318.5,318.5,318.5,318.5,0,0
1632130500,318.5,318.5,318.5,318.5,318.5,0,0
1632130800,318.5,318.5,318.5,318.5,318.5,0,0
1632131100,318.5,318.5,318.5,318.5,318.5,0,0
1632131400,318.5,318.5,318.5,318.5,318.5,0,0
1632131700,318.5,318.5,318.5,318.5,318.5,0,0
1632132000,318.5,318.5,318.5,318.5,318.5,0,0
1632132300,318.5,318.5,318.5,318.5,318.5,0,0
1632132600,318.5,318.5,318.5,318.5,318.5,0,0
1632132900,318.5,318.5,318.5,318.5,318.5,0,0
1632133200,318.5,318.5,318.5,318.5,318.5,0,0
1632133500,318.5,318.5,318.5,318.5,318.5,0,0
1632133800,318.5,318.5,318.5,318.5,318.5,0,0
1632134100,318.5,318.5,318.5,318.5,318.5,0,0
1632134400,318.5,318.5,318.5,318.5,318.5,0,0
1632134700,317.34,317.34,317.34,317.34,317.34,1,1
1632135000,317.34,317.34,317.34,317.34,317.34,0,0
1632135300,317.34,317.34,317.34,317.34,317.34,0,0
1632135600,318.01,318.3,318.01,318.26,318.145,4,4
1632135900,318.0,318.01,318.0,318.0,318.001,27,14
1632136200,318.0,318.0,318.0,318.0,318.0,0,0
1632136500,317.83,317.83,317.7,317.7,317.742,6,3
1632136800,317.7,317.7,317.7,317.7,317.7,0,0
1632137100,317.23,317.23,317.11,317.11,317.144,5,5
1632137400,317.11,317.11,317.11,317.11,317.11,0,0
1632137700,316.6,317.0,316.6,317.0,316.822,2,2
1632138000,317.2,317.2,317.0,317.0,317.073,3,3
1632138300,316.5,316.5,315.61,315.61,315.951,18,7
1632138600,315.02,315.02,315.01,315.01,315.013,3,3
1632138900,315.98,315.98,315.98,315.98,315.98,1,1
1632139200,318.0,318.38,315.01,315.05,316.961,23,10
1632139500,315.1,316.0,315.1,316.0,315.714,10,9
1632139800,316.0,316.0,316.0,316.0,316.0,0,0
1632140100,315.71,315.71,315.7,315.7,315.705,2,2
1632140400,315.22,315.23,315.0,315.0,315.109,6,5
1632140700,315.0,315.0,315.0,315.0,315.0,7,3
1632141000,313.75,314.5,313.75,313.75,313.893,7,4
1632141300,314.9,314.9,314.65,314.65,314.838,4,2
1632141600,314.5,315.0,314.5,315.0,314.853,8,4
1632141900,314.5,314.99,314.0,314.99,314.498,4,4
1632142200,315.05,315.05,315.05,315.05,315.05,1,1
1632142500,315.38,315.5,315.0,315.0,315.4,8,5
1632142800,315.41,315.5,315.0,315.0,315.416,9,4
1632143100,315.0,315.0,314.8,314.8,314.966,11,6
1632143400,315.0,315.0,315.0,315.0,315.0,2,2
1632143700,315.0,315.5,315.0,315.5,315.294,2,2
1632144000,315.5,315.5,315.5,315.5,315.5,1,1
1632144300,315.5,316.0,315.5,316.0,315.913,9,4
1632144600,316.84,317.36,314.24,314.75,316.06,977,323
1632144900,314.81,317.35,314.81,316.3,316.141,530,268
1632145200,316.44,319.0,315.3,318.67,316.849,664,356
1632145500,318.92,319.33,317.62,318.79,318.627,398,175
1632145800,318.98,319.2,317.13,317.48,318.035,358,130
1632146100,317.33,318.84,316.5,318.78,317.857,426,160
1632146400,318.67,319.3,317.1,317.1,318.445,189,99
1632146700,317.07,317.81,316.52,316.68,317.006,232,112
1632147000,316.66,316.78,316.05,316.27,316.389,104,55
1632147300,316.3,316.9,314.55,314.79,315.857,323,164
1632147600,314.88,314.89,313.82,314.0,314.26,391,194
1632147900,313.87,315.09,312.56,314.19,313.877,552,305
1632148200,314.14,314.94,313.22,313.54,313.836,265,127
1632148500,313.35,314.85,313.12,314.52,314.114,277,115
1632148800,314.26,314.85,313.62,314.28,314.295,138,101
1632149100,314.2,314.63,313.55,314.5,314.054,151,76
1632149400,314.36,315.29,313.89,314.98,314.586,167,83
1632149700,315.03,315.1,313.84,314.28,314.449,231,95
1632150000,314.23,314.23,312.08,313.26,313.085,305,181
1632150300,313.49,315.77,313.41,315.16,314.804,342,174
1632150600,315.05,315.68,314.65,315.49,315.031,117,81
1632150900,315.31,315.5,314.8,315.28,315.186,94,63
1632151200,315.13,315.31,314.85,314.96,315.094,78,40
1632151500,315.07,315.94,314.86,315.37,315.384,229,103
1632151800,315.6,315.75,314.56,314.79,315.021,100,34
1632152100,314.95,315.06,314.43,314.52,314.716,53,49
1632152400,314.43,314.8,314.4,314.57,314.653,61,39
1632152700,314.72,315.13,314.53,315.0,314.828,68,54
1632153000,314.85,314.85,313.9,314.2,314.227,118,82
1632153300,314.12,314.23,313.61,313.81,313.982,103,53
1632153600,313.7,313.92,313.33,313.59,313.593,81,59
