date,open,high,low,close,average,volume,count
1654695000,97.89,97.9,97.89,97.9,97.892,5,5
1654695001,97.89,97.91,97.83,97.87,97.889,903,13
1654695002,97.88,98.17,97.88,98.03,97.988,61,41
1654695003,98.18,98.43,98.04,98.24,98.243,28,17
1654695004,98.26,98.4,98.1,98.39,98.267,18,9
1654695005,98.41,98.46,98.29,98.29,98.383,16,16
1654695006,98.28,98.38,98.28,98.28,98.322,21,4
1654695007,98.28,98.5,98.27,98.36,98.438,64,28
1654695008,98.49,98.55,98.38,98.41,98.446,34,18
1654695009,98.32,98.47,98.32,98.39,98.401,13,6
1654695010,98.47,98.47,98.47,98.47,98.47,1,1
1654695011,98.45,98.55,98.36,98.54,98.499,7,6
1654695012,98.59,98.75,98.58,98.67,98.648,34,9
1654695013,98.52,98.68,98.32,98.68,98.582,70,36
1654695014,98.38,98.55,98.38,98.55,98.481,3,3
1654695015,98.5,98.61,98.35,98.35,98.592,59,6
1654695016,98.58,98.7,98.5,98.54,98.619,23,22
1654695017,98.71,98.71,98.71,98.71,98.71,6,6
1654695018,98.71,98.71,98.71,98.71,98.71,1,1
1654695019,98.67,98.71,98.65,98.71,98.694,47,21
1654695020,98.63,98.68,98.62,98.62,98.664,17,7
1654695021,98.7,98.7,98.54,98.62,98.585,23,22
1654695022,98.7,98.71,98.54,98.71,98.657,8,6
1654695023,98.63,98.63,98.33,98.33,98.522,21,19
1654695024,98.47,98.47,98.46,98.46,98.464,3,2
1654695025,98.4,98.4,98.32,98.32,98.337,7,5
1654695026,98.49,98.49,98.49,98.49,98.49,10,1
1654695027,98.12,98.26,98.1,98.1,98.148,4,3
1654695028,98.2,98.23,98.2,98.23,98.215,2,2
1654695029,98.11,98.21,97.99,98.21,98.078,14,13
1654695030,97.82,97.99,97.82,97.85,97.933,43,6
1654695031,98.0,98.03,97.91,98.0,97.968,13,9
1654695032,97.93,98.23,97.84,98.0,98.144,101,9
1654695033,98.07,98.22,98.02,98.09,98.133,23,17
1654695034,98.0,98.18,98.0,98.0,98.052,10,8
1654695035,97.95,98.19,97.94,98.19,98.105,4,2
1654695036,98.06,98.07,98.06,98.06,98.065,4,1
1654695037,98.12,98.22,98.12,98.22,98.131,9,4
1654695038,98.12,98.23,98.12,98.21,98.186,19,11
1654695039,98.27,98.36,98.26,98.29,98.294,6,3
1654695040,98.38,98.6,98.38,98.51,98.555,40,12
1654695041,98.51,98.52,98.4,98.45,98.424,22,19
1654695042,98.36,98.62,98.25,98.36,98.388,15,11
1654695043,98.36,98.36,98.25,98.32,98.311,3,3
1654695044,98.32,98.33,98.32,98.32,98.32,0,0
1654695045,98.21,98.31,98.16,98.16,98.199,31,7
1654695046,98.1,98.25,98.1,98.21,98.155,9,5
1654695047,98.15,98.15,98.14,98.15,98.148,2,1
1654695048,98.29,98.29,98.28,98.29,98.29,1,1
1654695049,98.28,98.28,98.2,98.2,98.21,23,2
1654695050,98.2,98.2,98.2,98.2,98.2,0,0
1654695051,98.2,98.32,98.2,98.28,98.278,10,9
1654695052,98.32,98.36,98.31,98.31,98.341,8,4
1654695053,98.2,98.21,98.2,98.2,98.201,1,1
1654695054,98.36,98.36,98.36,98.36,98.36,1,1
1654695055,98.4,98.41,98.4,98.4,98.402,10,1
1654695056,98.4,98.43,98.29,98.29,98.352,6,5
1654695057,98.31,98.36,98.31,98.31,98.34,15,5
1654695058,98.3,98.31,98.3,98.3,98.304,2,1
1654695059,98.2,98.32,98.2,98.32,98.293,7,3
1654695060,98.21,98.23,97.89,97.91,98.015,74,21
1654695061,97.89,98.1,97.86,97.94,97.9,26,13
1654695062,98.02,98.14,97.88,97.94,97.987,36,16
1654695063,97.95,98.01,97.8,97.82,97.846,54,24
1654695064,97.86,97.99,97.82,97.94,97.931,25,15
1654695065,97.87,98.07,97.86,98.06,97.941,34,17
1654695066,98.04,98.31,98.01,98.31,98.087,13,7
1654695067,98.18,98.18,98.18,98.18,98.18,1,1
1654695068,98.18,98.26,98.12,98.26,98.173,13,11
1654695069,98.1,98.1,98.1,98.1,98.1,5,2
1654695070,98.2,98.36,98.17,98.35,98.23,42,22
1654695071,98.3,98.53,98.25,98.43,98.408,54,41
1654695072,98.42,98.45,98.11,98.25,98.358,86,32
1654695073,98.07,98.25,98.04,98.06,98.098,19,15
1654695074,98.06,98.06,97.9,97.92,97.973,14,7
1654695075,98.06,98.07,98.06,98.06,98.063,2,2
1654695076,98.07,98.17,98.07,98.17,98.129,3,2
1654695077,98.09,98.09,97.97,97.97,98.035,55,40
1654695078,97.94,97.94,97.55,97.62,97.703,72,22
1654695079,97.62,97.72,97.38,97.41,97.536,78,27
1654695080,97.65,97.65,97.22,97.31,97.325,30,18
1654695081,97.38,97.38,97.22,97.38,97.287,33,12
1654695082,97.41,97.51,97.03,97.24,97.187,483,108
1654695083,97.05,97.18,97.05,97.12,97.11,77,26
1654695084,97.05,97.18,97.05,97.18,97.118,23,10
1654695085,97.14,97.32,97.11,97.27,97.196,59,37
1654695086,97.34,97.34,97.09,97.09,97.27,24,9
1654695087,97.22,97.28,97.08,97.28,97.125,13,10
1654695088,97.09,97.23,97.02,97.04,97.061,60,46
1654695089,97.04,97.05,96.8,96.93,96.991,112,28
1654695090,96.8,96.98,96.55,96.63,96.703,101,69
1654695091,96.72,96.82,96.62,96.73,96.739,34,12
1654695092,96.7,96.74,96.65,96.72,96.682,33,20
1654695093,96.8,96.86,96.44,96.44,96.664,48,29
1654695094,96.41,96.59,96.38,96.54,96.492,23,14
1654695095,96.45,96.56,96.37,96.5,96.471,72,15
1654695096,96.37,96.57,96.36,96.46,96.459,45,15
1654695097,96.38,96.67,96.38,96.58,96.572,40,28
1654695098,96.56,96.65,96.46,96.65,96.545,41,25
1654695099,96.63,96.98,96.47,96.71,96.764,50,31
1654695100,96.83,97.08,96.73,97.08,96.899,47,18
1654695101,97.03,97.21,97.03,97.09,97.116,37,18
1654695102,97.2,97.22,96.94,97.08,97.102,68,25
1654695103,97.02,97.1,96.86,97.04,96.983,23,10
1654695104,96.85,97.03,96.85,96.94,96.927,10,5
1654695105,97.01,97.01,96.79,96.79,96.869,19,13
1654695106,96.9,96.9,96.73,96.73,96.791,21,7
1654695107,96.68,96.86,96.62,96.62,96.74,18,8
1654695108,96.71,96.79,96.68,96.68,96.752,8,3
1654695109,96.61,96.62,96.61,96.61,96.613,3,3
1654695110,96.61,96.68,96.45,96.54,96.536,33,20
1654695111,96.48,96.55,96.45,96.54,96.487,37,11
1654695112,96.5,96.85,96.5,96.67,96.707,56,31
1654695113,96.67,96.68,96.63,96.64,96.661,11,4
1654695114,96.8,96.88,96.8,96.86,96.839,23,16
1654695115,96.9,97.11,96.9,97.08,97.042,49,30
1654695116,96.93,96.98,96.93,96.98,96.968,4,2
1654695117,97.07,97.07,96.87,96.87,97.033,11,4
1654695118,97.04,97.04,97.04,97.04,97.04,1,1
1654695119,96.98,97.01,96.83,97.01,96.962,6,6
1654695120,97.0,97.05,96.81,96.86,96.924,61,30
1654695121,96.81,96.81,96.81,96.81,96.81,10,1
1654695122,96.77,96.92,96.77,96.81,96.845,41,6
1654695123,96.79,96.9,96.79,96.9,96.844,18,7
1654695124,96.95,96.95,96.94,96.95,96.946,9,2
1654695125,96.87,96.95,96.7,96.7,96.831,39,20
1654695126,96.7,96.7,96.7,96.7,96.7,0,0
1654695127,96.69,96.75,96.54,96.65,96.705,34,14
1654695128,96.74,96.81,96.54,96.78,96.717,16,14
1654695129,96.8,96.8,96.71,96.78,96.754,7,4
1654695130,96.76,96.9,96.75,96.87,96.815,8,5
1654695131,96.82,96.9,96.82,96.82,96.859,18,8
1654695132,96.77,96.91,96.72,96.88,96.797,57,32
1654695133,96.74,97.12,96.71,97.12,96.908,13,6
1654695134,97.16,97.28,97.15,97.28,97.25,45,7
1654695135,97.03,97.27,97.03,97.18,97.125,12,8
1654695136,97.17,97.34,97.01,97.34,97.245,15,13
1654695137,97.42,97.47,97.27,97.29,97.369,7,4
1654695138,97.37,97.52,97.37,97.45,97.48,28,20
1654695139,97.49,97.51,97.31,97.31,97.451,4,4
1654695140,97.49,97.52,97.26,97.44,97.348,116,22
1654695141,97.11,97.39,97.05,97.2,97.169,13,7
1654695142,97.12,97.12,97.0,97.0,97.048,2,2
1654695143,96.87,96.87,96.66,96.76,96.753,27,15
1654695144,96.75,96.9,96.75,96.84,96.759,62,44
1654695145,96.84,96.91,96.83,96.9,96.868,2,2
1654695146,96.89,96.94,96.8,96.81,96.916,43,28
1654695147,96.87,96.87,96.86,96.87,96.865,1,1
1654695148,96.93,96.95,96.88,96.92,96.924,9,8
1654695149,96.89,97.0,96.89,97.0,96.946,4,3
1654695150,96.89,96.93,96.89,96.91,96.92,14,3
1654695151,96.88,97.0,96.87,97.0,96.972,10,10
1654695152,96.96,96.96,96.91,96.92,96.946,8,2
1654695153,96.83,96.83,96.82,96.83,96.826,1,1
1654695154,96.92,96.92,96.75,96.8,96.832,13,11
1654695155,96.97,96.97,96.86,96.87,96.94,9,9
1654695156,96.9,96.9,96.81,96.81,96.897,83,4
1654695157,96.8,96.86,96.75,96.83,96.783,52,43
1654695158,96.75,96.8,96.75,96.79,96.783,40,2
1654695159,96.85,96.9,96.83,96.83,96.876,5,4
1654695160,96.81,96.82,96.75,96.75,96.755,22,2
1654695161,96.84,96.95,96.78,96.79,96.898,16,7
1654695162,96.79,96.79,96.78,96.79,96.79,0,0
1654695163,96.94,96.95,96.8,96.8,96.838,11,5
1654695164,96.93,96.95,96.81,96.95,96.924,13,4
1654695165,96.88,96.95,96.87,96.92,96.933,8,3
1654695166,96.94,96.95,96.85,96.86,96.912,22,12
1654695167,96.8,96.85,96.75,96.75,96.777,30,14
1654695168,96.75,96.96,96.75,96.86,96.847,25,21
1654695169,96.86,96.88,96.86,96.87,96.874,11,2
1654695170,96.96,96.96,96.96,96.96,96.96,2,1
1654695171,96.76,96.86,96.76,96.86,96.787,11,2
1654695172,96.96,97.19,96.95,97.18,97.036,27,22
1654695173,97.03,97.11,97.03,97.05,97.101,32,3
1654695174,97.04,97.12,97.01,97.12,97.038,7,7
1654695175,97.03,97.11,97.03,97.03,97.065,29,5
1654695176,97.03,97.03,97.03,97.03,97.03,1,1
1654695177,97.03,97.16,97.03,97.16,97.088,12,9
1654695178,97.11,97.11,97.11,97.11,97.11,1,1
1654695179,97.14,97.42,97.14,97.42,97.292,18,11
1654695180,97.35,97.49,97.3,97.45,97.409,25,15
1654695181,97.29,97.47,97.17,97.47,97.302,5,3
1654695182,97.48,97.5,97.48,97.49,97.493,47,30
1654695183,97.49,97.49,97.44,97.45,97.468,14,14
1654695184,97.4,97.51,97.4,97.43,97.437,10,5
1654695185,97.43,97.43,97.43,97.43,97.43,0,0
1654695186,97.35,97.36,97.35,97.35,97.353,1,1
1654695187,97.43,97.59,97.33,97.57,97.451,59,26
1654695188,97.51,97.52,97.49,97.51,97.505,26,5
1654695189,97.51,97.53,97.49,97.49,97.506,15,10
1654695190,97.49,97.52,97.43,97.49,97.474,12,7
1654695191,97.4,97.41,97.4,97.41,97.403,7,2
1654695192,97.5,97.6,97.49,97.49,97.532,3,3
1654695193,97.49,97.51,97.49,97.51,97.493,6,6
1654695194,97.53,97.53,97.46,97.48,97.495,13,7
1654695195,97.48,97.59,97.47,97.51,97.569,61,8
1654695196,97.57,97.58,97.46,97.51,97.502,25,24
1654695197,97.49,97.58,97.4,97.57,97.508,37,30
1654695198,97.4,97.58,97.4,97.5,97.504,64,36
1654695199,97.5,97.5,97.3,97.31,97.444,29,17
1654695200,97.47,97.5,97.34,97.42,97.459,49,22
1654695201,97.47,97.5,97.37,97.37,97.437,11,7
1654695202,97.37,97.37,97.37,97.37,97.37,0,0
1654695203,97.5,97.51,97.5,97.51,97.505,2,2
1654695204,97.49,97.55,97.4,97.55,97.49,27,10
1654695205,97.44,97.55,97.41,97.42,97.447,5,5
1654695206,97.42,97.55,97.36,97.55,97.446,9,7
1654695207,97.41,97.49,97.4,97.49,97.446,6,4
1654695208,97.32,97.37,97.3,97.37,97.322,8,8
1654695209,97.37,97.37,97.36,97.37,97.37,0,0
1654695210,97.37,97.37,97.36,97.37,97.37,0,0
1654695211,97.25,97.31,97.21,97.21,97.235,21,3
1654695212,97.21,97.21,97.21,97.21,97.21,0,0
1654695213,97.31,97.4,97.31,97.4,97.364,5,5
1654695214,97.31,97.31,97.3,97.31,97.308,2,1
1654695215,97.21,97.21,97.21,97.21,97.21,4,1
1654695216,97.14,97.14,97.0,97.0,97.018,13,11
1654695217,97.1,97.1,97.0,97.01,97.072,13,3
1654695218,96.93,97.04,96.93,97.03,96.959,7,2
1654695219,97.02,97.03,96.93,96.93,96.961,29,16
1654695220,96.98,96.98,96.93,96.93,96.943,7,6
1654695221,96.91,96.99,96.91,96.99,96.945,3,3
1654695222,96.81,96.81,96.81,96.81,96.81,4,1
1654695223,96.96,96.96,96.82,96.82,96.935,32,4
1654695224,96.9,96.92,96.89,96.92,96.917,5,2
1654695225,96.82,96.84,96.78,96.78,96.785,34,5
1654695226,96.76,96.82,96.75,96.82,96.797,19,7
1654695227,96.82,96.82,96.81,96.82,96.82,0,0
1654695228,96.84,96.92,96.75,96.84,96.857,11,10
1654695229,96.77,96.98,96.77,96.98,96.887,9,8
1654695230,96.99,97.06,96.93,96.93,97.03,16,3
1654695231,97.17,97.18,97.0,97.04,97.104,20,5
1654695232,97.09,97.09,97.01,97.01,97.041,4,4
1654695233,97.15,97.15,96.99,96.99,97.074,10,4
1654695234,96.96,96.99,96.95,96.98,96.965,4,2
1654695235,97.03,97.05,96.95,96.99,97.034,56,11
1654695236,96.93,97.0,96.93,97.0,96.989,6,2
1654695237,97.06,97.07,96.99,96.99,97.038,6,3
1654695238,97.0,97.0,96.95,96.95,96.998,31,2
1654695239,96.92,97.05,96.92,97.05,97.022,5,4
1654695240,97.05,97.07,96.94,96.95,97.054,56,16
1654695241,97.13,97.38,97.06,97.33,97.255,49,41
1654695242,97.25,97.36,97.25,97.36,97.307,12,8
1654695243,97.33,97.34,97.33,97.33,97.332,2,1
1654695244,97.35,97.54,97.35,97.54,97.494,26,15
1654695245,97.45,97.55,97.44,97.55,97.525,16,6
1654695246,97.5,97.5,97.49,97.5,97.497,1,1
1654695247,97.52,97.52,97.52,97.52,97.52,1,1
1654695248,97.49,97.51,97.42,97.43,97.458,17,11
1654695249,97.42,97.53,97.41,97.53,97.482,5,2
1654695250,97.52,97.53,97.52,97.52,97.525,2,1
1654695251,97.55,97.55,97.43,97.45,97.51,50,22
1654695252,97.44,97.57,97.44,97.56,97.494,5,3
1654695253,97.49,97.58,97.45,97.5,97.525,29,26
1654695254,97.5,97.55,97.24,97.55,97.429,105,57
1654695255,97.29,97.53,97.16,97.16,97.312,18,9
1654695256,97.15,97.24,97.15,97.17,97.191,5,5
1654695257,97.17,97.17,97.17,97.17,97.17,0,0
1654695258,97.28,97.28,97.28,97.28,97.28,5,1
1654695259,97.33,97.49,97.32,97.4,97.392,23,11
1654695260,97.4,97.4,97.39,97.39,97.395,2,2
1654695261,97.4,97.4,97.4,97.4,97.4,2,2
1654695262,97.4,97.49,97.4,97.49,97.44,3,2
1654695263,97.48,97.49,97.43,97.43,97.442,16,2
1654695264,97.31,97.31,97.31,97.31,97.31,1,1
1654695265,97.31,97.31,97.31,97.31,97.31,0,0
1654695266,97.31,97.31,97.31,97.31,97.31,0,0
1654695267,97.31,97.31,97.31,97.31,97.31,0,0
1654695268,97.3,97.4,97.26,97.4,97.325,19,17
1654695269,97.46,97.49,97.44,97.49,97.467,7,7
1654695270,97.49,97.5,97.33,97.5,97.467,29,27
1654695271,97.55,97.55,97.49,97.55,97.528,37,6
1654695272,97.49,97.55,97.49,97.49,97.499,12,3
1654695273,97.42,97.47,97.4,97.47,97.407,18,17
1654695274,97.38,97.38,97.37,97.38,97.375,2,2
1654695275,97.25,97.35,97.25,97.34,97.32,5,4
1654695276,97.3,97.31,97.25,97.25,97.286,6,2
1654695277,97.24,97.29,97.24,97.29,97.265,2,2
1654695278,97.35,97.48,97.33,97.4,97.397,13,10
1654695279,97.4,97.4,97.4,97.4,97.4,0,0
1654695280,97.48,97.48,97.48,97.48,97.48,1,1
1654695281,97.4,97.4,97.39,97.4,97.395,5,1
1654695282,97.37,97.49,97.36,97.48,97.429,6,3
1654695283,97.4,97.4,97.4,97.4,97.4,1,1
1654695284,97.31,97.34,97.31,97.34,97.328,7,2
1654695285,97.41,97.5,97.41,97.45,97.458,34,4
1654695286,97.49,97.52,97.38,97.5,97.492,59,25
1654695287,97.5,97.5,97.48,97.48,97.493,9,8
1654695288,97.5,97.6,97.49,97.49,97.53,102,35
1654695289,97.58,97.7,97.49,97.51,97.642,44,15
1654695290,97.41,97.47,97.39,97.42,97.414,26,21
