date,open,high,low,close,average,volume,count
1629965200,81.05,81.05,81.05,81.05,81.05,1,1
1629965205,81.05,81.05,81.05,81.05,81.05,0,0
1629965210,81.05,81.05,81.05,81.05,81.05,0,0
1629965215,81.05,81.05,81.05,81.05,81.05,0,0
1629965220,81.05,81.05,81.05,81.05,81.05,0,0
1629965225,81.05,81.05,81.05,81.05,81.05,0,0
1629965230,81.05,81.05,81.05,81.05,81.05,0,0
1629965235,81.05,81.05,81.05,81.05,81.05,0,0
1629965240,81.05,81.05,81.05,81.05,81.05,0,0
1629965245,81.05,81.05,81.05,81.05,81.05,0,0
1629965250,81.19,81.2,81.19,81.2,81.195,2,2
1629965255,81.15,81.15,81.15,81.15,81.15,1,1
1629965260,81.2,81.2,81.2,81.2,81.2,2,2
1629965265,81.2,81.2,81.2,81.2,81.2,0,0
1629965270,81.2,81.2,81.2,81.2,81.2,0,0
1629965275,81.2,81.2,81.2,81.2,81.2,0,0
1629965280,81.2,81.2,81.2,81.2,81.2,0,0
1629965285,81.2,81.2,81.2,81.2,81.2,0,0
1629965290,81.53,81.53,81.53,81.53,81.53,1,1
1629965295,81.53,81.53,81.53,81.53,81.53,0,0
1629965300,81.53,81.53,81.53,81.53,81.53,0,0
1629965305,81.53,81.53,81.53,81.53,81.53,0,0
1629965310,81.53,81.53,81.53,81.53,81.53,0,0
1629965315,81.53,81.53,81.53,81.53,81.53,0,0
1629965320,81.53,81.53,81.53,81.53,81.53,0,0
1629965325,81.53,81.53,81.53,81.53,81.53,0,0
1629965330,81.53,81.53,81.53,81.53,81.53,0,0
1629965335,81.53,81.53,81.53,81.53,81.53,0,0
1629965340,81.53,81.53,81.53,81.53,81.53,0,0
1629965345,81.53,81.53,81.53,81.53,81.53,0,0
1629965350,81.53,81.53,81.53,81.53,81.53,0,0
1629965355,81.53,81.53,81.53,81.53,81.53,0,0
1629965360,81.53,81.53,81.53,81.53,81.53,0,0
1629965365,81.53,81.53,81.53,81.53,81.53,0,0
1629965370,81.53,81.53,81.53,81.53,81.53,0,0
1629965375,81.53,81.53,81.53,81.53,81.53,0,0
1629965380,81.53,81.53,81.53,81.53,81.53,0,0
1629965385,81.53,81.53,81.53,81.53,81.53,0,0
1629965390,81.53,81.53,81.53,81.53,81.53,0,0
1629965395,81.53,81.53,81.53,81.53,81.53,0,0
1629965400,81.53,81.53,81.53,81.53,81.53,0,0
1629965405,81.53,81.53,81.53,81.53,81.53,0,0
1629965410,81.53,81.53,81.53,81.53,81.53,0,0
1629965415,81.53,81.53,81.53,81.53,81.53,0,0
1629965420,81.53,81.53,81.53,81.53,81.53,0,0
1629965425,81.53,81.53,81.53,81.53,81.53,0,0
1629965430,81.53,81.53,81.53,81.53,81.53,0,0
1629965435,81.53,81.53,81.53,81.53,81.53,0,0
1629965440,81.53,81.53,81.53,81.53,81.53,0,0
1629965445,81.53,81.53,81.53,81.53,81.53,0,0
1629965450,81.53,81.53,81.53,81.53,81.53,0,0
1629965455,81.53,81.53,81.53,81.53,81.53,0,0
1629965460,81.53,81.53,81.53,81.53,81.53,0,0
1629965465,81.53,81.53,81.53,81.53,81.53,0,0
1629965470,81.53,81.53,81.53,81.53,81.53,0,0
1629965475,81.53,81.53,81.53,81.53,81.53,0,0
1629965480,81.53,81.53,81.53,81.53,81.53,0,0
1629965485,81.53,81.53,81.53,81.53,81.53,0,0
1629965490,81.53,81.53,81.53,81.53,81.53,0,0
1629965495,81.53,81.53,81.53,81.53,81.53,0,0
1629965500,81.53,81.53,81.53,81.53,81.53,0,0
1629965505,81.53,81.53,81.53,81.53,81.53,0,0
