date,open,high,low,close,average,volume,count
1631021400,47.35,47.35,47.3,47.3,47.33167,9,4
1631021401,47.3411,47.4,47.0,47.03,47.1118,621,26
1631021402,47.0,47.3,47.0,47.29,47.2828,152,13
1631021403,47.19,47.33,47.19,47.2,47.29016,62,26
1631021404,47.22,47.22,47.0988,47.0988,47.14369,5,3
1631021405,47.0,47.2726,47.0,47.0,47.18375,22,4
1631021406,47.126,47.2,47.11,47.2,47.14462,17,11
1631021407,47.06,47.325,47.051,47.06,47.0992,19,8
1631021408,47.06,47.06,47.06,47.06,47.06,0,0
1631021409,47.2397,47.2397,47.2397,47.2397,47.2397,1,1
1631021410,47.14,47.14,47.14,47.14,47.14,1,1
1631021411,47.1,47.272,47.1,47.272,47.14566,14,4
1631021412,47.22,47.22,47.22,47.22,47.22,24,3
1631021413,47.29,47.29,47.29,47.29,47.29,1,1
1631021414,47.279,47.295,47.279,47.295,47.29312,8,3
1631021415,47.295,47.295,47.295,47.295,47.295,0,0
1631021416,47.27,47.4,47.26,47.4,47.313,10,8
1631021417,47.4,47.4,47.4,47.4,47.4,0,0
1631021418,47.37,47.37,47.35,47.35,47.36487,3,2
1631021419,47.28,47.28,47.28,47.28,47.28,2,1
1631021420,47.28,47.28,47.28,47.28,47.28,0,0
1631021421,47.28,47.28,47.28,47.28,47.28,0,0
1631021422,47.28,47.28,47.28,47.28,47.28,0,0
1631021423,47.28,47.28,47.28,47.28,47.28,0,0
1631021424,47.28,47.28,47.28,47.28,47.28,2,1
1631021425,47.36,47.36,47.29,47.29,47.33667,3,3
1631021426,47.2819,47.2819,47.2819,47.2819,47.2819,2,1
1631021427,47.1919,47.1919,47.1919,47.1919,47.1919,10,1
1631021428,47.1919,47.1919,47.1919,47.1919,47.1919,0,0
1631021429,47.3454,47.38,47.2828,47.29,47.31768,42,4
1631021430,47.2,47.3697,47.2,47.3697,47.34025,6,2
1631021431,47.3799,47.3799,47.3799,47.3799,47.3799,25,1
1631021432,47.37,47.5,47.37,47.47,47.44919,62,28
1631021433,47.4,47.6,47.4,47.6,47.45651,112,15
1631021434,47.575,47.575,47.575,47.575,47.575,1,1
1631021435,47.56,47.69,47.56,47.685,47.67202,41,13
1631021436,47.75,47.75,47.685,47.685,47.73052,16,12
1631021437,47.76,47.83,47.72,47.82,47.79403,39,14
1631021438,47.76,47.78,47.6,47.625,47.70679,14,10
1631021439,47.63,47.63,47.63,47.63,47.63,1,1
1631021440,47.63,47.63,47.63,47.63,47.63,1,1
1631021441,47.6701,47.6701,47.6701,47.6701,47.6701,6,1
1631021442,47.5701,47.59,47.55,47.55,47.56469,10,6
1631021443,47.625,47.625,47.625,47.625,47.625,1,1
1631021444,47.625,47.625,47.625,47.625,47.625,0,0
1631021445,47.625,47.625,47.625,47.625,47.625,0,0
1631021446,47.54,47.5702,47.3,47.345,47.45263,55,16
1631021447,47.3988,47.3988,47.29,47.29,47.36253,3,2
1631021448,47.32,47.4735,47.32,47.4735,47.42233,3,2
1631021449,47.3673,47.3673,47.2501,47.2501,47.3087,2,2
1631021450,47.4108,47.4108,47.3968,47.3968,47.4038,4,2
1631021451,47.3276,47.4999,47.3276,47.4999,47.41375,2,2
1631021452,47.38,47.5,47.37,47.37,47.41598,7,6
1631021453,47.37,47.492,47.37,47.492,47.48388,15,2
1631021454,47.492,47.492,47.492,47.492,47.492,0,0
1631021455,47.3429,47.3429,47.3429,47.3429,47.3429,50,1
1631021456,47.3429,47.3429,47.3429,47.3429,47.3429,0,0
1631021457,47.43,47.5,47.38,47.5,47.46636,11,10
1631021458,47.3294,47.49,47.26,47.27,47.35972,26,17
1631021459,47.43,47.43,47.43,47.43,47.43,1,1
1631021460,47.43,47.43,47.43,47.43,47.43,0,0
1631021461,47.2987,47.54,47.2987,47.54,47.50674,67,14
1631021462,47.525,47.63,47.47,47.63,47.57521,24,18
1631021463,47.5847,47.5847,47.57,47.57,47.57294,10,2
1631021464,47.64,47.6527,47.64,47.6527,47.6505,7,3
1631021465,47.6527,47.6527,47.6527,47.6527,47.6527,0,0
1631021466,47.51,47.68,47.51,47.68,47.6375,4,4
1631021467,47.6359,47.6359,47.6327,47.6327,47.63561,22,2
1631021468,47.7654,47.7654,47.6768,47.6768,47.72407,3,3
1631021469,47.675,47.8802,47.6301,47.8802,47.71479,43,13
1631021470,47.755,47.88,47.6471,47.88,47.78623,7,5
1631021471,47.755,47.88,47.755,47.755,47.77487,19,4
1631021472,47.7438,47.7438,47.6406,47.6406,47.68187,15,4
1631021473,47.8,47.8,47.8,47.8,47.8,3,2
1631021474,47.85,47.95,47.85,47.9,47.9045,24,9
1631021475,47.8501,47.8501,47.8501,47.8501,47.8501,3,1
1631021476,47.9726,48.1,47.8732,47.93,47.98894,85,27
1631021477,47.935,48.0,47.8854,47.9887,47.92609,11,5
1631021478,47.9896,47.9896,47.9896,47.9896,47.9896,1,1
1631021479,47.93,47.93,47.82,47.8898,47.88657,18,8
1631021480,47.8525,47.93,47.75,47.9299,47.81157,36,7
1631021481,47.758,47.876,47.758,47.876,47.78523,13,2
1631021482,47.8402,47.8402,47.8402,47.8402,47.8402,1,1
1631021483,47.77,47.78,47.75,47.75,47.76744,13,12
1631021484,47.835,47.835,47.8135,47.8135,47.82357,3,3
1631021485,47.92,47.92,47.76,47.84,47.83295,3,3
1631021486,47.8899,47.8899,47.63,47.63,47.74037,14,5
1631021487,47.74,47.8606,47.65,47.8606,47.74881,10,5
1631021488,47.8606,47.8606,47.8606,47.8606,47.8606,0,0
1631021489,47.8334,47.8365,47.6001,47.6001,47.78883,6,4
1631021490,47.7955,47.7955,47.7617,47.7633,47.79116,23,3
1631021491,47.7167,47.7167,47.7167,47.7167,47.7167,10,1
1631021492,47.7367,47.76,47.7118,47.76,47.72822,25,3
1631021493,47.76,47.76,47.76,47.76,47.76,0,0
1631021494,47.7489,47.7489,47.51,47.6,47.57451,25,10
1631021495,47.605,47.6836,47.525,47.525,47.55649,45,4
1631021496,47.51,47.5986,47.4206,47.53,47.52743,11,8
1631021497,47.53,47.53,47.53,47.53,47.53,0,0
1631021498,47.53,47.53,47.53,47.53,47.53,0,0
1631021499,47.5791,47.5791,47.53,47.53,47.54637,7,2
1631021500,47.53,47.53,47.53,47.53,47.53,0,0
1631021501,47.53,47.53,47.53,47.53,47.53,0,0
1631021502,47.51,47.64,47.51,47.605,47.61,7,5
1631021503,47.69,47.69,47.69,47.69,47.69,1,1
1631021504,47.68,47.78,47.68,47.73,47.71976,33,14
1631021505,47.73,47.73,47.73,47.73,47.73,0,0
1631021506,47.7286,47.7286,47.7286,47.7286,47.7286,1,1
1631021507,47.7078,47.7078,47.634,47.634,47.66609,4,2
1631021508,47.75,47.8,47.5323,47.5323,47.62093,31,10
1631021509,47.5323,47.5323,47.5323,47.5323,47.5323,0,0
1631021510,47.79,47.79,47.79,47.79,47.79,15,1
1631021511,47.79,47.79,47.79,47.79,47.79,0,0
1631021512,47.79,47.79,47.79,47.79,47.79,0,0
1631021513,47.77,47.79,47.77,47.79,47.78714,7,4
1631021514,47.7057,47.7542,47.7057,47.7542,47.75189,21,2
1631021515,47.79,47.9115,47.7515,47.9115,47.80789,46,26
1631021516,47.8479,47.8479,47.8479,47.8479,47.8479,20,1
1631021517,47.7426,47.7426,47.7426,47.7426,47.7426,2,1
