date,open,high,low,close,average,volume,count
1654522200,21.85,21.85,21.85,21.85,21.85,0,0
1654522201,21.85,21.85,21.85,21.85,21.85,0,0
1654522202,21.85,21.85,21.85,21.85,21.85,0,0
1654522203,21.85,21.85,21.85,21.85,21.85,0,0
1654522204,21.85,21.85,21.85,21.85,21.85,0,0
1654522205,21.85,21.85,21.85,21.85,21.85,0,0
1654522206,21.85,21.85,21.85,21.85,21.85,0,0
1654522207,21.85,21.85,21.85,21.85,21.85,0,0
1654522208,21.85,21.85,21.85,21.85,21.85,0,0
1654522209,21.85,21.85,21.85,21.85,21.85,0,0
1654522210,21.85,21.85,21.85,21.85,21.85,0,0
1654522211,21.85,21.85,21.85,21.85,21.85,0,0
1654522212,21.85,21.85,21.85,21.85,21.85,0,0
1654522213,21.85,21.85,21.85,21.85,21.85,0,0
1654522214,21.85,21.85,21.85,21.85,21.85,0,0
1654522215,21.85,21.85,21.85,21.85,21.85,0,0
1654522216,21.85,21.85,21.85,21.85,21.85,0,0
1654522217,21.85,21.85,21.85,21.85,21.85,0,0
1654522218,21.85,21.85,21.85,21.85,21.85,0,0
1654522219,21.85,21.85,21.85,21.85,21.85,0,0
1654522220,21.85,21.85,21.85,21.85,21.85,0,0
1654522221,21.85,21.85,21.85,21.85,21.85,0,0
1654522222,21.85,21.85,21.85,21.85,21.85,0,0
1654522223,21.85,21.85,21.85,21.85,21.85,0,0
1654522224,21.85,21.85,21.85,21.85,21.85,0,0
1654522225,21.85,21.85,21.85,21.85,21.85,0,0
1654522226,21.85,21.85,21.85,21.85,21.85,0,0
1654522227,21.89,21.89,21.8,21.8,21.85,666,9
1654522228,21.8,21.8,21.8,21.8,21.8,0,0
1654522229,21.8,21.8,21.8,21.8,21.8,0,0
1654522230,21.8,21.81,21.8,21.8,21.805,2,1
1654522231,21.8,21.81,21.8,21.8,21.8,0,0
1654522232,21.8,21.81,21.8,21.8,21.8,0,0
1654522233,21.8,21.81,21.8,21.8,21.8,0,0
1654522234,21.8,21.81,21.8,21.8,21.8,0,0
1654522235,21.8,21.81,21.8,21.8,21.8,0,0
