date,open,high,low,close,average,volume,count
1626186600,12.655,12.655,12.655,12.655,12.655,10,1
1626186601,12.655,12.655,12.655,12.655,12.655,0,0
1626186602,12.6989,12.6989,12.655,12.675,12.67943,12,3
1626186603,12.675,12.75,12.6586,12.75,12.69505,11,8
1626186604,12.75,12.76,12.7182,12.76,12.74816,19,7
1626186605,12.76,12.77,12.76,12.7698,12.76489,19,5
1626186606,12.77,12.77,12.71,12.71,12.76745,24,3
1626186607,12.71,12.71,12.71,12.71,12.71,0,0
1626186608,12.71,12.71,12.71,12.71,12.71,0,0
1626186609,12.7325,12.7325,12.7325,12.7325,12.7325,3,1
1626186610,12.7325,12.7325,12.7325,12.7325,12.7325,0,0
1626186611,12.7325,12.7325,12.7325,12.7325,12.7325,0,0
1626186612,12.7325,12.7325,12.7325,12.7325,12.7325,0,0
1626186613,12.7325,12.7325,12.7325,12.7325,12.7325,0,0
1626186614,12.77,12.79,12.76,12.79,12.77182,14,7
1626186615,12.72,12.72,12.72,12.72,12.72,3,1
1626186616,12.7451,12.7451,12.7451,12.7451,12.7451,3,1
1626186617,12.675,12.6999,12.675,12.6999,12.68211,7,2
1626186618,12.655,12.655,12.65,12.6505,12.6518,7,4
1626186619,12.6505,12.6505,12.6505,12.6505,12.6505,0,0
1626186620,12.6501,12.6501,12.6501,12.6501,12.6501,11,1
1626186621,12.65,12.65,12.65,12.65,12.65,2,1
1626186622,12.65,12.6501,12.61,12.6501,12.63753,13,7
1626186623,12.625,12.625,12.6,12.6,12.62133,8,4
1626186624,12.6,12.6,12.6,12.6,12.6,2,2
1626186625,12.6,12.6,12.6,12.6,12.6,1,1
1626186626,12.6,12.6,12.51,12.5101,12.51955,63,13
1626186627,12.5101,12.5313,12.5,12.5313,12.50992,62,11
1626186628,12.594,12.594,12.594,12.594,12.594,2,1
1626186629,12.5,12.51,12.5,12.51,12.50351,6,5
1626186630,12.5924,12.5924,12.5,12.5001,12.51378,63,6
1626186631,12.5001,12.5001,12.5001,12.5001,12.5001,5,1
1626186632,12.5001,12.5001,12.5001,12.5001,12.5001,1,1
1626186633,12.5001,12.5001,12.5001,12.5001,12.5001,50,1
1626186634,12.5,12.6,12.5,12.6,12.55,3,3
1626186635,12.55,12.55,12.55,12.55,12.55,3,1
1626186636,12.5,12.5833,12.5,12.5833,12.52086,17,10
1626186637,12.5,12.5,12.5,12.5,12.5,5,1
1626186638,12.51,12.51,12.5001,12.505,12.5038,4,3
1626186639,12.51,12.59,12.5,12.5,12.58146,52,4
1626186640,12.5172,12.5273,12.41,12.5,12.46043,45,30
1626186641,12.4601,12.525,12.4601,12.525,12.49616,9,3
1626186642,12.46,12.5775,12.46,12.525,12.4752,12,3
1626186643,12.46,12.46,12.46,12.46,12.46,4,3
1626186644,12.435,12.46,12.4196,12.4463,12.44642,33,6
1626186645,12.55,12.55,12.41,12.423,12.51087,15,6
1626186646,12.55,12.55,12.54,12.54,12.54909,11,2
1626186647,12.495,12.495,12.495,12.495,12.495,1,1
1626186648,12.495,12.495,12.495,12.495,12.495,0,0
1626186649,12.495,12.495,12.49,12.49,12.4925,2,2
1626186650,12.49,12.49,12.42,12.43,12.43541,18,5
1626186651,12.41,12.41,12.41,12.41,12.41,1,1
1626186652,12.41,12.41,12.41,12.41,12.41,0,0
1626186653,12.41,12.41,12.41,12.41,12.41,0,0
