date,open,high,low,close,average,volume,count
1629986400,7.99,8.0,7.99,7.99,7.99,5,3
1629986401,7.99,7.99,7.98,7.99,7.987,3,1
1629986402,7.99,8.0,7.99,7.99,7.991,38,16
1629986403,7.99,7.99,7.99,7.99,7.99,0,0
1629986404,8.0,8.03,8.0,8.01,8.01,64,34
1629986405,8.01,8.02,8.0,8.01,8.015,77,22
1629986406,7.99,8.0,7.99,7.99,7.992,1,1
1629986407,8.0,8.0,7.99,8.0,7.998,17,8
1629986408,8.0,8.0,7.99,8.0,7.999,75,46
1629986409,8.0,8.0,7.99,8.0,7.998,3,1
1629986410,8.0,8.0,7.99,8.0,7.998,10,1
1629986411,8.0,8.0,8.0,8.0,8.0,3,2
1629986412,7.99,8.0,7.99,8.0,7.998,16,10
1629986413,8.0,8.0,8.0,8.0,8.0,1,1
1629986414,8.0,8.0,7.99,8.0,7.999,2,2
1629986415,8.0,8.0,7.99,8.0,8.0,0,0
1629986416,8.0,8.0,7.99,8.0,7.999,5,4
1629986417,8.0,8.0,7.98,7.98,7.985,59,23
1629986418,7.99,7.99,7.98,7.99,7.988,10,1
1629986419,7.99,7.99,7.98,7.99,7.987,2,2
1629986420,7.98,7.99,7.98,7.98,7.981,137,6
1629986421,7.98,7.99,7.98,7.98,7.98,0,0
1629986422,7.99,7.99,7.99,7.99,7.99,1,1
1629986423,7.99,7.99,7.98,7.99,7.985,8,6
1629986424,7.98,7.99,7.98,7.99,7.988,60,3
1629986425,7.99,7.99,7.98,7.99,7.99,0,0
1629986426,7.99,7.99,7.95,7.96,7.962,215,60
1629986427,7.95,7.96,7.95,7.96,7.951,21,9
1629986428,7.96,7.96,7.95,7.96,7.959,2,1
1629986429,7.96,7.96,7.95,7.96,7.957,6,4
1629986430,7.96,7.96,7.95,7.96,7.96,0,0
1629986431,7.96,7.96,7.95,7.96,7.957,7,6
1629986432,7.96,7.96,7.95,7.96,7.956,12,4
1629986433,7.96,7.96,7.95,7.96,7.959,42,24
1629986434,7.97,7.97,7.95,7.96,7.954,86,29
1629986435,7.96,7.96,7.94,7.95,7.95,122,34
1629986436,7.95,7.95,7.89,7.91,7.908,484,140
1629986437,7.92,7.92,7.91,7.92,7.92,13,11
1629986438,7.9,7.92,7.9,7.91,7.918,60,17
1629986439,7.92,7.92,7.91,7.92,7.915,33,4
1629986440,7.92,7.92,7.91,7.92,7.915,1,1
1629986441,7.92,7.93,7.92,7.93,7.924,70,17
1629986442,7.93,7.93,7.93,7.93,7.93,3,1
1629986443,7.92,7.93,7.91,7.93,7.923,42,35
1629986444,7.93,7.93,7.92,7.93,7.925,30,14
1629986445,7.93,7.93,7.92,7.93,7.93,0,0
1629986446,7.93,7.95,7.92,7.94,7.942,25,13
1629986447,7.94,7.94,7.93,7.94,7.94,5,5
1629986448,7.94,7.94,7.94,7.94,7.94,1,1
1629986449,7.94,7.96,7.94,7.95,7.953,56,28
1629986450,7.96,7.97,7.96,7.97,7.963,87,40
1629986451,7.97,7.97,7.96,7.97,7.969,4,2
1629986452,7.97,7.97,7.97,7.97,7.97,0,0
1629986453,7.97,7.97,7.96,7.97,7.965,1,1
1629986454,7.97,7.98,7.97,7.97,7.97,13,4
1629986455,7.98,7.98,7.95,7.96,7.971,26,15
1629986456,7.96,7.96,7.95,7.96,7.955,2,1
1629986457,7.96,7.96,7.95,7.96,7.958,3,2
1629986458,7.96,7.96,7.95,7.95,7.956,2,2
1629986459,7.96,7.96,7.95,7.96,7.958,4,1
1629986460,7.96,8.0,7.95,7.99,7.996,524,46
1629986461,7.99,7.99,7.96,7.96,7.985,18,11
1629986462,7.97,7.98,7.97,7.98,7.971,8,8
1629986463,7.97,7.98,7.97,7.97,7.975,42,4
1629986464,7.98,7.98,7.98,7.98,7.98,15,7
1629986465,7.98,7.98,7.98,7.98,7.98,1,1
1629986466,7.99,7.99,7.99,7.99,7.99,7,1
1629986467,7.98,7.98,7.97,7.98,7.979,44,5
1629986468,7.97,7.97,7.97,7.97,7.97,31,1
1629986469,7.98,7.98,7.97,7.98,7.979,4,4
1629986470,7.98,7.99,7.97,7.99,7.982,22,14
1629986471,7.99,7.99,7.99,7.99,7.99,0,0
1629986472,7.99,7.99,7.99,7.99,7.99,2,2
1629986473,7.99,7.99,7.99,7.99,7.99,0,0
1629986474,7.99,7.99,7.99,7.99,7.99,0,0
1629986475,7.99,7.99,7.99,7.99,7.99,0,0
1629986476,7.99,7.99,7.99,7.99,7.99,0,0
1629986477,7.97,7.98,7.97,7.98,7.974,20,4
1629986478,7.98,7.98,7.97,7.98,7.979,9,8
1629986479,7.99,7.99,7.97,7.97,7.979,52,21
1629986480,7.97,7.99,7.97,7.98,7.983,109,29
1629986481,7.99,7.99,7.99,7.99,7.99,20,4
1629986482,7.98,7.99,7.98,7.99,7.982,65,7
1629986483,7.99,7.99,7.98,7.99,7.989,6,3
1629986484,7.99,7.99,7.99,7.99,7.99,0,0
1629986485,7.99,7.99,7.98,7.99,7.988,7,2
1629986486,7.99,7.99,7.98,7.98,7.986,7,3
1629986487,7.98,7.98,7.98,7.98,7.98,0,0
1629986488,7.99,7.99,7.98,7.98,7.985,53,4
1629986489,7.99,7.99,7.98,7.99,7.985,1,1
1629986490,7.99,7.99,7.98,7.99,7.99,0,0
1629986491,7.99,7.99,7.98,7.99,7.988,3,1
1629986492,7.99,7.99,7.98,7.99,7.987,1,1
1629986493,7.99,7.99,7.98,7.99,7.99,0,0
1629986494,7.99,7.99,7.98,7.99,7.99,0,0
1629986495,7.99,7.99,7.98,7.99,7.99,0,0
1629986496,7.99,7.99,7.98,7.99,7.989,7,7
1629986497,7.99,7.99,7.98,7.99,7.99,1,1
1629986498,7.99,7.99,7.98,7.98,7.988,11,3
1629986499,7.98,7.98,7.98,7.98,7.98,0,0
1629986500,7.99,7.99,7.98,7.99,7.986,10,1
1629986501,7.99,7.99,7.98,7.98,7.985,11,2
1629986502,7.98,7.99,7.98,7.98,7.98,0,0
1629986503,7.98,7.99,7.98,7.98,7.98,0,0
1629986504,7.99,8.0,7.98,7.99,7.995,224,77
1629986505,8.0,8.0,7.97,7.97,7.978,43,18
1629986506,7.96,7.97,7.96,7.96,7.96,5,5
1629986507,7.96,7.97,7.96,7.96,7.96,0,0
1629986508,7.97,7.97,7.96,7.97,7.968,2,2
1629986509,7.97,7.97,7.96,7.97,7.97,0,0
1629986510,7.97,7.97,7.96,7.97,7.97,0,0
1629986511,7.97,7.97,7.96,7.97,7.97,0,0
1629986512,7.97,7.97,7.96,7.97,7.97,1,1
1629986513,7.97,7.97,7.96,7.97,7.965,10,1
1629986514,7.97,7.97,7.96,7.97,7.97,0,0
1629986515,7.97,7.97,7.96,7.97,7.97,0,0
1629986516,7.97,7.97,7.96,7.97,7.97,0,0
1629986517,7.97,7.97,7.96,7.97,7.968,2,2
1629986518,7.97,7.97,7.96,7.97,7.97,0,0
1629986519,7.97,7.97,7.96,7.97,7.97,0,0
1629986520,7.97,7.97,7.96,7.97,7.97,0,0
