date,open,high,low,close,average,volume,count
1661950800,9.16,9.16,9.14,9.15,9.15,55,41
1661950801,9.15,9.15,9.15,9.15,9.15,0,0
1661950802,9.15,9.15,9.15,9.15,9.15,3,2
1661950803,9.15,9.15,9.15,9.15,9.15,19,4
1661950804,9.16,9.16,9.15,9.15,9.159,11,4
1661950805,9.15,9.15,9.15,9.15,9.15,0,0
1661950806,9.16,9.16,9.15,9.15,9.158,10,6
1661950807,9.15,9.15,9.15,9.15,9.15,0,0
1661950808,9.15,9.15,9.15,9.15,9.15,0,0
1661950809,9.17,9.17,9.16,9.16,9.167,14,7
1661950810,9.16,9.16,9.16,9.16,9.16,0,0
1661950811,9.16,9.16,9.16,9.16,9.16,0,0
1661950812,9.16,9.16,9.16,9.16,9.16,0,0
1661950813,9.16,9.16,9.16,9.16,9.16,0,0
1661950814,9.16,9.16,9.16,9.16,9.16,0,0
1661950815,9.15,9.15,9.15,9.15,9.15,3,3
1661950816,9.15,9.15,9.15,9.15,9.15,0,0
1661950817,9.15,9.15,9.15,9.15,9.15,2,1
1661950818,9.15,9.15,9.15,9.15,9.15,0,0
1661950819,9.15,9.15,9.15,9.15,9.15,1,1
1661950820,9.15,9.15,9.14,9.15,9.147,37,10
1661950821,9.15,9.15,9.15,9.15,9.15,0,0
1661950822,9.13,9.13,9.13,9.13,9.13,4,2
1661950823,9.12,9.12,9.12,9.12,9.12,1,1
1661950824,9.12,9.12,9.12,9.12,9.12,2,2
1661950825,9.12,9.12,9.12,9.12,9.12,0,0
1661950826,9.12,9.12,9.12,9.12,9.12,0,0
1661950827,9.12,9.12,9.12,9.12,9.12,0,0
1661950828,9.12,9.12,9.12,9.12,9.12,0,0
1661950829,9.12,9.12,9.12,9.12,9.12,0,0
1661950830,9.12,9.12,9.12,9.12,9.12,0,0
1661950831,9.12,9.12,9.12,9.12,9.12,0,0
1661950832,9.12,9.12,9.12,9.12,9.12,0,0
1661950833,9.12,9.12,9.12,9.12,9.12,0,0
1661950834,9.12,9.12,9.12,9.12,9.12,0,0
