date,open,high,low,close,average,volume,count
1633012200,15.78,15.78,15.77,15.78,15.777,67,18
1633012201,15.78,15.78,15.77,15.78,15.778,12,8
1633012202,15.78,15.78,15.77,15.78,15.78,0,0
1633012203,15.78,15.78,15.77,15.77,15.776,36,8
1633012204,15.77,15.78,15.77,15.77,15.77,0,0
1633012205,15.77,15.78,15.77,15.77,15.77,0,0
1633012206,15.77,15.77,15.77,15.77,15.77,2,1
1633012207,15.78,15.78,15.77,15.78,15.775,2,1
1633012208,15.78,15.78,15.77,15.77,15.777,22,20
1633012209,15.78,15.78,15.78,15.78,15.78,1,1
1633012210,15.78,15.79,15.77,15.78,15.778,153,82
1633012211,15.78,15.78,15.77,15.78,15.78,25,17
1633012212,15.78,15.78,15.77,15.78,15.779,15,11
1633012213,15.78,15.78,15.78,15.78,15.78,0,0
1633012214,15.78,15.78,15.78,15.78,15.78,0,0
1633012215,15.78,15.78,15.78,15.78,15.78,0,0
1633012216,15.78,15.78,15.78,15.78,15.78,0,0
1633012217,15.78,15.78,15.77,15.77,15.772,64,24
1633012218,15.77,15.77,15.76,15.77,15.769,10,1
1633012219,15.77,15.77,15.76,15.76,15.765,2,2
1633012220,15.76,15.77,15.76,15.76,15.76,115,34
1633012221,15.76,15.76,15.76,15.76,15.76,0,0
1633012222,15.76,15.76,15.76,15.76,15.76,0,0
1633012223,15.76,15.76,15.76,15.76,15.76,0,0
1633012224,15.76,15.76,15.75,15.76,15.755,2,2
1633012225,15.76,15.76,15.75,15.76,15.76,0,0
1633012226,15.75,15.76,15.75,15.76,15.752,3,3
1633012227,15.76,15.76,15.75,15.76,15.76,0,0
1633012228,15.76,15.76,15.75,15.76,15.76,0,0
1633012229,15.76,15.76,15.75,15.76,15.76,0,0
1633012230,15.76,15.76,15.75,15.76,15.76,0,0
1633012231,15.76,15.76,15.75,15.76,15.76,0,0
1633012232,15.76,15.76,15.75,15.76,15.755,3,1
1633012233,15.76,15.76,15.75,15.76,15.76,0,0
1633012234,15.76,15.76,15.75,15.76,15.76,0,0
1633012235,15.76,15.76,15.75,15.76,15.76,0,0
1633012236,15.76,15.76,15.75,15.76,15.755,2,2
1633012237,15.76,15.76,15.75,15.76,15.76,0,0
