date,open,high,low,close,average,volume,count
1639990800,14.35,14.35,13.83,13.9,13.995,446,156
1639991700,13.9,13.98,13.88,13.98,13.95,171,57
1639992600,13.98,14.14,13.98,14.05,14.068,184,94
1639993500,14.06,14.06,13.96,14.02,14.012,65,29
1639994400,14.02,14.25,14.02,14.22,14.128,187,59
1639995300,14.2,14.2,14.12,14.12,14.16,31,24
1639996200,14.18,14.22,14.18,14.22,14.212,35,12
1639997100,14.17,14.17,14.14,14.14,14.154,11,3
1639998000,14.18,14.35,14.18,14.35,14.271,159,54
1639998900,14.35,14.4,14.27,14.4,14.342,79,29
1639999800,14.3,14.37,14.3,14.36,14.348,34,29
1640000700,14.36,14.46,14.36,14.46,14.401,28,16
1640001600,14.43,14.46,14.29,14.35,14.398,379,93
1640002500,14.32,14.4,14.31,14.34,14.355,268,91
1640003400,14.35,14.38,14.33,14.37,14.359,173,57
1640004300,14.37,14.39,14.32,14.32,14.346,57,34
1640005200,14.35,14.49,14.27,14.32,14.341,1471,268
1640006100,14.32,14.38,14.31,14.38,14.329,772,109
1640007000,14.36,14.38,14.3,14.35,14.325,796,109
1640007900,14.38,14.47,14.3,14.45,14.383,656,158
1640008800,14.46,14.5,14.35,14.42,14.433,1474,274
1640009700,14.43,14.51,14.42,14.48,14.461,761,214
1640010600,14.48,14.88,14.28,14.71,14.605,37704,9038
1640011500,14.69,14.93,14.51,14.93,14.689,20398,5111
1640012400,14.93,15.07,14.78,15.05,14.923,22461,5095
1640013300,15.04,15.21,14.98,15.12,15.083,18637,5492
1640014200,15.11,15.11,14.87,15.03,14.975,15974,4309
1640015100,15.04,15.04,14.77,14.88,14.891,9877,2933
1640016000,14.88,14.94,14.72,14.81,14.81,9157,2330
1640016900,14.81,14.82,14.64,14.69,14.721,10711,2483
1640017800,14.7,14.72,14.53,14.68,14.606,12660,2786
1640018700,14.68,14.78,14.57,14.76,14.695,11044,3088
1640019600,14.75,14.77,14.65,14.69,14.703,7371,1819
1640020500,14.68,14.78,14.62,14.65,14.698,6369,1914
1640021400,14.66,14.68,14.48,14.57,14.558,10321,2118
1640022300,14.57,14.62,14.55,14.57,14.571,4951,1528
1640023200,14.56,14.6,14.49,14.59,14.534,5077,1716
1640024100,14.59,14.64,14.52,14.57,14.574,7562,2220
1640025000,14.57,14.63,14.46,14.62,14.545,9214,2539
1640025900,14.61,14.64,14.54,14.6,14.598,5239,1794
1640026800,14.6,14.69,14.6,14.66,14.635,4702,1708
1640027700,14.66,14.7,14.59,14.65,14.66,6527,2025
1640028600,14.65,14.67,14.59,14.64,14.634,4312,1418
1640029500,14.63,14.68,14.61,14.66,14.648,4409,1634
1640030400,14.66,14.72,14.65,14.68,14.679,4872,1688
1640031300,14.69,14.75,14.68,14.73,14.707,5098,1818
1640032200,14.73,14.73,14.55,14.55,14.605,13348,3453
1640033100,14.54,14.62,14.53,14.6,14.585,14186,4391
1640034000,14.59,14.67,14.59,14.67,14.595,3114,85
1640034900,14.67,14.73,14.65,14.72,14.697,287,57
1640035800,14.72,14.73,14.69,14.71,14.706,240,54
1640036700,14.69,14.75,14.68,14.74,14.734,218,52
1640037600,14.75,14.77,14.72,14.75,14.757,170,48
1640038500,14.75,14.75,14.69,14.73,14.728,110,26
1640039400,14.73,14.77,14.73,14.75,14.738,216,37
1640040300,14.75,14.77,14.7,14.75,14.743,287,38
1640041200,14.75,14.85,14.7,14.83,14.792,563,107
1640042100,14.82,14.86,14.81,14.85,14.833,398,75
1640043000,14.85,14.86,14.82,14.84,14.84,344,51
1640043900,14.83,14.86,14.83,14.85,14.849,93,31
1640044800,14.85,14.86,14.84,14.84,14.846,110,27
1640045700,14.85,14.86,14.7,14.7,14.753,197,53
1640046600,14.73,14.79,14.71,14.79,14.735,211,29
1640047500,14.73,14.75,14.71,14.72,14.723,127,33
1640077200,14.94,14.95,14.8,14.95,14.906,76,33
1640078100,14.92,14.95,14.81,14.81,14.859,31,19
1640079000,14.81,14.92,14.81,14.86,14.858,29,17
1640079900,14.85,14.85,14.8,14.8,14.811,56,24
1640080800,14.82,14.82,14.81,14.81,14.818,5,2
1640081700,14.8,14.9,14.8,14.85,14.846,70,21
1640082600,14.85,14.88,14.83,14.88,14.844,8,5
1640083500,14.85,14.88,14.82,14.86,14.857,15,13
1640084400,14.85,14.87,14.83,14.87,14.855,36,14
1640085300,14.9,14.96,14.89,14.91,14.928,39,16
1640086200,14.96,14.96,14.91,14.91,14.934,21,13
1640087100,14.95,14.95,14.82,14.9,14.876,158,60
1640088000,14.9,14.93,14.84,14.9,14.874,110,36
1640088900,14.87,14.95,14.87,14.92,14.904,186,63
1640089800,14.9,14.92,14.89,14.92,14.902,14,10
1640090700,14.93,14.95,14.91,14.94,14.918,50,28
1640091600,14.9,14.95,14.84,14.9,14.898,1215,231
1640092500,14.89,14.9,14.87,14.88,14.888,256,62
1640093400,14.89,14.98,14.89,14.98,14.935,531,145
1640094300,14.97,15.01,14.92,14.98,14.968,722,217
1640095200,14.97,14.98,14.92,14.94,14.94,639,167
1640096100,14.93,15.04,14.82,14.83,14.921,1272,357
1640097000,14.87,15.14,14.75,14.84,14.949,30421,5875
1640097900,14.84,14.9,14.72,14.82,14.805,12683,3335
1640098800,14.82,15.12,14.82,15.09,14.987,15003,3927
