date,open,high,low,close,average,volume,count
20220317,8.7,9.08,8.38,8.76,8.836,644723,115376
20220318,8.76,9.98,8.71,9.89,9.596,640319,128852
20220321,9.78,10.0,9.33,9.48,9.579,380267,89166
20220322,9.4,10.06,9.25,9.69,9.715,545192,116538
20220323,9.72,9.78,9.25,9.32,9.49,371927,82638
20220324,9.35,9.57,9.07,9.39,9.331,289930,61716
20220325,9.39,9.45,8.91,8.98,9.059,402539,80877
20220328,9.28,9.28,8.84,9.17,9.075,322621,63453
20220329,9.19,10.21,9.16,10.08,9.82,708464,139822
20220330,10.1,10.57,9.63,9.8,10.072,572744,107452
20220331,9.82,9.96,9.42,9.47,9.562,320430,66696
20220401,9.47,9.62,9.21,9.37,9.366,285656,63612
20220404,9.56,10.03,9.32,9.75,9.816,330104,71558
20220405,9.75,10.1,9.09,9.16,9.466,454622,99838
20220406,9.12,9.16,8.04,8.19,8.645,546224,117403
20220407,8.19,8.49,7.64,8.2,7.946,1042276,190371
20220408,8.2,8.2,7.78,7.9,7.945,376876,80725
20220411,7.8,7.93,7.5,7.67,7.716,355536,78813
20220412,7.65,8.09,7.37,7.51,7.683,564569,104032
20220413,7.5,7.68,7.24,7.64,7.535,381296,81781
20220414,7.75,7.75,7.22,7.24,7.343,394078,72482
20220418,7.3,7.32,6.97,7.25,7.115,485973,84422
20220419,7.25,7.58,7.05,7.27,7.395,380564,65996
20220420,7.28,7.43,6.93,7.0,7.013,546660,100263
20220421,7.0,7.11,6.48,6.58,6.688,639036,111142
20220422,6.59,6.68,6.32,6.37,6.463,432312,82814
20220425,6.31,6.61,6.15,6.53,6.498,360255,85926
20220426,6.53,6.6,6.11,6.22,6.27,481666,85600
20220427,6.26,6.46,6.09,6.29,6.211,410424,72432
20220428,6.33,6.54,6.02,6.26,6.282,449327,80240
20220429,6.26,6.75,6.1,6.13,6.392,323813,65385
20220502,6.09,6.38,6.01,6.35,6.202,425268,82267
20220503,6.33,6.42,6.05,6.38,6.327,262517,49811
20220504,6.38,7.29,6.2,7.18,6.771,756295,125209
20220505,7.13,7.2,6.57,6.82,6.787,455388,91424
20220506,6.84,6.89,6.34,6.43,6.534,493625,92351
20220509,6.36,6.39,5.42,5.47,5.954,501546,91429
20220510,5.7,5.8,4.82,5.35,5.28,1217933,222404
20220511,5.09,5.65,4.95,5.44,5.354,744715,163596
20220512,5.45,5.81,5.05,5.76,5.498,634923,126464
20220513,5.81,6.86,5.78,6.7,6.602,721908,154738
20220516,6.66,7.47,6.64,6.95,7.017,583827,125387
20220517,7.0,7.4,6.88,7.16,7.113,533770,109361
20220518,7.16,7.56,6.8,7.15,7.243,508882,105589
20220519,7.18,7.99,7.06,7.92,7.647,560145,110178
20220520,7.94,8.1,7.13,7.53,7.498,547113,113433
20220523,7.56,7.64,7.03,7.09,7.3,317943,62734
20220524,7.05,7.15,6.62,6.81,6.783,370470,72306
20220525,6.8,7.16,6.67,6.96,7.014,344213,70502
20220526,7.0,7.39,6.9,7.16,7.198,335079,73036
20220527,7.11,7.68,7.11,7.56,7.499,369013,74988
20220531,7.58,7.7,7.26,7.51,7.49,574872,78354
20220601,7.48,7.62,6.95,7.02,7.182,355511,72592
20220602,7.26,7.45,6.95,7.45,7.276,279510,60519
20220603,7.4,7.4,6.89,6.96,7.018,282462,69256
20220606,7.0,7.27,6.77,6.92,6.983,377720,79827
20220607,6.92,7.06,6.67,6.83,6.779,254449,52639
20220608,6.79,6.97,6.61,6.67,6.767,275150,56338
20220609,6.7,6.78,6.1,6.15,6.301,338112,65719
20220610,6.19,6.3,5.85,5.96,5.978,362378,74442
20220613,5.9,5.95,5.34,5.69,5.503,459083,85394
20220614,5.75,6.04,5.56,5.9,5.879,378738,71028
20220615,5.9,6.17,5.68,6.06,5.924,584507,95909
20220616,5.94,5.94,5.44,5.52,5.544,312604,68456
20220617,5.33,5.85,5.33,5.69,5.698,512218,74343
20220621,5.8,5.98,5.7,5.72,5.815,314787,52678
20220622,5.72,5.82,5.51,5.55,5.657,336810,48363
20220623,5.64,5.92,5.59,5.81,5.774,280478,56797
20220624,5.78,6.18,5.78,6.13,6.091,823385,69400
20220627,6.15,6.28,5.85,5.93,5.944,250774,45613
20220628,6.06,6.07,5.5,5.59,5.662,309249,56187
20220629,5.6,5.65,5.34,5.54,5.448,321230,52897
20220630,5.5,5.58,5.23,5.3,5.338,268872,46466
20220701,5.26,5.49,5.17,5.38,5.348,210908,42129
20220705,5.38,5.84,5.14,5.67,5.551,273931,52697
20220706,5.68,6.1,5.68,5.87,5.929,243060,46311
20220707,5.88,6.28,5.85,6.03,6.131,298339,47221
20220708,6.04,6.37,5.93,6.12,6.177,258685,46180
20220711,6.0,6.26,5.82,5.95,5.952,179738,32540
20220712,5.88,6.23,5.85,6.0,6.047,172084,37211
20220713,6.04,6.06,5.75,5.91,5.932,245524,40264
20220714,5.89,5.97,5.76,5.94,5.874,164262,32669
20220715,6.06,6.3,5.88,6.09,6.154,212101,37370
20220718,6.0,6.6,5.99,6.31,6.461,190578,35689
20220719,6.35,6.66,6.27,6.56,6.517,204323,33820
20220720,6.53,7.08,6.51,6.88,6.925,235689,45178
20220721,6.99,7.15,6.8,6.86,7.02,190645,34811
20220722,6.91,7.06,6.52,6.62,6.73,201447,38132
20220725,6.65,6.71,6.36,6.4,6.475,129942,28375
20220726,6.46,6.51,6.11,6.24,6.193,154490,34201
20220727,6.36,6.47,6.19,6.43,6.318,159885,31949
20220728,6.5,6.56,6.09,6.35,6.259,209712,38913
20220729,6.49,6.49,6.15,6.33,6.271,177089,32541
20220801,6.32,6.44,6.14,6.43,6.314,201687,35667
20220802,6.5,7.18,6.29,6.93,6.508,473735,94056
20220803,6.98,8.42,6.71,8.13,7.952,1408786,261934
20220804,8.21,8.52,7.86,8.15,8.179,589556,102933
20220805,8.15,8.29,7.82,7.9,7.982,416915,84350
20220808,7.88,8.49,7.59,7.73,8.141,542081,104840
20220809,7.74,7.83,7.25,7.31,7.416,479428,85042
20220810,7.3,7.95,7.3,7.8,7.785,499027,82399
20220811,7.88,8.16,7.36,7.49,7.746,620012,106462
20220812,7.6,7.7,7.3,7.65,7.583,344783,63324
20220815,7.56,7.7,7.39,7.61,7.531,365462,61504
20220816,7.73,7.81,7.19,7.6,7.504,547923,77097
20220817,7.54,7.62,6.82,6.83,7.026,725058,100541
20220818,6.85,7.14,6.62,6.64,6.713,370634,59396
20220819,6.61,6.68,6.27,6.32,6.357,451251,71856
20220822,6.32,6.33,6.01,6.14,6.101,400626,77202
20220823,6.15,6.35,6.01,6.3,6.168,537943,80580
20220824,6.17,6.87,6.17,6.58,6.58,1086779,183980
