date,open,high,low,close,average,volume,count
1628766840,38.8,38.8,38.8,38.8,38.8,1,1
1628766900,38.8,38.8,38.8,38.8,38.8,0,0
1628766960,38.8,38.8,38.8,38.8,38.8,0,0
1628767020,38.99,38.99,38.99,38.99,38.99,1,1
1628767080,38.99,38.99,38.99,38.99,38.99,0,0
1628767140,38.99,38.99,38.99,38.99,38.99,0,0
1628767200,38.99,38.99,38.99,38.99,38.99,0,0
1628767260,38.99,38.99,38.99,38.99,38.99,0,0
1628767320,38.99,38.99,38.99,38.99,38.99,0,0
1628767380,38.85,38.85,38.85,38.85,38.85,3,1
1628767440,38.85,38.85,38.85,38.85,38.85,3,2
1628767500,38.81,38.81,38.81,38.81,38.81,1,1
1628767560,38.85,38.95,38.85,38.95,38.874,5,4
1628767620,39.0,39.0,39.0,39.0,39.0,4,4
1628767680,39.0,39.0,39.0,39.0,39.0,4,3
1628767740,38.84,39.0,38.84,39.0,38.92,2,2
1628767800,39.0,39.0,39.0,39.0,39.0,2,2
1628767860,39.0,39.0,39.0,39.0,39.0,0,0
1628767920,39.0,39.0,39.0,39.0,39.0,0,0
1628767980,39.0,39.0,39.0,39.0,39.0,0,0
1628768040,38.9,38.9,38.9,38.9,38.9,1,1
1628768100,38.9,38.9,38.9,38.9,38.9,0,0
1628768160,38.9,38.9,38.9,38.9,38.9,0,0
1628768220,38.9,38.9,38.9,38.9,38.9,0,0
1628768280,38.85,38.9,38.85,38.9,38.87,2,2
1628768340,38.9,38.9,38.9,38.9,38.9,2,2
1628768400,38.8,38.8,38.8,38.8,38.8,13,1
1628768460,38.8,38.8,38.8,38.8,38.8,13,2
1628768520,38.8,38.8,38.8,38.8,38.8,0,0
1628768580,38.81,38.81,38.8,38.8,38.804,3,2
1628768640,38.8,38.8,38.8,38.8,38.8,0,0
1628768700,38.8,38.8,38.8,38.8,38.8,0,0
1628768760,38.75,38.75,38.75,38.75,38.75,1,1
1628768820,38.75,38.75,38.75,38.75,38.75,0,0
1628768880,38.75,38.75,38.75,38.75,38.75,0,0
1628768940,38.7,38.7,38.7,38.7,38.7,9,2
1628769000,38.7,38.7,38.7,38.7,38.7,0,0
1628769060,38.64,38.64,38.64,38.64,38.64,1,1
1628769120,38.64,38.64,38.64,38.64,38.64,0,0
1628769180,38.61,38.61,38.61,38.61,38.61,3,2
1628769240,38.6,38.6,38.6,38.6,38.6,3,1
1628769300,38.45,38.45,38.45,38.45,38.45,1,1
1628769360,38.45,38.45,38.45,38.45,38.45,0,0
1628769420,38.26,38.26,38.14,38.14,38.235,22,13
1628769480,38.2,38.2,38.02,38.02,38.065,8,4
1628769540,38.06,38.07,38.0,38.05,38.04,11,7
1628769600,38.82,39.3,38.01,38.04,38.824,406,97
1628769660,38.1,38.11,38.1,38.11,38.103,3,2
1628769720,38.05,38.2,38.03,38.2,38.166,75,14
1628769780,38.2,38.2,38.2,38.2,38.2,0,0
1628769840,38.1,38.25,38.1,38.25,38.199,29,5
1628769900,38.27,38.27,38.27,38.27,38.27,1,1
1628769960,38.39,38.5,38.35,38.5,38.456,11,6
1628770020,38.5,38.58,38.4,38.4,38.428,30,8
1628770080,38.4,38.4,38.4,38.4,38.4,5,1
1628770140,38.4,38.4,38.4,38.4,38.4,0,0
1628770200,38.34,38.35,38.16,38.18,38.25,17,12
1628770260,38.15,38.22,38.12,38.22,38.162,20,8
1628770320,38.22,38.22,38.22,38.22,38.22,0,0
1628770380,38.22,38.22,38.22,38.22,38.22,0,0
1628770440,38.3,38.3,38.11,38.11,38.194,57,19
1628770500,38.11,38.11,38.11,38.11,38.11,0,0
1628770560,38.4,38.4,38.4,38.4,38.4,3,2
