date,open,high,low,close,average,volume,count
1625583600,48.97,48.97,48.96,48.96,48.962,57,13
1625583601,48.97,48.97,48.94,48.94,48.955,41,21
1625583602,48.96,48.97,48.94,48.95,48.95,23,9
1625583603,48.96,48.97,48.94,48.96,48.95,9,5
1625583604,48.95,48.97,48.95,48.96,48.956,27,8
1625583605,48.95,48.97,48.91,48.91,48.938,107,40
1625583606,48.93,48.94,48.92,48.92,48.934,9,8
1625583607,48.92,48.94,48.92,48.93,48.924,10,8
1625583608,48.91,48.93,48.9,48.91,48.907,11,4
1625583609,48.9,48.93,48.88,48.92,48.902,107,40
1625583610,48.92,48.96,48.9,48.95,48.94,72,31
1625583611,48.96,48.96,48.94,48.96,48.957,25,5
1625583612,48.94,48.94,48.92,48.93,48.932,13,6
1625583613,48.9,48.96,48.87,48.94,48.915,57,34
1625583614,48.95,48.97,48.93,48.93,48.94,12,10
1625583615,48.95,48.95,48.93,48.94,48.941,31,3
1625583616,48.93,48.93,48.91,48.93,48.92,4,3
1625583617,48.93,48.95,48.87,48.91,48.922,68,25
1625583618,48.94,48.94,48.91,48.92,48.915,10,3
1625583619,48.92,48.96,48.92,48.95,48.945,23,10
1625583620,48.93,48.95,48.93,48.93,48.938,6,3
1625583621,48.97,48.97,48.97,48.97,48.97,25,14
1625583622,48.96,48.98,48.92,48.92,48.965,31,8
1625583623,48.95,48.96,48.94,48.96,48.949,43,5
1625583624,48.94,48.96,48.9,48.91,48.927,48,12
1625583625,48.9,48.93,48.9,48.9,48.912,32,5
1625583626,48.92,48.94,48.92,48.94,48.928,11,7
1625583627,48.92,48.93,48.9,48.91,48.913,18,3
1625583628,48.92,48.92,48.92,48.92,48.92,2,1
1625583629,48.93,48.93,48.9,48.9,48.914,20,4
1625583630,48.9,48.91,48.9,48.9,48.9,0,0
1625583631,48.92,48.93,48.9,48.92,48.911,7,5
1625583632,48.91,48.93,48.89,48.9,48.914,36,10
1625583633,48.92,48.93,48.9,48.9,48.919,9,6
1625583634,48.91,48.92,48.9,48.91,48.905,36,8
1625583635,48.89,48.91,48.84,48.91,48.87,49,30
1625583636,48.89,48.89,48.84,48.85,48.859,10,7
1625583637,48.87,48.88,48.81,48.88,48.836,29,10
1625583638,48.88,48.91,48.88,48.88,48.891,47,17
1625583639,48.88,48.88,48.87,48.88,48.877,6,3
1625583640,48.9,48.93,48.9,48.91,48.914,7,6
1625583641,48.93,48.93,48.91,48.91,48.927,30,5
1625583642,48.93,48.94,48.92,48.93,48.93,67,15
1625583643,48.93,48.95,48.92,48.95,48.932,19,12
1625583644,48.93,48.93,48.91,48.91,48.922,17,10
1625583645,48.9,48.9,48.9,48.9,48.9,1,1
1625583646,48.91,48.91,48.9,48.9,48.905,10,2
1625583647,48.92,48.93,48.91,48.93,48.927,41,15
1625583648,48.9,48.92,48.87,48.92,48.889,29,13
1625583649,48.92,48.93,48.92,48.93,48.928,6,3
1625583650,48.95,48.95,48.9,48.9,48.919,8,7
1625583651,48.89,48.92,48.89,48.91,48.901,23,3
1625583652,48.89,48.89,48.88,48.89,48.89,5,1
1625583653,48.9,48.9,48.9,48.9,48.9,1,1
1625583654,48.9,48.92,48.89,48.92,48.902,4,4
1625583655,48.9,48.9,48.89,48.89,48.895,2,2
1625583656,48.88,48.88,48.86,48.87,48.87,11,5
1625583657,48.88,48.88,48.84,48.86,48.852,83,10
1625583658,48.86,48.86,48.84,48.84,48.85,19,5
1625583659,48.85,48.85,48.82,48.83,48.832,20,8
1625583660,48.84,48.87,48.83,48.87,48.851,25,8
1625583661,48.87,48.88,48.85,48.88,48.87,31,10
1625583662,48.9,48.93,48.89,48.93,48.91,66,21
1625583663,48.94,48.96,48.93,48.94,48.941,34,10
1625583664,48.95,48.96,48.95,48.95,48.953,36,13
1625583665,48.94,48.96,48.93,48.96,48.95,23,5
1625583666,48.93,48.94,48.93,48.94,48.938,6,2
1625583667,48.95,48.96,48.93,48.93,48.945,56,16
1625583668,48.92,48.92,48.89,48.9,48.909,17,4
1625583669,48.9,48.92,48.88,48.91,48.893,14,6
1625583670,48.89,48.91,48.89,48.91,48.895,4,2
1625583671,48.87,48.87,48.87,48.87,48.87,1,1
1625583672,48.89,48.89,48.85,48.88,48.868,36,14
1625583673,48.85,48.87,48.85,48.85,48.86,22,4
1625583674,48.85,48.87,48.82,48.86,48.851,18,8
1625583675,48.84,48.84,48.77,48.81,48.793,184,37
1625583676,48.84,48.85,48.8,48.82,48.824,20,9
1625583677,48.81,48.85,48.81,48.85,48.833,24,12
1625583678,48.83,48.84,48.82,48.82,48.826,17,5
1625583679,48.84,48.85,48.81,48.81,48.822,20,10
1625583680,48.84,48.84,48.79,48.79,48.812,12,9
1625583681,48.83,48.83,48.8,48.81,48.812,21,7
1625583682,48.81,48.83,48.79,48.8,48.805,16,8
1625583683,48.8,48.82,48.8,48.8,48.803,45,12
1625583684,48.8,48.83,48.79,48.83,48.806,21,7
1625583685,48.84,48.84,48.81,48.84,48.83,5,4
1625583686,48.8,48.83,48.78,48.79,48.8,26,11
1625583687,48.82,48.82,48.8,48.81,48.809,17,4
1625583688,48.8,48.8,48.79,48.8,48.796,2,1
1625583689,48.82,48.82,48.77,48.77,48.793,31,6
