date,open,high,low,close,average,volume,count
1626249600,37.39,37.41,36.83,37.25,37.252,42,30
1626249660,37.3,37.37,37.24,37.37,37.283,49,33
1626249720,37.37,37.5,37.21,37.21,37.372,54,27
1626249780,37.31,37.35,37.18,37.18,37.275,40,23
1626249840,37.13,37.2,37.13,37.19,37.181,18,7
1626249900,37.19,37.25,37.19,37.25,37.236,6,5
1626249960,37.25,37.25,37.2,37.25,37.225,8,5
1626250020,37.25,37.25,37.2,37.25,37.221,10,7
1626250080,37.25,37.25,37.19,37.19,37.203,12,11
1626250140,37.19,37.19,37.18,37.18,37.187,3,3
1626250200,37.21,37.21,37.21,37.21,37.21,2,2
1626250260,37.21,37.21,37.2,37.2,37.209,8,3
1626250320,37.24,37.25,37.24,37.25,37.246,4,4
1626250380,37.25,37.25,37.25,37.25,37.25,0,0
1626250440,37.48,37.48,37.43,37.43,37.471,5,3
1626250500,37.48,37.7,37.48,37.7,37.56,110,33
1626250560,37.76,37.83,37.6,37.6,37.75,76,33
1626250620,37.7,37.7,37.58,37.58,37.66,3,2
1626250680,37.7,37.77,37.7,37.77,37.738,5,4
1626250740,37.75,37.76,37.75,37.75,37.756,8,6
1626250800,37.71,37.71,37.7,37.7,37.707,3,3
1626250860,37.76,37.79,37.71,37.77,37.749,27,10
1626250920,37.71,37.71,37.68,37.7,37.7,23,16
1626250980,37.65,37.65,37.65,37.65,37.65,2,2
1626251040,37.6,37.61,37.57,37.57,37.593,11,4
1626251100,37.5,37.53,37.5,37.5,37.504,14,5
1626251160,37.52,37.67,37.52,37.67,37.597,3,3
1626251220,37.7,37.77,37.7,37.77,37.73,16,10
1626251280,37.76,37.76,37.75,37.76,37.752,10,4
1626251340,37.77,37.77,37.75,37.75,37.755,8,8
1626251400,37.7,37.75,37.7,37.75,37.715,10,4
1626251460,37.75,37.75,37.75,37.75,37.75,0,0
1626251520,37.75,37.75,37.75,37.75,37.75,0,0
1626251580,37.75,37.75,37.75,37.75,37.75,0,0
1626251640,37.75,37.75,37.75,37.75,37.75,1,1
1626251700,37.75,37.75,37.75,37.75,37.75,0,0
1626251760,37.75,37.75,37.75,37.75,37.75,0,0
1626251820,37.71,37.71,37.7,37.7,37.702,5,3
1626251880,37.7,37.74,37.7,37.7,37.705,17,4
1626251940,37.71,37.71,37.7,37.7,37.7,32,8
1626252000,37.7,37.7,37.7,37.7,37.7,0,0
1626252060,37.74,37.75,37.71,37.71,37.739,15,6
1626252120,37.72,37.72,37.7,37.7,37.706,12,5
1626252180,37.67,37.67,37.67,37.67,37.67,3,1
1626252240,37.69,37.69,37.69,37.69,37.69,2,1
1626252300,37.69,37.69,37.69,37.69,37.69,1,1
1626252360,37.69,37.69,37.69,37.69,37.69,0,0
1626252420,37.69,37.69,37.69,37.69,37.69,0,0
1626252480,37.68,37.68,37.66,37.66,37.67,3,3
1626252540,37.62,37.62,37.62,37.62,37.62,3,2
1626252600,37.62,37.62,37.62,37.62,37.62,0,0
1626252660,37.6,37.6,37.6,37.6,37.6,1,1
1626252720,37.53,37.54,37.53,37.54,37.538,4,4
1626252780,37.52,37.52,37.5,37.5,37.51,6,4
1626252840,37.5,37.51,37.5,37.51,37.505,2,2
1626252900,37.51,37.51,37.51,37.51,37.51,0,0
1626252960,37.41,37.41,37.41,37.41,37.41,1,1
1626253020,37.46,37.47,37.46,37.47,37.466,2,2
1626253080,37.56,37.56,37.54,37.54,37.549,4,2
1626253140,37.54,37.54,37.54,37.54,37.54,0,0
1626253200,37.46,37.46,37.46,37.46,37.46,2,1
1626253260,37.45,37.45,37.45,37.45,37.45,1,1
1626253320,37.45,37.45,37.45,37.45,37.45,0,0
1626253380,37.45,37.45,37.45,37.45,37.45,0,0
1626253440,37.46,37.46,37.46,37.46,37.46,1,1
1626253500,37.46,37.46,37.46,37.46,37.46,0,0
1626253560,37.46,37.46,37.46,37.46,37.46,0,0
1626253620,37.46,37.46,37.45,37.46,37.456,4,3
1626253680,37.53,37.53,37.52,37.52,37.523,3,2
1626253740,37.54,37.6,37.54,37.6,37.567,17,10
1626253800,37.61,37.61,37.61,37.61,37.61,5,3
1626253860,37.68,37.68,37.66,37.66,37.666,3,2
1626253920,37.66,37.66,37.66,37.66,37.66,0,0
1626253980,37.66,37.66,37.66,37.66,37.66,0,0
1626254040,37.73,37.8,37.73,37.8,37.764,19,5
1626254100,37.89,37.9,37.89,37.9,37.891,21,17
1626254160,37.89,37.9,37.88,37.88,37.89,6,3
1626254220,37.83,37.83,37.83,37.83,37.83,2,1
1626254280,37.8,37.89,37.8,37.89,37.861,29,14
1626254340,37.89,37.89,37.89,37.89,37.89,3,1
1626254400,37.9,37.9,37.9,37.9,37.9,4,3
1626254460,37.9,37.9,37.9,37.9,37.9,0,0
1626254520,37.87,37.87,37.87,37.87,37.87,1,1
1626254580,37.89,37.89,37.84,37.84,37.85,5,3
1626254640,37.84,37.84,37.84,37.84,37.84,0,0
1626254700,37.87,37.87,37.87,37.87,37.87,6,2
1626254760,37.9,37.9,37.84,37.87,37.87,34,10
1626254820,37.85,37.87,37.85,37.87,37.855,5,2
1626254880,37.86,37.86,37.86,37.86,37.86,9,2
1626254940,37.9,38.07,37.9,38.02,37.973,96,23
1626255000,38.02,38.05,38.0,38.0,38.023,14,8
1626255060,38.0,38.0,38.0,38.0,38.0,0,0
1626255120,38.07,38.14,38.07,38.14,38.12,7,6
1626255180,38.16,38.32,38.16,38.28,38.255,60,30
1626255240,38.3,38.3,38.05,38.1,38.212,34,15
1626255300,38.1,38.1,38.07,38.07,38.077,8,4
1626255360,38.04,38.07,38.04,38.07,38.065,11,4
1626255420,38.12,38.12,38.05,38.05,38.11,21,9
1626255480,38.1,38.1,38.1,38.1,38.1,3,1
1626255540,38.1,38.1,38.1,38.1,38.1,1,1
1626255600,38.05,38.05,37.83,37.83,37.998,21,10
1626255660,37.86,37.86,37.76,37.78,37.813,12,8
1626255720,37.78,37.78,37.78,37.78,37.78,3,1
1626255780,37.89,37.89,37.89,37.89,37.89,1,1
1626255840,37.89,37.89,37.89,37.89,37.89,0,0
1626255900,37.89,37.89,37.89,37.89,37.89,0,0
1626255960,37.92,37.92,37.92,37.92,37.92,2,1
1626256020,37.91,37.91,37.83,37.83,37.894,7,4
1626256080,37.82,37.82,37.8,37.8,37.81,8,4
1626256140,37.8,37.8,37.8,37.8,37.8,4,2
1626256200,37.89,37.95,37.89,37.95,37.926,4,3
1626256260,37.95,37.95,37.95,37.95,37.95,2,2
1626256320,37.95,37.95,37.95,37.95,37.95,0,0
1626256380,38.0,38.0,38.0,38.0,38.0,4,2
1626256440,37.9,37.9,37.9,37.9,37.9,6,2
