date,open,high,low,close,average,volume,count
1629100800,8.0,8.13,7.97,8.0,8.02292,35,22
1629101700,8.0,8.0,8.0,8.0,8.0,0,0
1629102600,8.05,8.15,8.05,8.15,8.08827,19,14
1629103500,8.18,8.59,8.18,8.35,8.40977,120,50
1629104400,8.3,8.3,8.26,8.28,8.28,5,5
1629105300,8.24,8.35,8.22,8.22,8.29141,26,17
1629106200,8.2,8.2,8.19,8.19,8.19875,8,3
1629107100,8.14,8.14,8.1,8.1,8.10214,18,4
1629108000,8.2,8.2,8.2,8.2,8.2,1,1
1629108900,8.2,8.3,8.2,8.3,8.24428,6,4
1629109800,8.28,8.28,8.2,8.22,8.245,4,4
1629110700,8.22,8.22,8.22,8.22,8.22,0,0
1629111600,8.26,8.29,8.14,8.15,8.16744,32,19
1629112500,8.15,8.23,8.12,8.12,8.16884,33,16
1629113400,8.11,8.24,8.11,8.21,8.19741,37,24
1629114300,8.2,8.2,8.03,8.06,8.0925,96,43
1629115200,8.2499,8.25,8.02,8.04,8.12059,485,81
1629116100,8.1,8.23,8.02,8.1499,8.16603,196,32
1629117000,8.1,8.69,8.1,8.6,8.43131,1032,171
1629117900,8.6,9.01,8.56,8.56,8.83287,2828,625
1629118800,8.56,8.72,8.26,8.32,8.5458,871,279
1629119700,8.34,8.85,8.28,8.61,8.63366,2174,496
1629120600,8.62,8.68,8.02,8.119,8.34755,11749,2911
1629121500,8.119,8.37,8.05,8.28,8.20784,5712,1726
1629122400,8.2769,8.5699,8.09,8.2,8.36333,9905,2477
1629123300,8.19,8.24,7.87,7.95,8.02773,6370,1350
1629124200,7.9838,8.04,7.81,7.86,7.91859,2974,913
1629125100,7.8617,8.0099,7.84,7.9381,7.91108,2367,571
1629126000,7.9201,8.25,7.92,8.2247,8.07772,3084,778
1629126900,8.22,8.29,8.04,8.124,8.13694,1984,377
1629127800,8.115,8.18,8.05,8.06,8.12355,1045,273
1629128700,8.07,8.38,8.07,8.1999,8.25155,5275,1545
1629129600,8.199,8.29,8.12,8.15,8.19334,1228,336
1629130500,8.15,8.2,8.04,8.06,8.10162,1330,289
1629131400,8.06,8.09,8.04,8.06,8.06267,630,234
1629132300,8.07,8.08,8.0,8.06,8.0419,905,335
1629133200,8.06,8.07,7.9602,8.04,8.00751,1046,275
1629134100,8.03,8.07,7.995,8.0083,8.03268,643,193
1629135000,8.0299,8.0299,7.87,7.9523,7.93606,1546,368
1629135900,7.945,7.97,7.8,7.82,7.85463,1773,430
1629136800,7.8101,7.91,7.81,7.87,7.86426,828,268
1629137700,7.865,7.87,7.67,7.78,7.74315,2648,649
1629138600,7.78,7.83,7.69,7.79,7.7686,1585,588
1629139500,7.78,7.93,7.7601,7.919,7.85556,1710,653
1629140400,7.93,7.945,7.87,7.925,7.92084,504,198
1629141300,7.91,7.93,7.8,7.89,7.89082,1320,362
1629142200,7.9,7.92,7.82,7.8359,7.85129,1078,393
1629143100,7.835,7.88,7.76,7.83,7.81801,3501,1050
1629144000,7.84,7.85,7.8,7.8,7.83031,183,32
1629144900,7.85,7.86,7.8,7.8,7.80475,125,20
1629145800,7.8,7.8,7.7,7.7,7.761,281,55
1629146700,7.75,7.75,7.55,7.61,7.63289,223,51
1629147600,7.59,7.68,7.57,7.58,7.60515,345,33
1629148500,7.6,7.63,7.56,7.6,7.59194,109,32
1629149400,7.6,7.6,7.58,7.6,7.59927,128,18
1629150300,7.7,7.73,7.64,7.68,7.66235,82,10
1629151200,7.7,7.7,7.7,7.7,7.7,12,2
1629152100,7.66,7.77,7.66,7.76,7.73021,88,18
1629153000,7.76,7.76,7.72,7.72,7.74053,10,3
1629153900,7.73,7.73,7.72,7.72,7.72399,13,5
1629154800,7.76,7.76,7.65,7.65,7.69447,45,11
1629155700,7.6499,7.65,7.6,7.65,7.62052,32,20
1629156600,7.65,7.65,7.6,7.61,7.61453,15,5
1629157500,7.6,7.65,7.56,7.65,7.60737,34,14
1629187200,7.71,7.72,7.71,7.72,7.71523,4,3
1629188100,7.67,7.67,7.57,7.58,7.61353,17,13
1629189000,7.69,7.69,7.69,7.69,7.69,2,2
1629189900,7.68,7.72,7.68,7.72,7.71074,8,4
1629190800,7.72,7.72,7.72,7.72,7.72,0,0
1629191700,7.72,7.72,7.72,7.72,7.72,0,0
1629192600,7.7,7.7,7.7,7.7,7.7,1,1
1629193500,7.7,7.7,7.7,7.7,7.7,0,0
1629194400,7.7,7.7,7.7,7.7,7.7,0,0
1629195300,7.7,7.7,7.7,7.7,7.7,2,1
1629196200,7.7,7.7,7.7,7.7,7.7,0,0
1629197100,7.62,7.62,7.62,7.62,7.62,2,2
1629198000,7.61,7.65,7.57,7.65,7.60746,5,4
1629198900,7.71,7.72,7.7,7.7,7.71008,7,4
1629199800,7.7,7.7,7.7,7.7,7.7,0,0
1629200700,7.75,7.75,7.69,7.69,7.71129,5,4
1629201600,7.56,7.83,7.56,7.7201,7.71373,73,25
1629202500,7.77,7.77,7.72,7.77,7.73823,40,13
1629203400,7.84,7.84,7.7509,7.7509,7.80883,35,11
1629204300,7.75,7.83,7.75,7.75,7.77838,18,5
1629205200,7.7502,7.8,7.72,7.72,7.74597,176,39
1629206100,7.72,7.74,7.56,7.56,7.65587,101,31
1629207000,7.57,7.8,7.5,7.6283,7.64306,2740,711
1629207900,7.621,7.78,7.5501,7.6401,7.66291,2203,642
1629208800,7.64,8.08,7.64,8.04,7.84993,2754,654
1629209700,8.03,8.5,8.003,8.15,8.26075,8724,2070
1629210600,8.16,8.26,8.01,8.14,8.1321,3115,872
1629211500,8.14,8.4,8.06,8.175,8.23464,3210,815
1629212400,8.17,8.24,8.05,8.1106,8.14719,1371,400
1629213300,8.13,8.19,8.01,8.05,8.10979,1089,334
1629214200,8.0301,8.14,7.87,7.88,7.97788,1363,388
1629215100,7.92,7.99,7.87,7.95,7.92774,1058,277
1629216000,7.95,8.07,7.9,8.0577,7.99365,1262,294
1629216900,8.06,8.21,7.98,8.165,8.09042,2244,514
1629217800,8.19,8.31,8.08,8.08,8.19385,2903,605
1629218700,8.0801,8.2,7.92,8.05,8.06691,4053,1032
1629219600,8.041,8.14,8.0001,8.0908,8.07395,1505,478
1629220500,8.09,8.2,8.0701,8.19,8.13819,2283,537
1629221400,8.171,8.19,8.01,8.06,8.11501,804,300
1629222300,8.089,8.25,8.0101,8.2158,8.15197,2418,618
1629223200,8.237,8.3,8.11,8.28,8.23502,2325,728
1629224100,8.24,8.35,8.17,8.3,8.26667,2743,803
1629225000,8.28,8.3,8.11,8.2,8.18215,1152,377
1629225900,8.23,8.3,8.14,8.26,8.24419,903,262
1629226800,8.265,8.4,8.17,8.2301,8.30951,3130,757
1629227700,8.2453,8.4,8.23,8.34,8.3208,1115,346
1629228600,8.332,8.47,8.25,8.28,8.38944,3519,1047
1629229500,8.27,8.39,8.26,8.35,8.31893,2656,833
1629230400,8.38,8.38,8.13,8.26,8.32252,346,42
1629231300,8.221,8.27,8.2,8.2,8.23126,92,21
1629232200,8.15,8.15,8.01,8.05,8.0703,112,42
1629233100,8.0901,8.18,8.0901,8.11,8.14118,57,15
1629234000,8.1,8.19,8.05,8.19,8.09108,150,28
1629234900,8.18,8.25,8.16,8.25,8.20922,65,17
1629235800,8.25,8.26,8.11,8.25,8.22976,46,12
1629236700,8.18,8.18,8.1,8.1,8.13599,28,7
1629237600,8.12,8.23,8.12,8.22,8.19607,11,6
1629238500,8.11,8.11,8.11,8.11,8.11,1,1
1629239400,8.16,8.16,8.12,8.12,8.12552,32,2
1629240300,8.22,8.23,8.12,8.22,8.19897,36,8
1629241200,8.22,8.23,8.22,8.23,8.22143,14,3
1629242100,8.23,8.23,8.22,8.22,8.22574,12,6
1629243000,8.23,8.23,8.22,8.22,8.22843,13,5
1629243900,8.19,8.2,8.12,8.13,8.14961,17,7
1629273600,8.01,8.01,8.01,8.01,8.01,9,1
1629274500,8.22,8.22,8.13,8.13,8.19778,8,4
1629275400,8.14,8.14,8.14,8.14,8.14,4,1
1629276300,8.14,8.14,8.14,8.14,8.14,5,4
1629277200,8.16,8.18,8.16,8.18,8.17868,15,7
1629278100,8.18,8.18,8.16,8.16,8.176,7,3
1629279000,8.18,8.18,8.18,8.18,8.18,4,2
1629279900,8.18,8.18,8.18,8.18,8.18,0,0
1629280800,8.16,8.16,8.16,8.16,8.16,3,1
1629281700,8.16,8.16,8.16,8.16,8.16,1,1
1629282600,8.15,8.15,8.15,8.15,8.15,1,1
1629283500,8.15,8.15,8.15,8.15,8.15,0,0
1629284400,8.15,8.18,8.14,8.14,8.16459,5,5
1629285300,8.13,8.14,8.13,8.14,8.1336,5,2
1629286200,8.15,8.15,8.14,8.15,8.14561,3,3
1629287100,8.15,8.15,8.15,8.15,8.15,7,5
1629288000,8.1301,8.25,8.12,8.15,8.16514,170,31
1629288900,8.15,8.15,8.12,8.12,8.13883,58,17
1629289800,8.15,8.18,8.13,8.18,8.16915,18,7
1629290700,8.17,8.19,8.1403,8.1403,8.17532,41,13
1629291600,8.17,8.19,8.14,8.19,8.15675,66,19
1629292500,8.14,8.18,8.11,8.12,8.15118,63,24
1629293400,8.11,8.15,7.8001,8.1,8.02564,2680,573
1629294300,8.1001,8.29,7.9991,8.2357,8.15715,2262,551
1629295200,8.24,8.35,8.1,8.33,8.23088,1099,266
1629296100,8.3129,8.57,8.3,8.4376,8.45174,4324,889
1629297000,8.42,8.67,8.4106,8.625,8.58119,2806,708
1629297900,8.62,8.8,8.54,8.72,8.68029,5048,1062
1629298800,8.73,8.8,8.56,8.5605,8.70987,1758,403
1629299700,8.5601,8.62,8.37,8.4,8.49966,1977,442
1629300600,8.4,8.4515,8.24,8.4439,8.36718,1732,294
1629301500,8.44,8.49,8.31,8.48,8.40549,631,158
1629302400,8.49,8.5653,8.41,8.5,8.49662,1066,204
1629303300,8.46,8.4999,8.384,8.4581,8.44798,548,145
1629304200,8.45,8.55,8.4321,8.5399,8.49595,1075,194
1629305100,8.5,8.6,8.5,8.55,8.55978,1135,219
1629306000,8.5456,8.59,8.45,8.4971,8.51667,793,152
1629306900,8.48,8.52,8.33,8.4194,8.4269,1522,288
1629307800,8.42,8.55,8.36,8.4564,8.44112,824,151
1629308700,8.4601,8.58,8.45,8.58,8.52745,1511,266
1629309600,8.545,8.7,8.4484,8.4484,8.59857,2019,371
1629310500,8.45,8.6299,8.407,8.61,8.48215,1613,280
1629311400,8.59,8.59,8.5,8.51,8.54487,527,122
1629312300,8.51,8.55,8.5,8.51,8.51378,471,137
1629313200,8.49,8.52,8.42,8.46,8.46415,985,172
1629314100,8.45,8.48,8.28,8.29,8.38331,1049,293
1629315000,8.2896,8.3399,8.12,8.15,8.19787,1946,366
1629315900,8.17,8.18,8.06,8.13,8.11594,2180,629
1629316800,8.14,8.2,8.1,8.1,8.16682,306,27
1629317700,8.11,8.11,8.05,8.1,8.08803,68,19
1629318600,8.1,8.13,8.1,8.13,8.10173,51,11
1629319500,8.11,8.15,8.1,8.1101,8.11181,113,14
1629320400,8.2,8.2,8.1,8.15,8.13749,72,19
1629321300,8.15,8.16,8.14,8.16,8.152,39,12
1629322200,8.16,8.17,8.14,8.16,8.15419,18,6
1629323100,8.14,8.16,8.11,8.1501,8.15639,123,10
1629324000,8.15,8.15,8.15,8.15,8.15,1,1
1629324900,8.15,8.3,8.11,8.3,8.26729,135,14
1629325800,8.3,8.3,8.16,8.3,8.19696,10,4
1629326700,8.25,8.26,8.25,8.25,8.25163,9,5
1629327600,8.25,8.25,8.25,8.25,8.25,0,0
1629328500,8.22,8.3,8.21,8.3,8.21552,30,6
