date,open,high,low,close,average,volume,count
1630506600,26.4399,26.4399,26.4399,26.4399,26.4399,2,1
1630506601,26.42,26.45,26.42,26.4445,26.43368,15,6
1630506602,26.4,26.4,26.35,26.4,26.36036,54,17
1630506603,26.389,26.389,26.3501,26.3655,26.3672,10,3
1630506604,26.35,26.3582,26.35,26.3582,26.35162,5,3
1630506605,26.35,26.35,26.35,26.35,26.35,7,3
1630506606,26.3469,26.35,26.3301,26.35,26.34348,40,3
1630506607,26.4,26.4,26.39,26.39,26.39667,3,2
1630506608,26.375,26.375,26.365,26.365,26.37214,3,2
1630506609,26.365,26.365,26.35,26.35,26.35574,5,5
1630506610,26.345,26.3799,26.345,26.37,26.36858,5,3
1630506611,26.32,26.32,26.32,26.32,26.32,1,1
1630506612,26.33,26.33,26.33,26.33,26.33,1,1
1630506613,26.33,26.33,26.25,26.2502,26.2634,80,14
1630506614,26.25,26.3129,26.2,26.265,26.24503,16,10
1630506615,26.21,26.265,26.21,26.265,26.2375,2,2
1630506616,26.2,26.3183,26.2,26.3183,26.26054,12,4
1630506617,26.2,26.2,26.2,26.2,26.2,1,1
1630506618,26.265,26.265,26.2,26.2,26.22263,7,6
1630506619,26.265,26.265,26.2576,26.2576,26.26394,7,3
1630506620,26.2576,26.265,26.2576,26.265,26.26369,8,3
1630506621,26.3164,26.3164,26.25,26.265,26.27433,10,4
1630506622,26.265,26.265,26.265,26.265,26.265,1,1
1630506623,26.265,26.3287,26.265,26.3287,26.31152,6,3
1630506624,26.21,26.25,26.21,26.25,26.22577,13,4
1630506625,26.2429,26.2436,26.2001,26.2436,26.22573,19,4
1630506626,26.2053,26.25,26.2053,26.25,26.213,6,2
1630506627,26.2415,26.2415,26.225,26.225,26.22971,3,2
1630506628,26.225,26.2301,26.225,26.2301,26.22964,11,2
1630506629,26.2001,26.27,26.2001,26.27,26.24675,9,5
1630506630,26.27,26.27,26.27,26.27,26.27,0,0
1630506631,26.2725,26.2725,26.25,26.268,26.26328,9,9
1630506632,26.3399,26.3399,26.3399,26.3399,26.3399,5,1
1630506633,26.295,26.295,26.295,26.295,26.295,2,1
1630506634,26.25,26.295,26.25,26.295,26.27455,44,2
1630506635,26.295,26.295,26.295,26.295,26.295,0,0
1630506636,26.295,26.295,26.295,26.295,26.295,0,0
1630506637,26.3,26.34,26.3,26.34,26.31244,11,5
1630506638,26.38,26.38,26.38,26.38,26.38,5,1
1630506639,26.32,26.32,26.3155,26.3155,26.31831,8,2
1630506640,26.32,26.38,26.3,26.38,26.34948,34,18
1630506641,26.345,26.345,26.345,26.345,26.345,2,1
1630506642,26.3729,26.3729,26.3441,26.3441,26.37077,27,2
1630506643,26.3001,26.335,26.3001,26.335,26.32162,11,4
1630506644,26.377,26.377,26.377,26.377,26.377,4,1
1630506645,26.3401,26.3401,26.34,26.34,26.34007,20,4
1630506646,26.3101,26.38,26.3101,26.38,26.35411,2,2
1630506647,26.35,26.4,26.35,26.35,26.37369,15,10
1630506648,26.35,26.35,26.35,26.35,26.35,0,0
1630506649,26.4,26.4,26.4,26.4,26.4,1,1
1630506650,26.399,26.399,26.3194,26.3194,26.3393,4,2
1630506651,26.355,26.355,26.3193,26.3193,26.32396,23,3
1630506652,26.355,26.45,26.355,26.38,26.39583,44,19
1630506653,26.38,26.38,26.38,26.38,26.38,0,0
1630506654,26.38,26.38,26.38,26.38,26.38,0,0
1630506655,26.43,26.46,26.42,26.43,26.44175,25,17
1630506656,26.43,26.43,26.43,26.43,26.43,0,0
1630506657,26.3308,26.3308,26.3308,26.3308,26.3308,1,1
1630506658,26.3308,26.3308,26.3308,26.3308,26.3308,0,0
1630506659,26.3801,26.43,26.3801,26.43,26.38357,54,2
1630506660,26.47,26.6,26.47,26.5971,26.50931,116,30
1630506661,26.63,26.65,26.585,26.585,26.63,14,5
1630506662,26.6094,26.6094,26.56,26.56,26.60088,7,2
1630506663,26.66,26.66,26.618,26.618,26.6329,3,3
1630506664,26.5201,26.66,26.5201,26.59,26.5989,8,4
1630506665,26.61,26.61,26.61,26.61,26.61,1,1
1630506666,26.66,26.66,26.52,26.59,26.54113,53,4
1630506667,26.6095,26.6095,26.59,26.59,26.59358,49,2
1630506668,26.59,26.59,26.59,26.59,26.59,0,0
1630506669,26.56,26.56,26.56,26.56,26.56,1,1
1630506670,26.56,26.56,26.56,26.56,26.56,0,0
1630506671,26.52,26.59,26.52,26.555,26.53215,76,6
1630506672,26.5828,26.5828,26.4014,26.5599,26.50351,84,10
1630506673,26.54,26.54,26.54,26.54,26.54,4,1
1630506674,26.54,26.54,26.54,26.54,26.54,0,0
1630506675,26.465,26.5,26.465,26.5,26.4825,2,2
1630506676,26.52,26.52,26.52,26.52,26.52,1,1
1630506677,26.52,26.52,26.52,26.52,26.52,5,2
1630506678,26.4001,26.52,26.4001,26.52,26.47347,24,6
1630506679,26.5199,26.5199,26.5199,26.5199,26.5199,2,1
1630506680,26.52,26.59,26.52,26.59,26.53641,8,8
1630506681,26.6,26.77,26.6,26.77,26.69488,47,20
1630506682,26.55,26.55,26.5001,26.51,26.5104,50,3
1630506683,26.635,26.75,26.589,26.73,26.74439,85,9
1630506684,26.73,26.73,26.73,26.73,26.73,0,0
1630506685,26.6717,26.6717,26.64,26.64,26.64102,31,2
1630506686,26.75,26.75,26.75,26.75,26.75,27,3
1630506687,26.69,26.69,26.6545,26.6545,26.66633,15,2
1630506688,26.6768,26.75,26.52,26.52,26.62975,29,19
1630506689,26.6535,26.6535,26.6535,26.6535,26.6535,5,1
1630506690,26.7191,26.7191,26.625,26.625,26.71035,10,2
1630506691,26.6443,26.74,26.625,26.74,26.72244,12,3
1630506692,26.5497,26.5497,26.5497,26.5497,26.5497,10,1
1630506693,26.62,26.62,26.62,26.62,26.62,1,1
1630506694,26.629,26.6899,26.629,26.6899,26.64611,3,2
1630506695,26.62,26.67,26.6,26.67,26.63167,12,5
1630506696,26.67,26.67,26.67,26.67,26.67,10,1
1630506697,26.638,26.638,26.5801,26.5801,26.60078,14,2
1630506698,26.63,26.6747,26.63,26.6747,26.6488,8,3
1630506699,26.681,26.681,26.6124,26.6124,26.61864,11,2
1630506700,26.67,26.67,26.66,26.66,26.665,2,2
1630506701,26.6117,26.74,26.6117,26.74,26.72326,44,4
1630506702,26.74,26.74,26.74,26.74,26.74,5,1
1630506703,26.65,26.7215,26.65,26.7215,26.67383,3,2
1630506704,26.62,26.6699,26.62,26.6699,26.63048,26,4
1630506705,26.67,26.69,26.619,26.69,26.64941,122,29
1630506706,26.6938,26.85,26.69,26.823,26.76958,146,45
1630506707,26.823,26.823,26.823,26.823,26.823,0,0
1630506708,26.83,26.89,26.83,26.855,26.88624,34,5
1630506709,26.87,26.89,26.866,26.89,26.8869,20,4
1630506710,26.85,26.87,26.85,26.8699,26.86874,34,3
1630506711,26.855,26.857,26.855,26.857,26.85667,6,2
1630506712,26.89,26.89,26.8884,26.8884,26.88896,2,2
1630506713,26.836,26.87,26.795,26.795,26.82502,23,6
1630506714,26.82,26.82,26.82,26.82,26.82,1,1
1630506715,26.88,26.88,26.88,26.88,26.88,2,1
1630506716,26.86,26.86,26.86,26.86,26.86,18,5
1630506717,26.77,26.86,26.77,26.86,26.79527,26,11
1630506718,26.814,26.86,26.814,26.849,26.85188,11,7
1630506719,26.8317,26.8595,26.8001,26.8595,26.83053,17,8
1630506720,26.85,26.86,26.85,26.86,26.85714,3,3
1630506721,26.83,26.83,26.83,26.83,26.83,1,1
1630506722,26.8249,26.8249,26.77,26.8,26.7856,63,16
1630506723,26.8,26.8,26.6901,26.745,26.71506,20,6
1630506724,26.7999,26.7999,26.745,26.745,26.77245,4,2
1630506725,26.79,26.8,26.745,26.8,26.78941,12,6
1630506726,26.74,26.7843,26.74,26.75,26.75028,15,4
1630506727,26.7688,26.7688,26.7688,26.7688,26.7688,1,1
1630506728,26.75,26.75,26.75,26.75,26.75,2,1
1630506729,26.69,26.7701,26.69,26.735,26.702,37,7
1630506730,26.75,26.77,26.6901,26.73,26.75431,74,5
1630506731,26.7292,26.7292,26.69,26.69,26.72365,16,2
1630506732,26.69,26.69,26.58,26.634,26.65806,38,9
1630506733,26.634,26.634,26.634,26.634,26.634,0,0
1630506734,26.675,26.675,26.5801,26.5801,26.61417,3,2
1630506735,26.7599,26.7599,26.6833,26.6833,26.69231,8,2
1630506736,26.73,26.7599,26.634,26.73,26.70261,13,5
1630506737,26.73,26.73,26.73,26.73,26.73,0,0
1630506738,26.6,26.61,26.6,26.61,26.60183,5,4
1630506739,26.665,26.75,26.66,26.665,26.72583,20,7
1630506740,26.7256,26.7317,26.7256,26.7317,26.73031,4,2
1630506741,26.7,26.7499,26.7,26.7499,26.71663,3,2
1630506742,26.73,26.7494,26.7281,26.7281,26.73915,21,5
1630506743,26.7286,26.7345,26.6001,26.7281,26.69082,17,6
1630506744,26.7314,26.7314,26.7314,26.7314,26.7314,2,1
1630506745,26.675,26.75,26.675,26.75,26.7112,10,3
1630506746,26.75,26.75,26.75,26.75,26.75,0,0
1630506747,26.7373,26.7373,26.7373,26.7373,26.7373,10,1
1630506748,26.67,26.67,26.67,26.67,26.67,5,1
1630506749,26.7287,26.7287,26.7287,26.7287,26.7287,4,1
1630506750,26.7299,26.7299,26.665,26.7174,26.71269,5,3
1630506751,26.7203,26.7203,26.65,26.65,26.70214,8,2
1630506752,26.67,26.719,26.67,26.719,26.67142,52,3
1630506753,26.6749,26.6749,26.6749,26.6749,26.6749,4,1
1630506754,26.675,26.6995,26.6501,26.6995,26.67603,25,5
1630506755,26.65,26.6999,26.65,26.6622,26.6663,11,6
1630506756,26.6891,26.6891,26.6891,26.6891,26.6891,2,1
1630506757,26.6864,26.6925,26.6864,26.6925,26.69195,11,2
1630506758,26.6741,26.6741,26.6501,26.6501,26.6701,6,2
1630506759,26.67,26.6999,26.6233,26.6233,26.65948,5,5
1630506760,26.6905,26.7,26.64,26.64,26.66521,25,4
1630506761,26.6102,26.6314,26.6102,26.6314,26.6208,50,2
1630506762,26.67,26.69,26.6401,26.69,26.6566,14,5
1630506763,26.6655,26.7,26.6655,26.67,26.67494,57,12
1630506764,26.7,26.7,26.7,26.7,26.7,1,1
1630506765,26.7,26.7,26.6994,26.7,26.69992,13,5
1630506766,26.6915,26.7,26.6694,26.7,26.69477,36,18
