date,open,high,low,close,average,volume,count
1630396800,38.5,38.5,38.0,38.49,38.4037,39,21
1630396860,38.49,39.5,38.48,38.99,39.00382,99,40
1630396920,38.84,39.19,38.81,39.19,38.93642,37,18
1630396980,38.92,39.0,38.9,38.92,38.95978,31,15
1630397040,38.9,39.03,38.84,39.03,38.9736,33,18
1630397100,39.29,39.99,39.25,39.25,39.75555,103,64
1630397160,39.25,39.5,39.25,39.3,39.29395,10,5
1630397220,39.31,39.31,39.03,39.17,39.22072,41,15
1630397280,39.25,39.25,39.0,39.17,39.1009,18,12
1630397340,39.0,39.0,38.5,38.57,38.72126,8,5
1630397400,38.5,38.52,38.1,38.24,38.32048,42,22
1630397460,38.2,38.48,38.1,38.4,38.31133,13,13
1630397520,38.69,38.69,38.67,38.67,38.68333,3,3
1630397580,38.53,38.53,38.5,38.5,38.52323,6,2
1630397640,38.5,38.5,38.39,38.4,38.4529,5,3
1630397700,38.63,38.63,38.55,38.55,38.59,2,2
1630397760,38.55,38.55,38.55,38.55,38.55,0,0
1630397820,38.55,38.59,38.21,38.26,38.40858,38,12
1630397880,38.26,38.3,38.21,38.3,38.2331,21,7
1630397940,38.32,38.32,38.3,38.3,38.30667,3,2
1630398000,38.3,38.3,38.21,38.21,38.26985,6,4
1630398060,38.2,38.23,38.19,38.19,38.2081,14,9
1630398120,38.19,38.19,37.0,37.0,37.74653,74,29
1630398180,37.3,37.67,37.3,37.5,37.51067,11,7
1630398240,37.5,37.5,37.2,37.32,37.26223,26,11
1630398300,37.23,37.5,37.0,37.39,37.15219,100,48
1630398360,37.3,37.3,37.03,37.1,37.18041,48,11
1630398420,37.1,37.1,36.82,36.88,36.99673,48,18
1630398480,36.78,36.8,36.68,36.68,36.75045,53,16
1630398540,36.6,36.6,36.5,36.5,36.58059,140,36
1630398600,36.39,36.39,36.13,36.13,36.36387,36,7
1630398660,36.13,36.13,35.51,35.51,35.86491,58,31
1630398720,35.4,36.05,35.27,36.05,35.50172,67,27
1630398780,36.37,37.95,36.37,37.94,37.49933,42,23
1630398840,37.82,37.82,37.3,37.3,37.60134,33,14
1630398900,37.29,37.55,37.29,37.55,37.35978,8,3
1630398960,37.5,37.5,37.5,37.5,37.5,7,3
1630399020,37.5,37.5,37.5,37.5,37.5,0,0
1630399080,37.02,37.02,36.6,36.6,36.768,2,2
1630399140,36.6,36.6,36.6,36.6,36.6,0,0
1630399200,36.6,36.6,36.6,36.6,36.6,0,0
1630399260,36.83,36.83,36.83,36.83,36.83,1,1
1630399320,36.99,36.99,36.99,36.99,36.99,1,1
1630399380,37.0,37.19,36.99,37.19,37.05753,6,5
1630399440,37.19,37.2,37.19,37.2,37.19659,2,2
1630399500,37.25,37.39,37.25,37.39,37.33805,3,3
1630399560,37.4,37.5,37.39,37.49,37.45818,11,9
1630399620,37.49,37.49,37.49,37.49,37.49,3,1
1630399680,37.36,37.4,37.36,37.36,37.36622,6,4
1630399740,37.49,37.49,37.48,37.48,37.48589,7,3
1630399800,37.45,37.5,37.45,37.5,37.4898,8,5
1630399860,37.59,37.59,37.59,37.59,37.59,1,1
1630399920,37.59,37.59,37.59,37.59,37.59,0,0
1630399980,37.59,37.59,37.59,37.59,37.59,0,0
1630400040,37.59,37.59,37.59,37.59,37.59,0,0
1630400100,37.59,37.59,37.59,37.59,37.59,0,0
1630400160,37.31,37.31,37.31,37.31,37.31,2,1
1630400220,37.31,37.31,37.31,37.31,37.31,0,0
1630400280,37.31,37.31,37.31,37.31,37.31,0,0
1630400340,37.31,37.31,37.31,37.31,37.31,0,0
1630400400,37.15,37.15,37.15,37.15,37.15,2,1
1630400460,37.15,37.15,37.15,37.15,37.15,0,0
1630400520,37.15,37.15,37.15,37.15,37.15,0,0
1630400580,37.15,37.15,37.15,37.15,37.15,0,0
1630400640,37.15,37.15,37.15,37.15,37.15,0,0
1630400700,37.15,37.15,37.15,37.15,37.15,0,0
1630400760,37.15,37.15,37.15,37.15,37.15,0,0
1630400820,37.15,37.15,37.15,37.15,37.15,0,0
1630400880,37.12,37.12,37.12,37.12,37.12,2,1
1630400940,37.12,37.12,37.12,37.12,37.12,0,0
1630401000,37.08,37.08,37.08,37.08,37.08,1,1
1630401060,37.0,37.0,37.0,37.0,37.0,2,2
1630401120,36.71,36.71,36.71,36.71,36.71,1,1
1630401180,36.36,36.36,36.22,36.22,36.29,2,2
1630401240,36.49,37.0,36.49,37.0,36.745,4,2
1630401300,37.04,37.04,36.9,36.9,36.97232,8,3
1630401360,36.9,36.9,36.9,36.9,36.9,0,0
1630401420,36.9,36.9,36.9,36.9,36.9,0,0
1630401480,36.8,36.8,36.8,36.8,36.8,1,1
1630401540,36.72,36.72,36.72,36.72,36.72,2,1
1630401600,36.8,37.1,36.8,37.1,36.96172,52,5
1630401660,37.2,37.3,37.2,37.3,37.24217,29,6
1630401720,37.46,37.6,37.46,37.6,37.52597,9,5
1630401780,37.66,37.66,37.59,37.59,37.625,4,4
1630401840,37.59,37.59,37.59,37.59,37.59,0,0
1630401900,37.49,37.49,37.4,37.4,37.41202,14,3
1630401960,37.4,37.48,37.4,37.4,37.42058,15,6
1630402020,37.4,37.4,37.4,37.4,37.4,0,0
1630402080,37.4,37.4,37.4,37.4,37.4,0,0
1630402140,37.4,37.4,37.4,37.4,37.4,0,0
1630402200,37.4,37.4,37.4,37.4,37.4,0,0
1630402260,37.4,37.4,37.4,37.4,37.4,0,0
1630402320,37.25,37.25,37.25,37.25,37.25,4,1
1630402380,37.25,37.25,37.25,37.25,37.25,0,0
1630402440,37.25,37.25,37.25,37.25,37.25,0,0
1630402500,37.25,37.25,37.25,37.25,37.25,0,0
1630402560,37.25,37.25,37.25,37.25,37.25,0,0
1630402620,37.25,37.25,37.25,37.25,37.25,0,0
1630402680,37.29,37.29,37.29,37.29,37.29,4,2
1630402740,37.31,37.31,37.31,37.31,37.31,1,1
1630402800,37.24,37.24,37.24,37.24,37.24,4,1
1630402860,37.24,37.24,37.24,37.24,37.24,0,0
1630402920,37.2,37.2,37.2,37.2,37.2,1,1
1630402980,37.2,37.2,37.2,37.2,37.2,0,0
1630403040,37.2,37.2,37.2,37.2,37.2,0,0
1630403100,37.2,37.2,37.2,37.2,37.2,0,0
1630403160,37.2,37.2,37.2,37.2,37.2,0,0
1630403220,37.2,37.2,37.2,37.2,37.2,0,0
1630403280,37.2,37.2,37.2,37.2,37.2,6,4
1630403340,37.2,37.2,37.2,37.2,37.2,0,0
1630403400,37.32,37.32,37.32,37.32,37.32,1,1
1630403460,37.32,37.32,37.32,37.32,37.32,0,0
