date,open,high,low,close,average,volume,count
1631520005,22.08,22.08,21.8,21.8,21.84895,5,2
1631520010,21.6,21.6,21.59,21.59,21.59667,3,3
1631520015,21.59,21.59,21.59,21.59,21.59,0,0
1631520020,21.59,21.59,21.59,21.59,21.59,0,0
1631520025,21.59,21.59,21.59,21.59,21.59,0,0
1631520030,21.59,21.59,21.59,21.59,21.59,0,0
1631520035,21.94,21.94,21.94,21.94,21.94,1,1
1631520040,21.88,21.88,21.88,21.88,21.88,1,1
1631520045,21.88,21.88,21.88,21.88,21.88,0,0
1631520050,21.88,21.88,21.88,21.88,21.88,0,0
1631520055,21.94,21.97,21.88,21.88,21.93816,5,5
1631520060,21.88,21.88,21.88,21.88,21.88,0,0
1631520065,22.0,22.19,22.0,22.19,22.152,5,2
1631520070,22.21,22.21,22.19,22.19,22.205,4,3
1631520075,22.1,22.1,22.1,22.1,22.1,1,1
1631520080,22.0,22.0,22.0,22.0,22.0,3,3
1631520085,22.14,22.14,22.14,22.14,22.14,11,2
1631520090,22.29,22.3,22.29,22.3,22.2975,4,2
1631520095,22.3,22.33,22.3,22.33,22.32,10,5
1631520100,22.33,22.34,22.33,22.34,22.33937,31,12
1631520105,22.34,22.34,22.34,22.34,22.34,0,0
1631520110,22.34,22.34,22.34,22.34,22.34,0,0
1631520115,22.4,22.4,22.4,22.4,22.4,1,1
1631520120,22.35,22.71,22.34,22.71,22.55047,10,5
1631520125,22.71,22.71,22.71,22.71,22.71,3,1
1631520130,22.78,22.83,22.7,22.7,22.77992,6,4
1631520135,22.7,22.7,22.7,22.7,22.7,6,2
1631520140,22.7,22.7,22.7,22.7,22.7,0,0
1631520145,22.78,22.78,22.69,22.69,22.7348,5,4
1631520150,22.7,22.7,22.7,22.7,22.7,2,1
1631520155,22.7,22.7,22.7,22.7,22.7,1,1
1631520160,22.7,22.7,22.7,22.7,22.7,0,0
1631520165,22.7,22.7,22.7,22.7,22.7,0,0
1631520170,22.7,22.7,22.7,22.7,22.7,0,0
1631520175,22.7,22.7,22.7,22.7,22.7,0,0
1631520180,22.7,22.7,22.7,22.7,22.7,0,0
1631520185,22.7,22.7,22.7,22.7,22.7,0,0
1631520190,22.7,22.7,22.7,22.7,22.7,0,0
1631520195,22.7,22.7,22.7,22.7,22.7,0,0
1631520200,22.7,22.7,22.7,22.7,22.7,0,0
1631520205,22.35,22.35,22.3,22.3,22.31145,8,3
1631520210,22.3,22.3,22.3,22.3,22.3,0,0
