date,open,high,low,close,average,volume,count
1626703200,424.25,424.25,424.15,424.18,424.192,250,183
1626703201,424.17,424.2,424.14,424.19,424.166,32,28
1626703202,424.19,424.19,424.16,424.18,424.184,36,31
1626703203,424.1,424.12,424.05,424.1,424.082,161,93
1626703204,424.1,424.1,424.05,424.06,424.088,87,71
1626703205,424.07,424.14,424.06,424.14,424.098,110,90
1626703206,424.15,424.17,424.08,424.09,424.119,94,60
1626703207,424.09,424.15,424.09,424.15,424.123,47,34
1626703208,424.13,424.17,424.11,424.15,424.145,29,24
1626703209,424.15,424.22,424.15,424.2,424.186,14,13
1626703210,424.21,424.23,424.19,424.22,424.206,69,43
1626703211,424.22,424.22,424.16,424.18,424.192,65,58
1626703212,424.17,424.19,424.16,424.19,424.175,22,18
1626703213,424.19,424.25,424.17,424.25,424.214,86,58
1626703214,424.23,424.28,424.23,424.27,424.254,58,24
1626703215,424.27,424.28,424.25,424.27,424.264,37,25
1626703216,424.28,424.29,424.23,424.23,424.273,55,43
1626703217,424.22,424.23,424.13,424.14,424.182,160,92
1626703218,424.13,424.14,424.08,424.1,424.108,52,32
1626703219,424.08,424.1,424.06,424.06,424.075,33,30
1626703220,424.06,424.06,424.02,424.03,424.034,74,56
1626703221,424.02,424.02,423.96,423.98,423.996,262,167
1626703222,423.96,424.02,423.96,424.01,423.984,150,110
1626703223,423.99,424.01,423.95,424.01,423.986,255,170
1626703224,424.01,424.02,423.98,424.01,424.003,209,123
1626703225,424.02,424.06,424.02,424.05,424.042,47,45
1626703226,424.06,424.1,424.05,424.08,424.073,97,77
1626703227,424.09,424.09,424.02,424.02,424.066,106,59
1626703228,424.03,424.1,424.02,424.07,424.055,115,74
1626703229,424.08,424.1,424.07,424.09,424.084,55,42
1626703230,424.09,424.1,424.06,424.07,424.081,50,43
1626703231,424.07,424.08,424.04,424.06,424.056,81,64
1626703232,424.08,424.15,424.07,424.14,424.11,79,57
1626703233,424.15,424.2,424.15,424.17,424.182,47,44
1626703234,424.18,424.22,424.17,424.22,424.201,57,43
1626703235,424.22,424.24,424.17,424.17,424.215,95,81
1626703236,424.18,424.18,424.17,424.18,424.176,18,16
1626703237,424.18,424.22,424.18,424.21,424.194,29,28
1626703238,424.21,424.26,424.21,424.26,424.234,61,43
1626703239,424.26,424.26,424.18,424.18,424.207,58,44
1626703240,424.19,424.24,424.19,424.22,424.221,35,29
1626703241,424.23,424.23,424.21,424.23,424.222,14,11
1626703242,424.22,424.22,424.17,424.17,424.187,71,37
1626703243,424.18,424.18,424.11,424.13,424.145,149,113
1626703244,424.14,424.21,424.12,424.2,424.157,69,58
1626703245,424.19,424.19,424.1,424.11,424.147,66,65
1626703246,424.11,424.12,424.1,424.11,424.112,36,26
1626703247,424.11,424.12,424.08,424.08,424.105,220,133
1626703248,424.08,424.12,424.07,424.09,424.1,38,31
1626703249,424.09,424.13,424.08,424.13,424.098,51,24
1626703250,424.12,424.12,424.08,424.1,424.097,30,22
1626703251,424.11,424.12,424.07,424.07,424.104,37,29
1626703252,424.08,424.14,424.08,424.13,424.116,49,37
1626703253,424.13,424.15,424.12,424.14,424.137,66,33
1626703254,424.13,424.13,424.09,424.09,424.1,21,12
1626703255,424.09,424.1,424.08,424.09,424.09,15,11
1626703256,424.09,424.2,424.09,424.16,424.143,168,77
1626703257,424.15,424.17,424.11,424.12,424.144,121,64
1626703258,424.13,424.16,424.13,424.16,424.144,33,24
1626703259,424.14,424.15,424.13,424.15,424.142,45,26
1626703260,424.13,424.13,424.09,424.09,424.123,39,22
1626703261,424.12,424.12,424.11,424.11,424.113,32,22
1626703262,424.13,424.15,424.12,424.15,424.13,26,22
1626703263,424.17,424.19,424.15,424.16,424.17,17,12
1626703264,424.16,424.22,424.15,424.22,424.206,157,58
1626703265,424.23,424.23,424.17,424.22,424.204,77,49
1626703266,424.22,424.22,424.15,424.19,424.186,62,42
1626703267,424.19,424.2,424.15,424.19,424.174,125,102
1626703268,424.17,424.19,424.08,424.12,424.117,239,124
1626703269,424.11,424.12,424.09,424.09,424.102,28,26
1626703270,424.11,424.11,424.05,424.08,424.073,65,52
1626703271,424.07,424.08,424.04,424.04,424.062,52,41
1626703272,424.04,424.04,423.92,423.93,423.97,295,188
1626703273,423.92,423.93,423.88,423.89,423.895,166,129
1626703274,423.92,423.93,423.88,423.89,423.899,124,96
1626703275,423.89,423.89,423.82,423.85,423.849,220,160
1626703276,423.86,423.88,423.83,423.85,423.858,123,78
1626703277,423.85,423.9,423.83,423.87,423.864,135,107
1626703278,423.87,423.91,423.85,423.88,423.875,33,27
