date,open,high,low,close,average,volume,count
1627632000,437.18,438.0,437.18,438.0,437.479,19,2
1627632005,438.0,438.0,438.0,438.0,438.0,0,0
1627632010,437.11,437.11,437.11,437.11,437.11,4,1
1627632015,437.11,437.11,437.11,437.11,437.11,0,0
1627632020,437.0,437.0,437.0,437.0,437.0,1,1
1627632025,437.0,437.0,437.0,437.0,437.0,0,0
1627632030,437.0,437.0,437.0,437.0,437.0,0,0
1627632035,437.04,437.04,437.04,437.04,437.04,2,2
1627632040,437.0,437.0,437.0,437.0,437.0,1,1
1627632045,437.0,437.0,437.0,437.0,437.0,0,0
1627632050,437.0,437.0,437.0,437.0,437.0,1,1
1627632055,436.99,437.01,436.99,437.01,436.995,4,4
1627632060,437.03,437.03,437.03,437.03,437.03,1,1
1627632065,437.03,437.03,437.03,437.03,437.03,0,0
1627632070,437.03,437.03,437.03,437.03,437.03,0,0
1627632075,437.03,437.03,437.03,437.03,437.03,0,0
1627632080,437.03,437.03,437.03,437.03,437.03,0,0
1627632085,437.03,437.03,437.03,437.03,437.03,0,0
1627632090,436.99,436.99,436.99,436.99,436.99,1,1
1627632095,436.99,436.99,436.99,436.99,436.99,0,0
1627632100,436.99,436.99,436.99,436.99,436.99,0,0
1627632105,436.99,436.99,436.99,436.99,436.99,0,0
1627632110,436.99,436.99,436.99,436.99,436.99,0,0
1627632115,436.99,436.99,436.99,436.99,436.99,0,0
1627632120,436.99,436.99,436.99,436.99,436.99,0,0
1627632125,436.96,436.96,436.96,436.96,436.96,7,3
1627632130,436.96,436.96,436.96,436.96,436.96,0,0
1627632135,436.89,436.91,436.89,436.91,436.904,11,7
1627632140,436.91,436.91,436.91,436.91,436.91,0,0
1627632145,436.91,436.91,436.91,436.91,436.91,0,0
1627632150,436.86,436.88,436.85,436.88,436.861,8,8
1627632155,436.88,436.88,436.88,436.88,436.88,0,0
1627632160,436.88,436.88,436.88,436.88,436.88,0,0
1627632165,436.88,436.88,436.88,436.88,436.88,0,0
1627632170,436.88,436.88,436.88,436.88,436.88,0,0
1627632175,436.93,436.93,436.93,436.93,436.93,2,2
1627632180,436.93,436.93,436.93,436.93,436.93,0,0
1627632185,436.93,436.93,436.93,436.93,436.93,0,0
1627632190,436.93,436.93,436.93,436.93,436.93,0,0
1627632195,436.93,436.93,436.93,436.93,436.93,0,0
1627632200,436.95,436.95,436.95,436.95,436.95,3,3
1627632205,436.95,436.95,436.95,436.95,436.95,0,0
1627632210,436.96,436.96,436.96,436.96,436.96,2,2
1627632215,436.99,437.0,436.99,437.0,436.994,5,5
1627632220,437.0,437.0,437.0,437.0,437.0,0,0
1627632225,436.99,436.99,436.99,436.99,436.99,1,1
1627632230,436.99,436.99,436.99,436.99,436.99,0,0
1627632235,436.99,436.99,436.99,436.99,436.99,0,0
1627632240,436.99,436.99,436.99,436.99,436.99,0,0
1627632245,436.99,436.99,436.99,436.99,436.99,0,0
1627632250,437.07,437.07,437.07,437.07,437.07,1,1
1627632255,437.07,437.07,437.07,437.07,437.07,0,0
1627632260,437.07,437.07,437.07,437.07,437.07,0,0
