date,open,high,low,close,average,volume,count
1646902800,424.49,425.8,424.49,425.8,425.222,220,68
1646903100,426.02,426.61,425.87,426.61,426.215,36,16
1646903400,426.6,426.75,426.45,426.58,426.622,36,14
1646903700,426.29,426.37,426.2,426.21,426.24,31,11
1646904000,426.21,426.25,425.59,425.59,426.119,70,19
1646904300,425.5,425.59,425.35,425.35,425.539,38,21
1646904600,425.24,425.32,424.82,425.32,425.129,37,29
1646904900,425.34,425.5,425.23,425.47,425.349,11,6
1646905200,425.54,425.84,425.54,425.84,425.726,5,5
1646905500,425.77,425.77,425.35,425.35,425.693,12,6
1646905800,425.4,425.4,424.29,424.4,424.679,219,67
1646906100,424.53,425.68,424.2,424.66,424.66,755,196
1646906400,424.64,425.14,424.5,424.85,424.708,59,15
1646906700,424.49,425.05,424.0,424.48,424.329,108,44
1646907000,424.23,424.42,423.93,423.95,424.061,172,41
1646907300,423.95,424.5,423.82,424.2,424.074,134,40
1646907600,424.16,424.78,424.04,424.78,424.555,37,27
1646907900,424.58,424.9,424.5,424.87,424.804,99,20
1646908200,424.83,424.83,424.45,424.45,424.566,14,10
1646908500,424.64,424.67,424.24,424.24,424.61,34,12
1646908800,424.32,424.36,424.11,424.25,424.246,24,17
1646909100,424.38,424.5,424.32,424.5,424.392,17,8
1646909400,424.6,424.6,424.55,424.55,424.575,2,2
1646909700,424.65,424.73,423.9,423.9,424.177,59,18
1646910000,423.81,424.02,423.81,423.98,423.96,36,11
1646910300,423.74,423.74,423.33,423.38,423.424,36,22
1646910600,423.33,423.85,423.2,423.78,423.384,53,23
1646910900,423.8,423.83,423.2,423.61,423.652,89,36
1646911200,423.8,424.3,423.8,424.02,424.071,156,54
1646911500,424.02,424.3,424.02,424.25,424.18,40,13
1646911800,424.1,424.14,423.27,423.89,423.751,95,28
1646912100,423.74,424.1,423.56,423.61,423.828,153,56
1646912400,423.47,424.33,423.3,423.85,423.716,378,91
1646912700,423.85,423.85,423.19,423.27,423.477,144,28
1646913000,423.17,423.38,422.91,422.91,423.033,215,49
1646913300,422.82,423.31,422.8,423.31,422.923,539,69
1646913600,423.28,423.48,422.52,422.56,423.151,599,186
1646913900,422.6,423.17,422.6,423.16,422.794,241,110
1646914200,423.09,423.46,423.0,423.46,423.211,553,158
1646914500,423.45,423.84,423.29,423.72,423.624,178,68
1646914800,423.72,423.77,423.36,423.59,423.601,79,38
1646915100,423.77,424.0,423.58,423.99,423.881,539,254
1646915400,423.87,424.0,423.39,423.39,423.838,245,79
1646915700,423.36,423.57,423.17,423.57,423.283,310,92
