date,open,high,low,close,average,volume,count
1655366400,371.83,378.45,371.57,372.47,372.483,629,314
1655367300,372.36,372.8,371.82,372.54,372.418,319,104
1655368200,372.26,372.33,371.59,371.59,372.036,143,45
1655369100,371.76,372.02,370.5,370.5,371.114,364,117
1655370000,370.46,370.6,369.45,370.3,370.088,760,187
1655370900,370.3,370.69,369.44,370.6,370.087,670,163
1655371800,370.6,370.76,369.82,370.16,370.144,376,85
1655372700,370.1,371.0,370.1,370.93,370.527,505,157
1655373600,370.85,371.6,370.5,371.1,371.255,614,167
1655374500,371.22,371.37,370.34,370.35,370.768,493,106
1655375400,370.36,370.51,369.94,370.05,370.087,1058,223
1655376300,370.16,370.65,369.78,370.1,370.174,856,190
1655377200,370.03,371.18,370.0,370.53,370.648,2115,431
1655378100,370.5,371.2,369.99,371.0,370.48,1956,573
1655379000,371.0,371.21,370.25,370.44,370.679,1590,438
1655379900,370.44,370.91,369.76,370.8,370.203,2212,733
1655380800,370.12,380.59,369.8,372.12,371.454,5256,1534
1655381700,372.05,372.46,371.45,371.9,372.004,1817,679
1655382600,371.9,373.06,371.71,372.11,372.521,2704,1068
1655383500,372.09,372.27,371.19,371.36,371.592,1843,631
1655384400,371.35,371.94,371.01,371.19,371.26,2385,755
1655385300,371.16,371.19,370.39,370.46,370.676,3924,1368
1655386200,370.51,370.94,368.01,368.36,369.545,68426,34180
1655387100,368.34,370.03,368.21,368.82,369.057,41779,24051
1655388000,368.81,369.1,367.39,367.58,368.071,40268,22079
1655388900,367.57,369.15,367.42,368.93,368.393,37127,20980
1655389800,368.94,369.12,366.74,366.81,368.068,34187,21797
1655390700,366.8,367.02,365.76,366.06,366.379,31796,18013
1655391600,366.07,367.8,365.96,367.8,366.906,24906,14844
1655392500,367.78,368.78,367.08,368.16,367.928,27997,16511
1655393400,368.15,368.27,366.72,367.07,367.445,20513,13099
1655394300,367.03,367.89,366.58,367.88,367.115,16477,9900
1655395200,367.87,368.0,366.25,366.28,366.971,17445,10181
1655396100,366.29,367.77,366.29,367.63,366.96,20158,11544
1655397000,367.64,367.91,366.62,367.61,367.277,25683,13282
1655397900,367.61,368.11,367.06,367.67,367.627,19502,11580
1655398800,367.69,368.73,367.28,368.09,368.059,20394,12480
1655399700,368.11,368.95,367.02,368.45,367.912,26324,15643
1655400600,368.45,368.74,367.07,367.16,368.038,19785,13032
1655401500,367.15,367.25,365.8,365.83,366.713,22162,13504
1655402400,365.83,366.39,365.4,365.91,365.891,27014,16266
1655403300,365.91,366.0,365.2,365.22,365.561,20319,11695
1655404200,365.17,366.37,365.05,365.69,365.541,23627,13285
1655405100,365.68,365.97,364.07,364.82,364.674,30999,16972
1655406000,364.8,367.34,364.65,366.25,366.08,43257,25353
1655406900,366.24,367.45,365.6,366.94,366.628,36951,23171
1655407800,366.92,367.09,365.42,365.8,366.21,52522,31633
1655408700,365.8,367.17,364.79,366.93,366.127,142623,71389
1655409600,366.9,367.65,366.35,367.64,366.769,68564,7683
1655410500,367.7,367.7,366.65,367.24,366.777,7929,653
1655411400,367.3,367.4,367.02,367.07,367.192,897,236
1655412300,367.15,367.91,367.15,367.7,367.639,1252,297
1655413200,367.71,367.89,367.71,367.86,367.814,291,125
1655414100,367.86,368.0,367.85,367.85,367.91,206,104
