date,open,high,low,close,average,volume,count
1625238000,9.15,9.15,9.14,9.15,9.147,5,1
1625238001,9.15,9.15,9.14,9.15,9.15,0,0
1625238002,9.15,9.15,9.14,9.15,9.15,0,0
1625238003,9.12,9.15,9.12,9.15,9.132,48,15
1625238004,9.14,9.14,9.14,9.14,9.14,1,1
1625238005,9.16,9.16,9.15,9.15,9.155,21,5
1625238006,9.15,9.15,9.15,9.15,9.15,0,0
1625238007,9.15,9.15,9.15,9.15,9.15,0,0
1625238008,9.16,9.16,9.15,9.16,9.158,9,2
1625238009,9.16,9.16,9.16,9.16,9.16,5,1
1625238010,9.15,9.15,9.15,9.15,9.15,3,2
1625238011,9.16,9.16,9.15,9.15,9.156,21,12
1625238012,9.16,9.16,9.15,9.16,9.158,1,1
1625238013,9.16,9.16,9.16,9.16,9.16,5,1
1625238014,9.16,9.16,9.15,9.16,9.159,10,1
1625238015,9.14,9.15,9.12,9.12,9.131,19,14
1625238016,9.12,9.12,9.12,9.12,9.12,0,0
1625238017,9.12,9.12,9.12,9.12,9.12,0,0
1625238018,9.12,9.12,9.12,9.12,9.12,0,0
1625238019,9.12,9.12,9.12,9.12,9.12,0,0
1625238020,9.13,9.13,9.12,9.13,9.126,1,1
1625238021,9.13,9.13,9.12,9.13,9.13,0,0
1625238022,9.14,9.14,9.13,9.14,9.137,2,1
1625238023,9.14,9.14,9.13,9.14,9.14,0,0
1625238024,9.14,9.14,9.13,9.14,9.14,0,0
1625238025,9.14,9.14,9.13,9.14,9.14,0,0
1625238026,9.15,9.15,9.12,9.12,9.14,33,28
1625238027,9.12,9.12,9.12,9.12,9.12,0,0
1625238028,9.12,9.12,9.12,9.12,9.12,0,0
1625238029,9.12,9.12,9.12,9.12,9.12,0,0
1625238030,9.12,9.12,9.12,9.12,9.12,0,0
1625238031,9.12,9.12,9.12,9.12,9.12,0,0
1625238032,9.12,9.12,9.12,9.12,9.12,17,10
1625238033,9.11,9.11,9.1,9.1,9.109,16,11
1625238034,9.1,9.1,9.1,9.1,9.1,0,0
1625238035,9.11,9.11,9.08,9.08,9.097,11,9
1625238036,9.08,9.1,9.07,9.1,9.082,6,4
1625238037,9.07,9.08,9.07,9.07,9.07,46,4
1625238038,9.09,9.12,9.09,9.12,9.102,13,6
1625238039,9.12,9.12,9.11,9.12,9.12,0,0
1625238040,9.11,9.11,9.11,9.11,9.11,2,2
1625238041,9.15,9.15,9.14,9.15,9.145,3,1
1625238042,9.15,9.15,9.14,9.15,9.15,0,0
1625238043,9.12,9.12,9.11,9.11,9.113,3,3
1625238044,9.11,9.12,9.11,9.11,9.113,20,6
1625238045,9.13,9.13,9.12,9.13,9.129,16,1
1625238046,9.11,9.12,9.11,9.11,9.112,35,8
1625238047,9.11,9.12,9.11,9.11,9.11,0,0
1625238048,9.11,9.12,9.11,9.11,9.11,0,0
1625238049,9.11,9.13,9.11,9.13,9.115,31,15
1625238050,9.13,9.13,9.13,9.13,9.13,0,0
1625238051,9.13,9.13,9.13,9.13,9.13,0,0
1625238052,9.13,9.13,9.13,9.13,9.13,0,0
1625238053,9.13,9.13,9.12,9.13,9.128,2,1
1625238054,9.12,9.12,9.12,9.12,9.12,2,2
