date,open,high,low,close,average,volume,count
1656416400,37.69,37.85,37.69,37.85,37.8,21,6
1656416700,37.85,37.85,37.85,37.85,37.85,0,0
1656417000,37.85,37.85,37.85,37.85,37.85,0,0
1656417300,37.85,37.85,37.85,37.85,37.85,0,0
1656417600,37.95,37.95,37.85,37.85,37.916,30,2
1656417900,37.85,37.85,37.85,37.85,37.85,0,0
1656418200,37.8,37.8,37.8,37.8,37.8,5,1
1656418500,37.8,37.8,37.8,37.8,37.8,0,0
1656418800,37.61,37.61,37.6,37.6,37.607,5,3
1656419100,37.6,37.6,37.5,37.5,37.538,9,7
1656419400,37.4,37.43,37.4,37.43,37.41,3,2
1656419700,37.43,37.43,37.43,37.43,37.43,0,0
1656420000,37.43,37.43,37.43,37.43,37.43,0,0
1656420300,37.43,37.43,37.43,37.43,37.43,0,0
1656420600,37.43,37.43,37.43,37.43,37.43,0,0
1656420900,37.1,37.11,37.1,37.1,37.1,2,1
1656421200,37.1,37.1,37.1,37.1,37.1,0,0
1656421500,37.1,37.1,37.1,37.1,37.1,0,0
1656421800,37.1,37.1,37.1,37.1,37.1,0,0
1656422100,37.49,37.55,37.49,37.55,37.501,5,2
1656422400,37.6,37.6,37.6,37.6,37.6,1,1
1656422700,37.16,37.19,37.15,37.19,37.172,4,3
1656423000,37.09,38.18,37.05,37.35,37.554,1627,481
1656423300,37.31,38.12,37.08,38.08,37.592,945,437
1656423600,38.07,38.28,37.87,38.22,38.073,572,247
1656423900,38.18,38.18,37.75,38.05,37.947,536,303
1656424200,38.08,38.14,37.85,37.95,37.99,298,200
1656424500,37.94,37.95,37.57,37.86,37.785,502,262
1656424800,37.81,38.07,37.73,37.82,37.908,922,514
1656425100,37.82,37.83,37.21,37.21,37.426,1088,649
1656425400,37.24,37.51,37.21,37.3,37.346,985,528
1656425700,37.27,37.42,37.12,37.19,37.269,1090,535
1656426000,37.17,37.24,36.9,37.02,37.058,734,452
1656426300,37.02,37.17,36.86,36.91,37.009,805,461
1656426600,36.89,37.03,36.66,36.98,36.834,826,483
1656426900,36.97,37.24,36.94,37.16,37.117,360,251
1656427200,37.17,37.17,36.81,37.1,36.993,393,246
1656427500,37.09,37.11,36.75,36.82,36.908,482,224
1656427800,36.82,36.97,36.73,36.75,36.839,230,174
1656428100,36.77,36.99,36.75,36.97,36.847,248,148
1656428400,36.97,37.12,36.84,37.07,36.989,351,161
1656428700,37.06,37.07,36.74,36.78,36.874,354,145
1656429000,36.79,36.85,36.67,36.82,36.721,255,162
1656429300,36.84,36.85,36.5,36.5,36.662,340,189
1656429600,36.5,36.52,36.26,36.33,36.361,545,311
1656429900,36.31,36.31,36.15,36.2,36.23,534,263
1656430200,36.19,36.37,36.13,36.27,36.256,688,264
1656430500,36.27,36.27,35.97,35.98,36.11,503,292
1656430800,35.96,36.0,35.84,35.93,35.939,563,237
1656431100,35.92,36.08,35.92,36.02,36.012,461,165
1656431400,36.0,36.03,35.85,35.87,35.944,376,163
1656431700,35.88,35.95,35.8,35.88,35.866,391,185
1656432000,35.86,35.92,35.65,35.68,35.799,739,324
1656432300,35.68,35.84,35.66,35.76,35.766,775,306
1656432600,35.76,35.88,35.74,35.74,35.815,696,259
1656432900,35.75,35.79,35.55,35.75,35.652,601,279
1656433200,35.75,35.82,35.66,35.7,35.736,624,251
1656433500,35.7,35.81,35.61,35.81,35.681,570,295
1656433800,35.81,35.85,35.73,35.73,35.793,362,163
1656434100,35.73,35.96,35.73,35.93,35.88,376,130
1656434400,35.96,36.01,35.9,35.96,35.964,159,118
1656434700,35.97,36.0,35.8,35.86,35.903,407,190
1656435000,35.84,35.87,35.68,35.69,35.793,389,213
1656435300,35.69,35.78,35.64,35.74,35.701,202,140
1656435600,35.74,35.75,35.53,35.55,35.624,330,263
1656435900,35.55,35.56,35.39,35.41,35.459,401,212
1656436200,35.38,35.43,35.19,35.2,35.279,857,517
1656436500,35.2,35.31,35.06,35.09,35.186,732,446
1656436800,35.09,35.21,35.03,35.16,35.123,352,187
1656437100,35.15,35.17,35.07,35.15,35.11,289,147
1656437400,35.14,35.2,35.07,35.07,35.149,346,162
1656437700,35.07,35.08,34.94,34.95,35.015,333,165
1656438000,34.96,35.06,34.9,35.01,34.979,323,139
1656438300,35.0,35.07,34.95,35.04,35.039,406,194
1656438600,35.04,35.12,34.95,34.98,35.038,399,144
1656438900,34.96,35.0,34.93,35.0,34.963,218,149
1656439200,35.01,35.12,34.94,34.94,35.044,283,180
1656439500,34.96,35.01,34.86,34.87,34.934,294,189
1656439800,34.87,34.95,34.78,34.86,34.855,356,214
1656440100,34.85,34.97,34.81,34.87,34.897,168,130
1656440400,34.87,35.02,34.86,35.0,34.951,153,110
1656440700,34.99,35.07,34.96,35.04,35.003,225,131
1656441000,35.04,35.06,34.98,35.0,35.022,271,162
1656441300,34.98,35.03,34.93,35.03,34.981,192,133
1656441600,35.02,35.06,34.92,35.05,35.004,345,162
1656441900,35.06,35.28,35.04,35.27,35.189,310,161
1656442200,35.29,35.31,35.17,35.21,35.25,329,203
1656442500,35.22,35.23,35.08,35.14,35.155,338,164
1656442800,35.14,35.22,35.07,35.08,35.124,163,87
1656443100,35.09,35.12,34.97,35.04,35.014,287,204
1656443400,35.06,35.12,35.0,35.1,35.048,298,161
1656443700,35.09,35.32,35.08,35.31,35.211,399,125
1656444000,35.3,35.4,35.25,35.4,35.324,385,157
1656444300,35.39,35.4,35.26,35.28,35.324,559,289
1656444600,35.27,35.37,35.21,35.33,35.278,667,388
1656444900,35.33,35.36,35.24,35.32,35.291,450,234
1656445200,35.32,35.32,35.13,35.18,35.218,400,253
1656445500,35.17,35.23,35.12,35.14,35.166,663,376
1656445800,35.13,35.17,35.04,35.12,35.104,961,645
1656446100,35.12,35.13,35.01,35.06,35.063,1640,1027
1656446400,35.08,35.08,35.08,35.08,35.08,1942,13
1656446700,35.08,35.08,35.08,35.08,35.08,314,5
1656447000,35.08,35.08,35.08,35.08,35.08,0,0
1656447300,34.8,34.8,34.8,34.8,34.8,2,1
1656447600,34.8,34.8,34.8,34.8,34.8,0,0
1656447900,34.8,34.8,34.8,34.8,34.8,0,0
1656448200,34.8,34.8,34.8,34.8,34.8,0,0
1656448500,35.08,35.08,35.08,35.08,35.08,62,1
1656448800,35.08,35.08,35.08,35.08,35.08,0,0
1656449100,35.08,35.08,35.08,35.08,35.08,0,0
1656449400,35.09,35.1,34.95,34.95,35.044,27,7
1656449700,34.95,34.95,34.95,34.95,34.95,0,0
1656450000,34.95,34.95,34.95,34.95,34.95,0,0
1656450300,34.95,34.95,34.95,34.95,34.95,0,0
1656450600,34.95,34.95,34.95,34.95,34.95,0,0
1656450900,35.05,35.05,35.05,35.05,35.05,2,1
1656451200,35.09,35.09,35.08,35.09,35.09,3,2
1656451500,35.08,35.08,35.0,35.0,35.011,7,2
1656451800,35.0,35.0,35.0,35.0,35.0,0,0
1656452100,35.0,35.0,35.0,35.0,35.0,0,0
1656452400,35.0,35.0,35.0,35.0,35.0,0,0
1656452700,35.0,35.0,35.0,35.0,35.0,0,0
1656453000,35.0,35.0,35.0,35.0,35.0,0,0
1656453300,35.01,35.01,35.01,35.01,35.01,4,2
1656453600,35.01,35.01,35.01,35.01,35.01,2,2
1656453900,35.01,35.01,35.01,35.01,35.01,0,0
1656454200,35.08,35.08,35.08,35.08,35.08,6,2
1656454500,35.08,35.08,35.08,35.08,35.08,0,0
1656454800,35.09,35.09,35.09,35.09,35.09,1,1
1656455100,35.09,35.09,35.09,35.09,35.09,0,0
1656455400,35.09,35.09,35.09,35.09,35.09,0,0
1656455700,35.09,35.09,35.09,35.09,35.09,0,0
1656456000,35.09,35.09,35.09,35.09,35.09,0,0
1656456300,35.1,35.1,35.08,35.1,35.098,14,7
1656456600,35.1,35.1,35.1,35.1,35.1,0,0
1656456900,35.1,35.1,35.1,35.1,35.1,0,0
1656457200,35.1,35.1,35.1,35.1,35.1,0,0
1656457500,35.1,35.1,35.1,35.1,35.1,0,0
1656457800,35.1,35.1,35.1,35.1,35.1,0,0
1656458100,35.1,35.1,35.1,35.1,35.1,0,0
1656458400,35.11,35.11,35.1,35.1,35.102,11,3
1656458700,35.1,35.1,35.1,35.1,35.1,0,0
1656459000,35.1,35.1,35.1,35.1,35.1,0,0
1656459300,35.1,35.1,35.1,35.1,35.1,0,0
1656459600,35.1,35.1,35.1,35.1,35.1,0,0
1656459900,35.1,35.1,35.1,35.1,35.1,0,0
1656460200,35.1,35.1,35.1,35.1,35.1,0,0
1656460500,35.1,35.1,35.1,35.1,35.1,0,0
1656496500,34.8,34.8,34.8,34.8,34.8,1,1
1656496800,34.8,34.8,34.8,34.8,34.8,0,0
1656497100,34.8,34.8,34.8,34.8,34.8,0,0
1656497400,34.8,34.8,34.8,34.8,34.8,0,0
1656497700,34.8,34.8,34.8,34.8,34.8,0,0
1656498000,34.8,34.8,34.8,34.8,34.8,0,0
1656498300,34.8,34.8,34.8,34.8,34.8,0,0
1656498600,34.8,34.8,34.8,34.8,34.8,0,0
1656498900,34.8,34.8,34.8,34.8,34.8,0,0
1656499200,34.8,34.8,34.8,34.8,34.8,0,0
1656499500,34.61,34.61,34.6,34.6,34.605,4,3
1656499800,34.6,34.6,34.6,34.6,34.6,0,0
1656500100,34.6,34.6,34.6,34.6,34.6,0,0
1656500400,34.8,34.8,34.8,34.8,34.8,5,2
1656500700,34.8,34.8,34.8,34.8,34.8,0,0
1656501000,34.8,34.8,34.8,34.8,34.8,0,0
1656501300,34.62,34.62,34.62,34.62,34.62,1,1
1656501600,34.69,34.71,34.69,34.7,34.7,3,3
1656501900,34.69,34.69,34.69,34.69,34.69,1,1
1656502200,34.63,34.63,34.63,34.63,34.63,1,1
1656502500,34.63,34.63,34.63,34.63,34.63,0,0
