date,open,high,low,close,average,volume,count
1612537200,26.8,26.8,26.79,26.79,26.79,120,16
1612537201,26.8,26.8,26.79,26.8,26.799,2,1
1612537202,26.8,26.8,26.78,26.78,26.789,25,16
1612537203,26.78,26.78,26.78,26.78,26.78,2,2
1612537204,26.79,26.79,26.78,26.78,26.788,5,5
1612537205,26.79,26.79,26.78,26.78,26.789,26,2
1612537206,26.79,26.79,26.78,26.78,26.782,3,2
1612537207,26.78,26.78,26.78,26.78,26.78,0,0
1612537208,26.78,26.79,26.76,26.76,26.779,12,6
1612537209,26.72,26.72,26.7,26.7,26.71,8,3
1612537210,26.7,26.71,26.7,26.7,26.7,3,2
1612537211,26.71,26.71,26.7,26.7,26.701,7,7
1612537212,26.71,26.71,26.7,26.71,26.709,3,1
1612537213,26.71,26.75,26.7,26.75,26.711,35,15
1612537214,26.71,26.71,26.71,26.71,26.71,11,2
1612537215,26.71,26.71,26.67,26.67,26.695,17,10
1612537216,26.67,26.67,26.67,26.67,26.67,0,0
1612537217,26.65,26.66,26.65,26.66,26.653,11,2
1612537218,26.66,26.66,26.66,26.66,26.66,0,0
1612537219,26.66,26.66,26.66,26.66,26.66,0,0
1612537220,26.65,26.7,26.65,26.7,26.67,38,19
1612537221,26.65,26.68,26.65,26.68,26.675,14,4
1612537222,26.65,26.66,26.65,26.65,26.65,7,1
1612537223,26.65,26.66,26.65,26.65,26.65,0,0
1612537224,26.65,26.66,26.65,26.65,26.65,0,0
1612537225,26.69,26.77,26.69,26.77,26.704,32,11
1612537226,26.76,26.76,26.75,26.76,26.756,2,1
1612537227,26.7,26.73,26.68,26.68,26.702,9,7
1612537228,26.68,26.68,26.68,26.68,26.68,0,0
1612537229,26.68,26.68,26.68,26.68,26.68,0,0
1612537230,26.69,26.7,26.69,26.69,26.693,4,4
1612537231,26.69,26.69,26.69,26.69,26.69,0,0
1612537232,26.73,26.73,26.7,26.73,26.719,4,4
1612537233,26.73,26.73,26.7,26.7,26.715,2,2
1612537234,26.7,26.7,26.7,26.7,26.7,0,0
1612537235,26.76,26.76,26.73,26.73,26.75,3,2
1612537236,26.71,26.73,26.7,26.73,26.712,5,2
1612537237,26.73,26.75,26.73,26.75,26.739,9,5
