date,open,high,low,close,average,volume,count
1626076800,20.87,20.95,20.83,20.95,20.891,148,57
1626077700,20.95,20.98,20.91,20.95,20.944,84,27
1626078600,20.97,20.97,20.9,20.92,20.923,33,18
1626079500,20.94,20.97,20.91,20.96,20.942,30,16
1626080400,20.96,20.96,20.9,20.9,20.914,29,11
1626081300,20.91,20.91,20.88,20.88,20.902,5,4
1626082200,20.91,20.92,20.86,20.91,20.878,17,6
1626083100,20.91,20.91,20.89,20.89,20.906,22,8
1626084000,20.86,20.9,20.8,20.81,20.832,56,12
1626084900,20.81,20.89,20.7,20.72,20.788,70,22
1626085800,20.79,20.86,20.79,20.8,20.816,12,6
1626086700,20.75,20.76,20.7,20.7,20.728,87,22
1626087600,20.7,20.7,20.6,20.64,20.649,47,23
1626088500,20.65,20.71,20.6,20.6,20.66,37,10
1626089400,20.65,20.65,20.62,20.65,20.631,19,12
1626090300,20.65,20.65,20.6,20.6,20.641,5,4
1626091200,20.65,20.8,20.6,20.8,20.694,116,29
1626092100,20.8,20.8,20.75,20.8,20.778,20,11
1626093000,20.8,20.83,20.8,20.8,20.81,59,10
1626093900,20.75,20.79,20.74,20.75,20.759,20,11
1626094800,20.76,20.8,20.76,20.8,20.788,10,4
1626095700,20.79,20.79,20.51,20.52,20.616,153,57
1626096600,20.53,21.06,20.13,20.3,20.467,4485,1106
1626097500,20.33,20.38,19.85,20.04,20.108,3521,1234
1626098400,20.03,20.07,19.56,19.83,19.789,5562,2121
1626099300,19.83,19.88,19.54,19.81,19.693,2649,1197
1626100200,19.82,19.9,19.46,19.48,19.659,2389,1034
1626101100,19.47,19.75,19.42,19.72,19.575,2345,1055
1626102000,19.73,19.86,19.64,19.64,19.76,1245,625
1626102900,19.62,19.71,19.52,19.67,19.608,1319,471
1626103800,19.67,19.89,19.63,19.89,19.795,1152,503
1626104700,19.88,19.92,19.73,19.73,19.822,1487,677
1626105600,19.73,19.78,19.61,19.67,19.683,1970,529
1626106500,19.66,19.75,19.62,19.64,19.69,626,279
1626107400,19.65,19.7,19.51,19.53,19.599,733,343
1626108300,19.52,19.74,19.47,19.63,19.556,1910,580
1626109200,19.62,19.64,19.5,19.52,19.56,1072,383
