date,open,high,low,close,average,volume,count
1632211200,12.09,12.16,11.97,12.13,12.1,259,70
1632211500,12.14,12.14,12.1,12.12,12.125,129,44
1632211800,12.12,12.12,12.0,12.01,12.044,129,33
1632212100,12.02,12.04,12.02,12.04,12.036,15,6
1632212400,12.04,12.05,12.04,12.05,12.042,8,4
1632212700,12.06,12.07,12.04,12.06,12.054,35,9
1632213000,12.06,12.08,12.06,12.08,12.066,21,10
1632213300,12.09,12.09,12.06,12.06,12.067,18,9
1632213600,12.06,12.09,12.06,12.09,12.063,25,5
1632213900,12.1,12.11,12.09,12.09,12.095,26,10
1632214200,12.08,12.08,12.05,12.05,12.058,33,15
1632214500,12.05,12.11,12.05,12.09,12.08,26,12
1632214800,12.07,12.11,12.07,12.09,12.094,4,4
1632215100,12.09,12.11,12.08,12.1,12.104,38,11
1632215400,12.1,12.11,12.1,12.11,12.102,33,12
1632215700,12.11,12.11,12.1,12.1,12.101,7,5
1632216000,12.09,12.12,12.09,12.1,12.108,67,18
1632216300,12.1,12.1,12.1,12.1,12.1,0,0
1632216600,12.07,12.07,12.07,12.07,12.07,2,2
1632216900,12.07,12.07,12.07,12.07,12.07,12,2
1632217200,12.08,12.08,12.08,12.08,12.08,6,6
1632217500,12.07,12.07,12.07,12.07,12.07,1,1
1632217800,12.08,12.09,12.08,12.09,12.087,4,3
1632218100,12.1,12.1,12.1,12.1,12.1,33,10
1632218400,12.11,12.13,12.11,12.12,12.114,22,11
1632218700,12.11,12.11,12.1,12.1,12.102,28,7
1632219000,12.11,12.11,12.09,12.1,12.101,19,8
1632219300,12.09,12.1,12.09,12.1,12.097,2,2
1632219600,12.1,12.1,12.1,12.1,12.1,7,3
1632219900,12.1,12.1,12.1,12.1,12.1,11,4
1632220200,12.09,12.1,12.09,12.1,12.096,5,3
1632220500,12.09,12.09,12.09,12.09,12.09,6,2
1632220800,12.06,12.06,12.06,12.06,12.06,7,1
1632221100,12.08,12.09,12.08,12.09,12.089,15,4
1632221400,12.1,12.1,12.07,12.07,12.083,24,12
1632221700,12.07,12.07,12.07,12.07,12.07,0,0
1632222000,12.06,12.09,12.05,12.05,12.064,24,8
1632222300,12.06,12.06,12.05,12.05,12.055,4,4
1632222600,12.05,12.05,12.01,12.01,12.021,21,8
1632222900,12.04,12.04,12.04,12.04,12.04,4,2
1632223200,12.07,12.08,12.07,12.08,12.071,11,4
1632223500,12.07,12.08,12.07,12.08,12.079,20,12
1632223800,12.02,12.02,12.02,12.02,12.02,1,1
1632224100,12.08,12.08,12.02,12.02,12.035,26,13
1632224400,12.02,12.02,12.02,12.02,12.02,9,2
1632224700,12.02,12.02,12.02,12.02,12.02,44,13
1632225000,12.02,12.02,12.02,12.02,12.02,0,0
1632225300,12.05,12.05,12.03,12.03,12.037,6,4
1632225600,12.03,12.03,12.01,12.03,12.029,33,8
1632225900,12.03,12.05,12.03,12.05,12.041,44,4
1632226200,12.07,12.07,12.06,12.07,12.069,58,16
1632226500,12.07,12.07,12.03,12.03,12.05,38,9
1632226800,12.03,12.03,12.01,12.01,12.018,8,4
1632227100,12.02,12.03,12.02,12.03,12.024,51,24
1632227400,12.03,12.05,12.03,12.05,12.038,29,16
1632227700,12.04,12.04,12.04,12.04,12.04,13,2
1632228000,12.03,12.05,12.03,12.04,12.039,199,17
1632228300,12.04,12.05,12.04,12.05,12.043,3,3
1632228600,12.05,12.05,12.04,12.05,12.05,22,7
1632228900,12.05,12.05,12.03,12.04,12.045,12,5
1632229200,12.02,12.06,12.0,12.05,12.051,250,58
1632229500,12.05,12.05,11.96,11.97,12.001,180,50
1632229800,12.0,12.0,12.0,12.0,12.0,4,2
1632230100,11.99,11.99,11.96,11.96,11.975,34,16
1632230400,11.92,11.95,11.91,11.91,11.926,6,3
1632230700,11.92,12.05,11.92,12.01,11.983,141,53
1632231000,11.97,12.11,11.9,12.05,11.99,2793,717
1632231300,12.04,12.15,11.97,12.08,12.056,1691,574
1632231600,12.07,12.1,12.01,12.06,12.045,891,407
1632231900,12.06,12.1,11.98,12.08,12.057,902,347
1632232200,12.06,12.09,11.96,11.97,11.989,1318,363
1632232500,11.98,12.02,11.88,11.89,11.947,1496,489
1632232800,11.89,11.9,11.76,11.88,11.834,1443,431
1632233100,11.87,11.91,11.75,11.76,11.842,1241,280
1632233400,11.78,11.86,11.74,11.86,11.792,1117,219
1632233700,11.86,11.9,11.81,11.85,11.846,751,217
1632234000,11.87,11.89,11.78,11.83,11.815,776,224
1632234300,11.82,11.89,11.8,11.88,11.845,426,153
1632234600,11.88,11.94,11.86,11.88,11.899,780,213
1632234900,11.88,11.93,11.84,11.9,11.881,369,132
1632235200,11.9,11.92,11.86,11.91,11.896,398,143
1632235500,11.91,11.92,11.85,11.87,11.881,761,216
1632235800,11.87,11.87,11.79,11.8,11.811,530,180
1632236100,11.81,11.88,11.8,11.82,11.839,530,193
1632236400,11.82,11.84,11.79,11.84,11.811,560,149
1632236700,11.83,11.88,11.82,11.88,11.857,333,144
1632237000,11.87,11.9,11.84,11.85,11.879,480,135
1632237300,11.86,11.91,11.83,11.9,11.868,426,96
1632237600,11.9,11.92,11.86,11.87,11.889,592,175
1632237900,11.89,11.89,11.83,11.83,11.849,145,87
1632238200,11.84,11.91,11.84,11.88,11.873,150,95
1632238500,11.89,11.92,11.86,11.87,11.896,503,118
1632238800,11.87,11.87,11.82,11.86,11.853,174,81
1632239100,11.86,11.86,11.82,11.84,11.837,161,78
1632239400,11.83,11.85,11.83,11.83,11.835,300,92
1632239700,11.83,11.85,11.82,11.83,11.838,126,55
1632240000,11.83,11.88,11.83,11.86,11.858,291,99
1632240300,11.87,11.88,11.84,11.87,11.858,136,66
1632240600,11.86,11.91,11.86,11.91,11.895,123,83
1632240900,11.91,11.92,11.89,11.9,11.901,130,60
1632241200,11.9,11.98,11.9,11.97,11.951,710,133
1632241500,11.97,12.0,11.94,11.97,11.969,970,274
1632241800,11.96,11.98,11.95,11.96,11.959,252,96
1632242100,11.97,11.98,11.95,11.96,11.969,174,73
1632242400,11.96,12.07,11.95,12.05,12.03,1497,479
1632242700,12.04,12.06,12.02,12.02,12.048,241,133
1632243000,12.02,12.03,11.94,11.97,11.971,654,289
1632243300,11.96,11.96,11.93,11.93,11.949,92,51
1632243600,11.92,11.95,11.91,11.91,11.931,132,51
1632243900,11.92,11.99,11.92,11.99,11.949,141,83
1632244200,11.99,12.0,11.98,12.0,11.993,113,85
1632244500,12.0,12.06,11.99,12.02,12.029,444,147
1632244800,12.02,12.08,12.02,12.08,12.047,475,160
1632245100,12.07,12.09,12.03,12.04,12.067,509,205
1632245400,12.04,12.07,12.04,12.06,12.05,426,167
1632245700,12.06,12.06,12.03,12.04,12.051,422,184
1632246000,12.03,12.05,12.02,12.03,12.032,102,45
1632246300,12.03,12.05,12.01,12.03,12.032,154,78
1632246600,12.05,12.07,12.03,12.04,12.053,111,46
1632246900,12.03,12.04,12.01,12.03,12.031,224,99
1632247200,12.03,12.07,12.03,12.04,12.048,253,96
1632247500,12.04,12.05,12.02,12.04,12.038,140,71
1632247800,12.03,12.04,12.02,12.03,12.027,82,48
1632248100,12.03,12.04,12.01,12.03,12.025,437,128
1632248400,12.02,12.04,12.0,12.0,12.015,148,74
