date,open,high,low,close,average,volume,count
1626336000,15.0,15.22,15.0,15.04,15.07,21,7
1626336900,15.14,15.23,15.14,15.23,15.19,27,13
1626337800,15.19,15.32,15.17,15.23,15.224,13,11
1626338700,15.3,15.39,15.3,15.39,15.356,24,12
1626339600,15.38,15.4,15.32,15.32,15.384,16,10
1626340500,15.32,15.36,15.32,15.36,15.324,10,2
1626341400,15.3,15.3,15.26,15.26,15.278,6,4
1626342300,15.33,15.33,15.28,15.32,15.304,10,6
1626343200,15.31,15.31,15.25,15.25,15.277,31,12
1626344100,15.25,15.25,15.08,15.08,15.185,36,16
1626345000,15.08,15.08,15.06,15.07,15.07,3,3
1626345900,15.05,15.05,15.02,15.02,15.04,20,9
1626346800,15.07,15.14,15.01,15.1,15.053,94,31
1626347700,15.06,15.06,15.0,15.0,15.011,151,39
1626348600,15.0,15.03,15.0,15.02,15.009,38,20
1626349500,15.02,15.02,14.85,14.86,14.927,164,62
1626350400,15.08,15.14,14.8,14.83,14.936,679,183
1626351300,14.81,14.91,14.81,14.9,14.846,251,76
1626352200,14.88,14.98,14.88,14.97,14.945,233,54
1626353100,14.96,14.97,14.9,14.97,14.924,164,60
1626354000,14.97,14.97,14.92,14.97,14.943,266,71
1626354900,15.0,15.02,14.96,15.02,14.99,398,108
1626355800,14.97,15.27,14.83,14.94,15.062,18816,6165
1626356700,14.94,15.34,14.93,15.26,15.184,10508,3653
1626357600,15.27,15.34,15.1,15.13,15.226,7107,2621
1626358500,15.14,15.21,14.79,14.86,14.94,12629,4349
1626359400,14.86,14.89,14.6,14.65,14.723,14163,4607
1626360300,14.65,14.76,14.61,14.66,14.683,8753,3294
1626361200,14.66,14.78,14.57,14.71,14.678,8199,3215
1626362100,14.71,14.75,14.58,14.59,14.674,5522,1927
1626363000,14.58,14.63,14.52,14.52,14.576,7494,2554
1626363900,14.53,14.6,14.49,14.56,14.531,8192,2548
1626364800,14.55,14.59,14.42,14.49,14.473,7116,2308
1626365700,14.48,14.5,14.36,14.39,14.417,9040,2866
1626366600,14.4,14.4,14.32,14.39,14.353,5742,2036
1626367500,14.39,14.4,14.21,14.26,14.287,11313,3307
1626368400,14.26,14.27,14.14,14.18,14.198,9403,2756
1626369300,14.18,14.28,14.15,14.25,14.216,6036,1911
1626370200,14.24,14.25,14.08,14.09,14.149,9242,2248
1626371100,14.1,14.12,13.97,14.05,14.035,15205,4061
1626372000,14.06,14.2,14.05,14.17,14.143,7101,1923
1626372900,14.18,14.32,14.15,14.3,14.246,8369,2370
