date,open,high,low,close,average,volume,count
1629273600,14.12,14.12,14.12,14.12,14.12,20,4
1629273605,14.1,14.1,14.08,14.08,14.097,12,3
1629273610,14.06,14.06,14.06,14.06,14.06,3,1
1629273615,14.06,14.06,14.06,14.06,14.06,0,0
1629273620,14.06,14.06,14.06,14.06,14.06,0,0
1629273625,14.06,14.06,14.06,14.06,14.06,0,0
1629273630,14.06,14.06,14.06,14.06,14.06,0,0
1629273635,14.06,14.06,14.06,14.06,14.06,0,0
1629273640,14.06,14.06,14.06,14.06,14.06,0,0
1629273645,14.09,14.1,14.09,14.1,14.097,7,4
1629273650,14.1,14.1,14.1,14.1,14.1,0,0
1629273655,14.1,14.1,14.1,14.1,14.1,0,0
1629273660,14.1,14.1,14.1,14.1,14.1,0,0
1629273665,14.1,14.1,14.1,14.1,14.1,0,0
1629273670,14.1,14.1,14.1,14.1,14.1,0,0
1629273675,14.1,14.1,14.1,14.1,14.1,0,0
1629273680,14.1,14.1,14.1,14.1,14.1,0,0
1629273685,14.1,14.1,14.1,14.1,14.1,0,0
1629273690,14.1,14.1,14.1,14.1,14.1,0,0
1629273695,14.1,14.1,14.1,14.1,14.1,0,0
1629273700,14.1,14.1,14.1,14.1,14.1,0,0
1629273705,14.1,14.1,14.1,14.1,14.1,0,0
1629273710,14.1,14.1,14.1,14.1,14.1,0,0
1629273715,14.1,14.1,14.1,14.1,14.1,0,0
1629273720,14.1,14.1,14.1,14.1,14.1,0,0
1629273725,14.1,14.1,14.1,14.1,14.1,0,0
1629273730,14.1,14.1,14.1,14.1,14.1,0,0
1629273735,14.1,14.1,14.1,14.1,14.1,0,0
1629273740,14.1,14.1,14.1,14.1,14.1,0,0
1629273745,14.02,14.02,14.0,14.0,14.01,4,3
1629273750,14.0,14.0,14.0,14.0,14.0,0,0
1629273755,14.0,14.0,14.0,14.0,14.0,0,0
1629273760,14.0,14.0,14.0,14.0,14.0,0,0
1629273765,14.0,14.0,14.0,14.0,14.0,0,0
1629273770,14.0,14.0,14.0,14.0,14.0,2,1
1629273775,14.0,14.0,14.0,14.0,14.0,0,0
1629273780,14.0,14.0,14.0,14.0,14.0,0,0
1629273785,14.0,14.0,14.0,14.0,14.0,2,2
1629273790,14.0,14.0,14.0,14.0,14.0,1,1
1629273795,14.0,14.0,14.0,14.0,14.0,0,0
1629273800,14.0,14.0,14.0,14.0,14.0,0,0
1629273805,14.0,14.0,14.0,14.0,14.0,0,0
1629273810,14.0,14.0,14.0,14.0,14.0,0,0
1629273815,14.0,14.0,14.0,14.0,14.0,0,0
1629273820,14.0,14.0,14.0,14.0,14.0,0,0
1629273825,14.0,14.0,14.0,14.0,14.0,0,0
1629273830,14.0,14.0,14.0,14.0,14.0,0,0
1629273835,13.98,13.98,13.98,13.98,13.98,2,1
1629273840,13.98,13.98,13.98,13.98,13.98,0,0
1629273845,13.98,13.98,13.98,13.98,13.98,0,0
1629273850,13.98,13.98,13.98,13.98,13.98,0,0
1629273855,13.98,13.98,13.98,13.98,13.98,0,0
1629273860,13.98,13.98,13.98,13.98,13.98,0,0
1629273865,13.98,13.98,13.98,13.98,13.98,0,0
1629273870,13.98,13.98,13.98,13.98,13.98,0,0
1629273875,13.98,13.99,13.98,13.99,13.985,2,2
1629273880,13.99,13.99,13.99,13.99,13.99,1,1
1629273885,13.99,13.99,13.99,13.99,13.99,4,1
1629273890,13.99,13.99,13.99,13.99,13.99,0,0
1629273895,13.99,13.99,13.99,13.99,13.99,0,0
1629273900,13.99,13.99,13.99,13.99,13.99,0,0
1629273905,13.99,13.99,13.99,13.99,13.99,0,0
1629273910,13.99,13.99,13.99,13.99,13.99,0,0
1629273915,13.99,13.99,13.99,13.99,13.99,0,0
1629273920,13.99,13.99,13.99,13.99,13.99,0,0
1629273925,13.99,13.99,13.99,13.99,13.99,0,0
1629273930,13.99,13.99,13.99,13.99,13.99,0,0
1629273935,13.99,13.99,13.99,13.99,13.99,0,0
1629273940,13.99,13.99,13.99,13.99,13.99,0,0
1629273945,13.99,13.99,13.99,13.99,13.99,0,0
1629273950,13.99,13.99,13.99,13.99,13.99,0,0
1629273955,13.99,13.99,13.99,13.99,13.99,0,0
1629273960,13.99,13.99,13.99,13.99,13.99,0,0
1629273965,13.99,13.99,13.99,13.99,13.99,0,0
1629273970,13.99,13.99,13.99,13.99,13.99,0,0
1629273975,13.99,13.99,13.99,13.99,13.99,0,0
1629273980,13.99,13.99,13.99,13.99,13.99,0,0
1629273985,13.99,13.99,13.99,13.99,13.99,0,0
1629273990,13.99,13.99,13.99,13.99,13.99,0,0
1629273995,13.99,13.99,13.99,13.99,13.99,0,0
1629274000,13.99,13.99,13.99,13.99,13.99,0,0
1629274005,13.99,13.99,13.99,13.99,13.99,0,0
1629274010,13.99,13.99,13.99,13.99,13.99,0,0
1629274015,13.99,13.99,13.99,13.99,13.99,0,0
1629274020,13.99,13.99,13.99,13.99,13.99,0,0
1629274025,13.99,13.99,13.99,13.99,13.99,0,0
1629274030,13.99,13.99,13.99,13.99,13.99,0,0
1629274035,13.99,13.99,13.99,13.99,13.99,0,0
1629274040,13.99,13.99,13.99,13.99,13.99,0,0
1629274045,13.99,13.99,13.99,13.99,13.99,0,0
1629274050,13.99,13.99,13.99,13.99,13.99,0,0
1629274055,13.99,13.99,13.99,13.99,13.99,0,0
1629274060,13.99,13.99,13.99,13.99,13.99,0,0
1629274065,13.99,13.99,13.99,13.99,13.99,0,0
1629274070,13.99,13.99,13.99,13.99,13.99,0,0
1629274075,13.99,13.99,13.99,13.99,13.99,0,0
1629274080,13.99,13.99,13.99,13.99,13.99,0,0
1629274085,13.99,13.99,13.99,13.99,13.99,0,0
1629274090,13.99,13.99,13.99,13.99,13.99,0,0
1629274095,13.99,13.99,13.99,13.99,13.99,0,0
1629274100,13.96,13.96,13.95,13.95,13.957,3,2
1629274105,13.95,13.95,13.95,13.95,13.95,0,0
1629274110,13.95,13.95,13.95,13.95,13.95,0,0
1629274115,13.95,13.95,13.95,13.95,13.95,0,0
1629274120,13.95,13.95,13.95,13.95,13.95,0,0
1629274125,13.95,13.95,13.95,13.95,13.95,0,0
1629274130,13.95,13.95,13.95,13.95,13.95,0,0
1629274135,13.95,13.95,13.95,13.95,13.95,0,0
1629274140,13.95,13.95,13.95,13.95,13.95,0,0
1629274145,13.95,13.95,13.95,13.95,13.95,0,0
1629274150,13.95,13.95,13.95,13.95,13.95,0,0
1629274155,13.95,13.95,13.95,13.95,13.95,0,0
1629274160,13.95,13.95,13.95,13.95,13.95,0,0
1629274165,13.95,13.95,13.95,13.95,13.95,0,0
1629274170,13.95,13.95,13.95,13.95,13.95,0,0
1629274175,13.95,13.95,13.95,13.95,13.95,0,0
1629274180,13.95,13.95,13.95,13.95,13.95,0,0
1629274185,13.86,13.86,13.86,13.86,13.86,1,1
1629274190,13.86,13.86,13.86,13.86,13.86,0,0
1629274195,13.86,13.86,13.86,13.86,13.86,0,0
1629274200,13.86,13.86,13.86,13.86,13.86,0,0
1629274205,13.86,13.86,13.86,13.86,13.86,0,0
1629274210,13.86,13.86,13.86,13.86,13.86,0,0
1629274215,13.86,13.86,13.86,13.86,13.86,0,0
1629274220,13.86,13.86,13.86,13.86,13.86,0,0
1629274225,13.86,13.86,13.86,13.86,13.86,0,0
1629274230,13.86,13.86,13.86,13.86,13.86,0,0
1629274235,13.86,13.86,13.86,13.86,13.86,0,0
1629274240,13.86,13.86,13.86,13.86,13.86,0,0
1629274245,13.86,13.86,13.86,13.86,13.86,0,0
1629274250,13.86,13.86,13.86,13.86,13.86,0,0
1629274255,13.86,13.86,13.86,13.86,13.86,0,0
