date,open,high,low,close,average,volume,count
1637571600,11.15,11.17,10.95,11.14,11.107,204,51
1637571900,11.15,11.35,11.14,11.33,11.243,79,29
1637572200,11.34,11.34,11.29,11.3,11.306,17,7
1637572500,11.26,11.26,11.25,11.25,11.259,14,4
1637572800,11.27,11.3,11.22,11.22,11.283,30,10
1637573100,11.24,11.25,11.24,11.25,11.247,3,3
1637573400,11.22,11.22,11.22,11.22,11.22,2,1
1637573700,11.21,11.28,11.21,11.28,11.278,77,14
1637574000,11.23,11.26,11.23,11.25,11.243,13,5
1637574300,11.24,11.25,11.24,11.24,11.244,13,6
1637574600,11.24,11.24,11.24,11.24,11.24,0,0
1637574900,11.24,11.28,11.24,11.27,11.263,15,4
1637575200,11.26,11.3,11.26,11.3,11.294,24,9
1637575500,11.3,11.3,11.28,11.3,11.297,14,5
1637575800,11.29,11.29,11.28,11.28,11.286,4,3
1637576100,11.29,11.29,11.29,11.29,11.29,2,2
1637576400,11.3,11.3,11.28,11.28,11.289,16,7
1637576700,11.27,11.27,11.26,11.26,11.261,17,7
1637577000,11.28,11.28,11.27,11.27,11.28,94,4
1637577300,11.27,11.27,11.26,11.26,11.262,4,3
1637577600,11.27,11.27,11.27,11.27,11.27,1,1
1637577900,11.25,11.25,11.22,11.22,11.237,37,12
1637578200,11.22,11.22,11.22,11.22,11.22,0,0
1637578500,11.2,11.2,11.2,11.2,11.2,1,1
1637578800,11.25,11.25,11.25,11.25,11.25,1,1
1637579100,11.25,11.25,11.25,11.25,11.25,0,0
1637579400,11.25,11.25,11.25,11.25,11.25,0,0
1637579700,11.21,11.21,11.21,11.21,11.21,2,1
1637580000,11.21,11.21,11.19,11.19,11.202,13,4
1637580300,11.18,11.18,11.16,11.17,11.172,95,7
1637580600,11.17,11.17,11.17,11.17,11.17,63,4
1637580900,11.19,11.2,11.19,11.2,11.197,19,8
1637581200,11.18,11.18,11.18,11.18,11.18,4,1
1637581500,11.18,11.18,11.17,11.17,11.177,19,5
1637581800,11.18,11.18,11.15,11.18,11.178,29,8
1637582100,11.2,11.22,11.17,11.17,11.202,31,10
1637582400,11.18,11.19,11.08,11.15,11.121,213,28
1637582700,11.16,11.17,11.1,11.12,11.137,61,14
1637583000,11.14,11.15,11.12,11.15,11.135,47,13
1637583300,11.14,11.15,11.11,11.15,11.141,103,21
1637583600,11.14,11.16,11.14,11.16,11.145,17,7
1637583900,11.16,11.16,11.14,11.15,11.15,26,17
1637584200,11.14,11.16,11.14,11.16,11.15,9,6
1637584500,11.17,11.19,11.17,11.19,11.177,110,45
1637584800,11.17,11.18,11.15,11.16,11.17,100,27
1637585100,11.17,11.18,11.16,11.16,11.172,37,18
1637585400,11.16,11.2,11.16,11.18,11.189,37,11
1637585700,11.19,11.19,11.18,11.18,11.185,2,2
1637586000,11.17,11.2,11.08,11.15,11.159,839,123
1637586300,11.15,11.18,11.15,11.17,11.156,105,24
1637586600,11.18,11.2,11.15,11.15,11.175,187,22
1637586900,11.15,11.17,11.15,11.15,11.15,226,8
1637587200,11.15,11.16,11.12,11.13,11.141,78,34
1637587500,11.13,11.13,11.12,11.12,11.124,53,11
1637587800,11.11,11.12,11.11,11.11,11.11,40,9
1637588100,11.11,11.11,11.1,11.1,11.104,106,23
1637588400,11.1,11.1,11.08,11.08,11.086,82,17
1637588700,11.1,11.13,11.09,11.13,11.124,280,23
1637589000,11.13,11.13,11.11,11.12,11.118,39,11
1637589300,11.12,11.13,11.11,11.11,11.113,134,37
1637589600,11.13,11.14,11.12,11.13,11.134,112,43
1637589900,11.13,11.15,11.12,11.14,11.133,50,21
1637590200,11.15,11.3,11.15,11.2,11.223,552,256
1637590500,11.21,11.25,11.21,11.23,11.236,152,43
1637590800,11.24,11.24,11.21,11.23,11.231,58,20
1637591100,11.21,11.21,11.06,11.1,11.099,637,107
1637591400,11.14,11.2,10.83,10.84,10.962,10584,2697
1637591700,10.84,10.89,10.73,10.75,10.804,6723,2036
1637592000,10.75,10.82,10.66,10.71,10.727,6861,1994
1637592300,10.71,10.8,10.69,10.74,10.74,4606,1545
1637592600,10.74,10.85,10.71,10.83,10.793,3488,1154
1637592900,10.84,10.86,10.72,10.75,10.798,3456,912
1637593200,10.76,10.79,10.73,10.74,10.76,2624,823
1637593500,10.73,10.82,10.69,10.71,10.74,3513,1220
1637593800,10.7,10.71,10.64,10.7,10.671,4993,1366
1637594100,10.69,10.71,10.61,10.66,10.649,5007,1204
1637594400,10.66,10.74,10.62,10.71,10.674,3794,855
1637594700,10.71,10.72,10.66,10.67,10.686,1945,497
1637595000,10.68,10.69,10.56,10.68,10.617,5723,1595
1637595300,10.68,10.68,10.56,10.56,10.614,3249,876
1637595600,10.57,10.62,10.55,10.59,10.581,3439,877
1637595900,10.59,10.62,10.53,10.59,10.556,4667,964
1637596200,10.59,10.61,10.55,10.56,10.581,1664,462
1637596500,10.57,10.58,10.48,10.5,10.509,4922,1246
1637596800,10.49,10.56,10.47,10.49,10.501,3282,778
1637597100,10.48,10.49,10.42,10.45,10.458,5025,1491
1637597400,10.46,10.53,10.44,10.52,10.493,2767,657
1637597700,10.52,10.55,10.48,10.52,10.508,4197,1039
1637598000,10.51,10.55,10.49,10.5,10.515,2890,429
1637598300,10.51,10.52,10.39,10.4,10.441,3523,874
1637598600,10.4,10.41,10.3,10.32,10.354,6177,1568
1637598900,10.33,10.37,10.32,10.35,10.345,3967,734
1637599200,10.35,10.36,10.27,10.3,10.309,4453,1155
1637599500,10.3,10.34,10.27,10.32,10.303,3902,844
1637599800,10.33,10.33,10.23,10.26,10.267,5999,1153
1637600100,10.26,10.34,10.22,10.32,10.264,6744,1304
1637600400,10.32,10.36,10.29,10.33,10.336,3434,514
1637600700,10.34,10.34,10.23,10.24,10.281,2331,660
1637601000,10.24,10.31,10.23,10.28,10.275,2709,620
1637601300,10.29,10.32,10.27,10.3,10.298,1642,360
1637601600,10.31,10.38,10.28,10.37,10.319,3874,590
1637601900,10.38,10.41,10.36,10.41,10.384,3063,673
1637602200,10.4,10.48,10.4,10.41,10.445,2949,579
1637602500,10.42,10.42,10.38,10.38,10.393,2477,573
1637602800,10.39,10.44,10.38,10.42,10.413,1060,325
1637603100,10.42,10.44,10.4,10.41,10.421,767,306
