date,open,high,low,close,average,volume,count
1638198000,10.26,10.26,10.26,10.26,10.26,1,1
1638198001,10.26,10.26,10.26,10.26,10.26,0,0
1638198002,10.26,10.26,10.26,10.26,10.26,0,0
1638198003,10.27,10.27,10.26,10.27,10.268,1,1
1638198004,10.27,10.27,10.26,10.27,10.27,0,0
1638198005,10.26,10.26,10.26,10.26,10.26,4,3
1638198006,10.25,10.25,10.25,10.25,10.25,9,4
1638198007,10.26,10.26,10.25,10.26,10.259,2,1
1638198008,10.26,10.26,10.25,10.26,10.26,0,0
1638198009,10.26,10.26,10.25,10.25,10.25,65,34
1638198010,10.24,10.24,10.24,10.24,10.24,15,13
1638198011,10.24,10.24,10.23,10.23,10.233,35,21
1638198012,10.24,10.24,10.24,10.24,10.24,12,9
1638198013,10.24,10.24,10.24,10.24,10.24,0,0
1638198014,10.24,10.24,10.24,10.24,10.24,0,0
1638198015,10.24,10.24,10.24,10.24,10.24,0,0
1638198016,10.24,10.24,10.24,10.24,10.24,0,0
1638198017,10.24,10.24,10.24,10.24,10.24,0,0
1638198018,10.25,10.25,10.24,10.25,10.245,8,3
1638198019,10.24,10.24,10.24,10.24,10.24,19,13
1638198020,10.25,10.25,10.24,10.25,10.248,50,1
1638198021,10.25,10.26,10.25,10.26,10.25,34,13
1638198022,10.26,10.26,10.26,10.26,10.26,0,0
1638198023,10.26,10.26,10.26,10.26,10.26,0,0
1638198024,10.26,10.26,10.26,10.26,10.26,0,0
1638198025,10.26,10.26,10.25,10.26,10.259,1,1
1638198026,10.26,10.26,10.25,10.26,10.26,0,0
1638198027,10.26,10.26,10.25,10.25,10.254,35,2
1638198028,10.25,10.25,10.25,10.25,10.25,0,0
1638198029,10.25,10.25,10.25,10.25,10.25,8,2
1638198030,10.25,10.25,10.24,10.24,10.246,9,3
1638198031,10.25,10.25,10.25,10.25,10.25,15,8
1638198032,10.25,10.25,10.25,10.25,10.25,0,0
1638198033,10.25,10.26,10.25,10.25,10.251,5,1
1638198034,10.25,10.26,10.25,10.25,10.25,0,0
1638198035,10.25,10.26,10.25,10.25,10.25,0,0
1638198036,10.25,10.26,10.25,10.25,10.25,0,0
1638198037,10.25,10.26,10.25,10.25,10.25,0,0
1638198038,10.25,10.26,10.25,10.25,10.25,0,0
1638198039,10.25,10.26,10.25,10.25,10.25,0,0
1638198040,10.25,10.26,10.25,10.25,10.25,0,0
1638198041,10.25,10.26,10.25,10.25,10.25,0,0
1638198042,10.25,10.26,10.25,10.25,10.25,0,0
1638198043,10.25,10.26,10.25,10.25,10.25,0,0
1638198044,10.26,10.26,10.24,10.24,10.249,18,12
1638198045,10.25,10.25,10.25,10.25,10.25,40,1
1638198046,10.25,10.25,10.25,10.25,10.25,0,0
1638198047,10.25,10.25,10.25,10.25,10.25,0,0
1638198048,10.25,10.25,10.24,10.24,10.245,5,2
1638198049,10.25,10.26,10.24,10.26,10.25,13,9
1638198050,10.26,10.26,10.24,10.25,10.251,12,8
1638198051,10.25,10.25,10.25,10.25,10.25,1,1
1638198052,10.25,10.25,10.24,10.24,10.241,83,39
1638198053,10.24,10.25,10.24,10.24,10.24,0,0
1638198054,10.24,10.25,10.24,10.24,10.24,0,0
1638198055,10.24,10.25,10.24,10.24,10.24,0,0
1638198056,10.24,10.25,10.24,10.25,10.25,29,11
1638198057,10.25,10.25,10.25,10.25,10.25,5,1
1638198058,10.25,10.25,10.25,10.25,10.25,0,0
1638198059,10.25,10.25,10.25,10.25,10.25,5,4
1638198060,10.25,10.25,10.25,10.25,10.25,0,0
1638198061,10.25,10.25,10.25,10.25,10.25,0,0
1638198062,10.25,10.25,10.24,10.25,10.249,12,2
1638198063,10.24,10.24,10.24,10.24,10.24,2,1
1638198064,10.25,10.25,10.24,10.25,10.248,1,1
