date,open,high,low,close,average,volume,count
1626768000,11.52,11.55,11.52,11.55,11.5253,60,5
1626768300,11.54,11.55,11.52,11.52,11.53133,120,5
1626768600,11.54,11.54,11.54,11.54,11.54,4,3
1626768900,11.52,11.54,11.52,11.54,11.53533,15,5
1626769200,11.54,11.54,11.54,11.54,11.54,0,0
1626769500,11.54,11.54,11.54,11.54,11.54,13,1
1626769800,11.54,11.56,11.54,11.56,11.5555,10,4
1626770100,11.55,11.55,11.55,11.55,11.55,11,7
1626770400,11.55,11.55,11.55,11.55,11.55,0,0
1626770700,11.55,11.55,11.55,11.55,11.55,0,0
1626771000,11.54,11.54,11.54,11.54,11.54,1,1
1626771300,11.54,11.54,11.54,11.54,11.54,0,0
1626771600,11.54,11.54,11.54,11.54,11.54,5,1
1626771900,11.54,11.54,11.54,11.54,11.54,0,0
1626772200,11.52,11.52,11.51,11.51,11.51548,3,2
1626772500,11.5,11.5,11.5,11.5,11.5,8,4
1626772800,11.51,11.51,11.51,11.51,11.51,8,2
1626773100,11.52,11.52,11.52,11.52,11.52,6,2
1626773400,11.52,11.55,11.51,11.55,11.53143,4,3
1626773700,11.52,11.52,11.52,11.52,11.52,1,1
1626774000,11.52,11.52,11.52,11.52,11.52,0,0
1626774300,11.52,11.52,11.52,11.52,11.52,5,4
1626774600,11.5,11.5,11.5,11.5,11.5,5,4
1626774900,11.5,11.5,11.5,11.5,11.5,0,0
1626775200,11.51,11.53,11.51,11.53,11.527,10,3
1626775500,11.52,11.53,11.52,11.53,11.525,2,2
1626775800,11.53,11.53,11.53,11.53,11.53,0,0
1626776100,11.53,11.53,11.53,11.53,11.53,0,0
1626776400,11.53,11.53,11.53,11.53,11.53,0,0
1626776700,11.55,11.55,11.55,11.55,11.55,1,1
1626777000,11.52,11.52,11.52,11.52,11.52,9,5
1626777300,11.53,11.53,11.52,11.52,11.52105,19,3
1626777600,11.52,11.52,11.52,11.52,11.52,0,0
1626777900,11.52,11.52,11.5,11.5,11.5125,4,3
1626778200,11.49,11.49,11.49,11.49,11.49,1,1
1626778500,11.5,11.5,11.5,11.5,11.5,9,2
1626778800,11.5,11.5,11.41,11.41,11.44206,13,6
1626779100,11.41,11.41,11.41,11.41,11.41,0,0
1626779400,11.47,11.47,11.46,11.46,11.464,5,5
1626779700,11.46,11.46,11.45,11.45,11.458,10,5
1626780000,11.45,11.49,11.45,11.49,11.46745,47,16
1626780300,11.5,11.53,11.5,11.52,11.51583,48,21
1626780600,11.52,11.52,11.48,11.48,11.50992,49,20
1626780900,11.48,11.48,11.48,11.48,11.48,0,0
1626781200,11.48,11.48,11.48,11.48,11.48,0,0
1626781500,11.48,11.48,11.48,11.48,11.48,0,0
1626781800,11.49,11.52,11.49,11.52,11.50845,9,8
1626782100,11.52,11.53,11.5,11.52,11.50913,26,14
1626782400,11.48,11.53,11.45,11.53,11.47858,218,16
1626782700,11.5,11.5,11.5,11.5,11.5,6,4
1626783000,11.5,11.5,11.5,11.5,11.5,0,0
1626783300,11.52,11.52,11.52,11.52,11.52,10,4
1626783600,11.5,11.53,11.5,11.53,11.51932,87,8
1626783900,11.53,11.55,11.53,11.55,11.54112,16,11
1626784200,11.54,11.55,11.54,11.54,11.54056,107,8
1626784500,11.53,11.53,11.53,11.53,11.53,1,1
1626784800,11.5,11.5,11.49,11.5,11.4966,23,13
1626785100,11.5,11.5,11.5,11.5,11.5,28,2
1626785400,11.5,11.5,11.49,11.5,11.4993,28,7
1626785700,11.5,11.5,11.49,11.5,11.49913,22,7
1626786000,11.5,11.51,11.5,11.51,11.504,10,5
1626786300,11.51,11.51,11.49,11.49,11.50061,16,10
1626786600,11.48,11.48,11.48,11.48,11.48,1,1
1626786900,11.48,11.48,11.46,11.46,11.46339,32,8
1626787200,11.47,11.48,11.47,11.48,11.47486,7,6
1626787500,11.5,11.52,11.5,11.52,11.50681,15,9
1626787800,11.51,11.53,11.38,11.44,11.46091,5456,1077
1626788100,11.43,11.435,11.305,11.32,11.35496,2489,1044
1626788400,11.32,11.375,11.24,11.295,11.29381,3297,1211
1626788700,11.2993,11.33,11.27,11.28,11.3092,2352,850
1626789000,11.28,11.33,11.26,11.2982,11.29097,1841,721
1626789300,11.295,11.375,11.285,11.35,11.32679,2421,797
1626789600,11.345,11.38,11.265,11.275,11.30499,2167,819
1626789900,11.275,11.28,11.25,11.255,11.26574,1609,558
1626790200,11.25,11.4,11.24,11.3905,11.31106,2697,916
1626790500,11.395,11.42,11.36,11.36,11.39145,1506,701
1626790800,11.36,11.39,11.345,11.355,11.36815,2749,1000
1626791100,11.35,11.375,11.315,11.345,11.344,1010,541
1626791400,11.34,11.4,11.335,11.39,11.37293,1591,683
1626791700,11.3973,11.4,11.355,11.37,11.3768,1197,576
1626792000,11.38,11.4199,11.375,11.415,11.39949,1858,648
1626792300,11.42,11.43,11.39,11.41,11.41218,996,510
1626792600,11.41,11.43,11.4,11.405,11.41251,1364,531
1626792900,11.405,11.41,11.39,11.395,11.40258,2153,422
1626793200,11.395,11.4,11.34,11.36,11.3722,1903,685
1626793500,11.365,11.39,11.35,11.38,11.36714,1039,382
1626793800,11.38,11.3975,11.38,11.39,11.38762,495,254
1626794100,11.3925,11.42,11.39,11.395,11.40407,1852,727
1626794400,11.395,11.41,11.3827,11.395,11.39751,975,359
1626794700,11.395,11.43,11.395,11.402,11.40725,1291,497
1626795000,11.405,11.405,11.3619,11.375,11.38197,1604,563
1626795300,11.375,11.41,11.37,11.39,11.39425,1263,509
1626795600,11.39,11.4,11.365,11.3772,11.37847,695,277
1626795900,11.375,11.385,11.36,11.3801,11.37334,639,218
1626796200,11.385,11.4,11.375,11.395,11.39061,1705,491
1626796500,11.395,11.3999,11.37,11.375,11.3837,650,233
1626796800,11.37,11.39,11.35,11.3801,11.36996,1020,396
1626797100,11.385,11.39,11.355,11.3665,11.36804,633,226
1626797400,11.3699,11.385,11.34,11.3701,11.36294,1061,345
1626797700,11.375,11.39,11.36,11.385,11.37375,906,247
1626798000,11.385,11.39,11.335,11.345,11.35888,763,209
1626798300,11.345,11.375,11.345,11.36,11.36191,751,290
1626798600,11.36,11.385,11.36,11.375,11.37366,417,194
1626798900,11.3701,11.38,11.37,11.37,11.37329,288,105
1626799200,11.37,11.395,11.37,11.3769,11.37946,1147,419
1626799500,11.375,11.39,11.37,11.375,11.37813,393,171
1626799800,11.3777,11.4,11.37,11.385,11.38568,632,199
1626800100,11.385,11.3878,11.365,11.385,11.37533,683,195
1626800400,11.3876,11.4,11.355,11.365,11.37789,752,276
1626800700,11.365,11.39,11.362,11.385,11.37681,365,154
1626801000,11.38,11.43,11.38,11.425,11.40474,975,360
1626801300,11.425,11.47,11.42,11.44,11.44719,872,308
1626801600,11.445,11.45,11.42,11.445,11.43593,689,279
1626801900,11.445,11.45,11.43,11.435,11.43867,411,203
1626802200,11.435,11.44,11.43,11.43,11.43478,152,113
1626802500,11.435,11.44,11.42,11.42,11.4298,486,212
1626802800,11.425,11.43,11.42,11.42,11.42464,129,66
1626803100,11.4264,11.44,11.41,11.435,11.42402,669,331
1626803400,11.435,11.45,11.425,11.435,11.43727,637,252
1626803700,11.435,11.465,11.43,11.455,11.45413,475,171
1626804000,11.455,11.46,11.435,11.452,11.44983,942,326
1626804300,11.455,11.49,11.45,11.485,11.46587,929,293
1626804600,11.485,11.49,11.47,11.485,11.48333,1723,416
1626804900,11.485,11.5,11.48,11.49,11.48935,426,166
1626805200,11.492,11.51,11.485,11.495,11.4999,1091,313
