date,open,high,low,close,average,volume,count
1623850200,5.8,5.84,5.8,5.83,5.82815,59,41
1623850201,5.84,5.8497,5.82,5.8387,5.83028,5174,107
1623850202,5.8357,5.86,5.83,5.86,5.84301,200,27
1623850203,5.86,5.86,5.8274,5.8528,5.85117,278,46
1623850204,5.8588,5.87,5.85,5.8682,5.86046,196,41
1623850205,5.87,5.88,5.8299,5.8789,5.86254,410,74
1623850206,5.855,5.89,5.855,5.88,5.8762,180,54
1623850207,5.889,5.9,5.889,5.895,5.89586,139,24
1623850208,5.9,5.92,5.9,5.9198,5.90702,433,86
1623850209,5.91,5.95,5.8699,5.9403,5.92902,914,178
1623850210,5.945,5.96,5.8799,5.9567,5.9336,456,115
1623850211,5.95,5.96,5.94,5.94,5.95235,311,89
1623850212,5.94,5.98,5.94,5.9799,5.9683,514,100
1623850213,5.9799,5.99,5.97,5.9701,5.98015,522,110
1623850214,5.97,6.0,5.97,5.9999,5.98702,471,106
1623850215,5.995,6.0,5.989,6.0,5.99794,611,175
1623850216,5.99,6.05,5.99,6.05,6.01386,2047,302
1623850217,6.05,6.05,6.02,6.04,6.04096,322,99
1623850218,6.04,6.07,6.0399,6.07,6.05343,502,104
1623850219,6.065,6.08,6.06,6.0606,6.06715,383,64
1623850220,6.06,6.08,6.05,6.0699,6.06367,243,56
1623850221,6.06,6.07,6.06,6.07,6.06461,317,61
1623850222,6.0699,6.07,6.06,6.06,6.0627,449,60
1623850223,6.065,6.07,6.05,6.0601,6.06319,418,107
1623850224,6.0654,6.08,6.04,6.065,6.06328,876,208
1623850225,6.08,6.08,6.07,6.075,6.07384,239,50
1623850226,6.0799,6.09,6.07,6.08,6.0821,372,122
1623850227,6.09,6.1,6.0737,6.0999,6.09365,394,98
1623850228,6.09,6.1,6.09,6.1,6.09763,347,104
1623850229,6.095,6.1099,6.09,6.0968,6.09841,755,284
1623850230,6.1,6.1,6.09,6.0982,6.09954,925,188
1623850231,6.1,6.1,6.0799,6.08,6.08925,382,88
1623850232,6.08,6.0899,6.06,6.07,6.06928,513,124
1623850233,6.065,6.07,6.06,6.06,6.06456,447,75
1623850234,6.0689,6.0689,6.03,6.03,6.05079,337,70
1623850235,6.035,6.0699,6.01,6.027,6.02943,439,224
1623850236,6.02,6.0399,6.0,6.005,6.01343,227,66
1623850237,6.0099,6.0188,5.975,5.99,6.00022,523,134
1623850238,5.99,5.99,5.95,5.9625,5.96525,798,191
1623850239,5.97,5.97,5.93,5.95,5.9538,566,80
1623850240,5.9584,5.97,5.93,5.9663,5.95923,491,127
1623850241,5.965,5.98,5.955,5.9595,5.96894,174,47
1623850242,5.9501,5.99,5.9501,5.9854,5.97296,308,77
1623850243,5.99,6.0,5.96,5.965,5.96689,356,80
1623850244,5.965,6.02,5.965,5.985,5.99381,489,183
