date,open,high,low,close,average,volume,count
1624608000,4.75,4.75,4.68,4.68,4.73626,82,20
1624608005,4.68,4.68,4.68,4.68,4.68,9,6
1624608010,4.68,4.68,4.68,4.68,4.68,55,7
1624608015,4.64,4.65,4.6,4.65,4.61485,20,11
1624608020,4.65,4.65,4.48,4.48,4.5309,98,36
1624608025,4.48,4.48,4.47,4.47,4.47209,4,4
1624608030,4.47,4.47,4.46,4.46,4.46941,17,7
1624608035,4.47,4.47,4.46,4.46,4.46091,11,2
1624608040,4.47,4.47,4.44,4.46,4.45428,28,10
1624608045,4.45,4.46,4.45,4.45,4.45892,45,3
1624608050,4.5,4.5,4.48,4.48,4.49267,43,13
1624608055,4.48,4.48,4.48,4.48,4.48,1,1
1624608060,4.46,4.48,4.46,4.46,4.47899,209,5
1624608065,4.47,4.48,4.45,4.48,4.4693,11,5
1624608070,4.47,4.49,4.47,4.48,4.48,5,5
1624608075,4.47,4.47,4.46,4.46,4.46678,5,3
1624608080,4.48,4.5,4.48,4.5,4.49149,6,4
1624608085,4.59,4.6,4.54,4.54,4.58654,10,3
1624608090,4.58,4.6,4.58,4.6,4.59901,128,8
1624608095,4.6,4.6,4.6,4.6,4.6,200,6
1624608100,4.6,4.6,4.6,4.6,4.6,11,5
1624608105,4.54,4.6,4.53,4.6,4.57373,36,12
1624608110,4.6,4.6,4.6,4.6,4.6,9,4
1624608115,4.6,4.6,4.6,4.6,4.6,2,2
1624608120,4.54,4.54,4.53,4.54,4.53903,15,5
1624608125,4.54,4.55,4.54,4.54,4.54087,23,8
1624608130,4.53,4.54,4.53,4.54,4.53556,15,7
1624608135,4.54,4.54,4.54,4.54,4.54,1,1
1624608140,4.56,4.56,4.56,4.56,4.56,11,1
1624608145,4.56,4.56,4.56,4.56,4.56,0,0
1624608150,4.6,4.6,4.6,4.6,4.6,5,4
1624608155,4.6,4.6,4.57,4.57,4.58756,18,8
1624608160,4.57,4.57,4.57,4.57,4.57,3,1
1624608165,4.59,4.6,4.59,4.59,4.59556,9,5
1624608170,4.59,4.6,4.59,4.6,4.59933,14,3
1624608175,4.6,4.6,4.58,4.6,4.59903,268,15
1624608180,4.58,4.6,4.58,4.59,4.58528,17,5
1624608185,4.59,4.59,4.59,4.59,4.59,5,1
1624608190,4.6,4.6,4.59,4.59,4.59984,305,7
