date,open,high,low,close,average,volume,count
1626422450,652.5,652.5,652.5,652.5,652.5,1,1
1626422455,652.5,652.5,652.5,652.5,652.5,0,0
1626422460,652.5,652.5,652.5,652.5,652.5,0,0
1626422465,653.11,653.11,653.11,653.11,653.11,1,1
1626422470,653.11,653.11,653.11,653.11,653.11,0,0
1626422475,653.11,653.11,653.11,653.11,653.11,0,0
1626422480,653.11,653.11,653.11,653.11,653.11,0,0
1626422485,653.11,653.11,653.11,653.11,653.11,0,0
1626422490,653.11,653.11,653.11,653.11,653.11,0,0
1626422495,654.0,654.0,654.0,654.0,654.0,1,1
1626422500,654.0,654.0,654.0,654.0,654.0,0,0
1626422505,654.0,654.0,654.0,654.0,654.0,0,0
1626422510,654.0,654.0,654.0,654.0,654.0,0,0
1626422515,654.0,654.0,654.0,654.0,654.0,0,0
1626422520,654.0,654.0,654.0,654.0,654.0,1,1
1626422525,654.0,654.0,654.0,654.0,654.0,0,0
1626422530,654.0,654.0,654.0,654.0,654.0,0,0
1626422535,654.0,654.0,654.0,654.0,654.0,0,0
1626422540,653.74,654.0,653.74,654.0,653.945,5,4
1626422545,654.0,654.0,654.0,654.0,654.0,0,0
1626422550,654.0,654.0,654.0,654.0,654.0,0,0
1626422555,654.0,654.0,654.0,654.0,654.0,0,0
1626422560,654.03,654.03,654.03,654.03,654.03,1,1
1626422565,654.03,654.03,654.03,654.03,654.03,0,0
1626422570,654.03,654.03,654.03,654.03,654.03,0,0
1626422575,654.03,654.03,654.03,654.03,654.03,0,0
1626422580,654.03,654.03,654.03,654.03,654.03,0,0
1626422585,654.03,654.03,654.03,654.03,654.03,0,0
1626422590,654.03,654.03,654.03,654.03,654.03,0,0
1626422595,654.03,654.03,654.03,654.03,654.03,0,0
1626422600,654.03,654.03,654.03,654.03,654.03,0,0
1626422605,654.03,654.03,654.03,654.03,654.03,0,0
1626422610,654.03,654.03,654.03,654.03,654.03,0,0
1626422615,654.03,654.03,654.03,654.03,654.03,0,0
1626422620,654.03,654.03,654.03,654.03,654.03,0,0
1626422625,654.03,654.03,654.03,654.03,654.03,0,0
1626422630,654.03,654.03,654.03,654.03,654.03,0,0
1626422635,654.03,654.03,654.03,654.03,654.03,0,0
1626422640,654.03,654.03,654.03,654.03,654.03,0,0
1626422645,654.03,654.03,654.03,654.03,654.03,0,0
1626422650,654.03,654.03,654.03,654.03,654.03,0,0
1626422655,654.03,654.03,654.03,654.03,654.03,0,0
1626422660,654.03,654.03,654.03,654.03,654.03,0,0
1626422665,654.03,654.03,654.03,654.03,654.03,0,0
1626422670,654.03,654.03,654.03,654.03,654.03,0,0
1626422675,654.03,654.03,654.03,654.03,654.03,0,0
1626422680,654.03,654.03,654.03,654.03,654.03,0,0
1626422685,654.03,654.03,654.03,654.03,654.03,0,0
1626422690,654.03,654.03,654.03,654.03,654.03,0,0
1626422695,654.03,654.03,654.03,654.03,654.03,0,0
1626422700,654.03,654.03,654.03,654.03,654.03,0,0
1626422705,654.03,654.03,654.03,654.03,654.03,0,0
1626422710,654.03,654.03,654.03,654.03,654.03,0,0
1626422715,654.03,654.03,654.03,654.03,654.03,0,0
1626422720,654.03,654.03,654.03,654.03,654.03,0,0
