date,open,high,low,close,average,volume,count
1649944800,995.31,995.31,994.91,994.92,995.155,6,4
1649944801,995.0,995.05,994.51,995.04,994.832,3,3
1649944802,994.51,994.99,994.46,994.99,994.598,12,12
1649944803,994.97,994.98,994.97,994.97,994.972,3,1
1649944804,994.97,994.98,994.97,994.97,994.97,0,0
1649944805,994.87,994.88,994.87,994.87,994.873,1,1
1649944806,994.95,994.95,994.95,994.95,994.95,2,2
1649944807,994.95,994.95,994.95,994.95,994.95,0,0
1649944808,994.95,994.95,994.95,994.95,994.95,1,1
1649944809,994.79,995.19,994.79,995.19,995.045,2,2
1649944810,995.19,995.19,995.18,995.19,995.19,0,0
1649944811,995.19,995.19,995.18,995.19,995.19,0,0
1649944812,994.74,994.74,994.74,994.74,994.74,1,1
1649944813,994.75,994.87,994.74,994.74,994.765,5,5
1649944814,994.74,994.74,994.74,994.74,994.74,0,0
1649944815,995.27,995.5,995.27,995.5,995.481,26,7
1649944816,995.94,995.95,995.77,995.77,995.929,15,2
1649944817,995.4,996.26,995.39,996.25,995.965,27,11
1649944818,995.77,995.89,995.57,995.88,995.775,26,7
1649944819,996.19,996.19,995.88,995.89,995.967,3,2
1649944820,996.33,996.56,996.32,996.56,996.412,4,3
1649944821,996.7,996.79,996.31,996.31,996.473,9,5
1649944822,996.34,996.72,996.34,996.7,996.657,17,8
1649944823,996.7,996.8,996.52,996.52,996.673,3,3
1649944824,996.64,996.9,996.64,996.89,996.883,18,6
1649944825,996.96,996.97,996.96,996.97,996.968,14,4
1649944826,996.98,997.2,996.98,997.11,997.054,8,8
1649944827,997.15,997.15,997.15,997.15,997.15,9,1
1649944828,997.01,997.26,997.01,997.24,997.078,20,5
1649944829,997.34,997.48,997.34,997.48,997.41,2,2
1649944830,997.3,997.3,997.16,997.25,997.266,7,6
1649944831,997.34,997.34,996.97,997.01,997.178,10,7
1649944832,997.01,997.01,996.83,996.83,996.92,2,2
1649944833,997.14,997.14,997.02,997.02,997.128,12,3
1649944834,997.28,997.28,997.14,997.14,997.202,4,4
1649944835,997.14,997.27,997.03,997.2,997.181,6,5
1649944836,997.28,997.47,997.12,997.12,997.298,21,6
1649944837,997.11,997.15,997.0,997.02,997.04,14,6
1649944838,996.71,997.14,996.34,997.14,996.479,25,4
1649944839,996.75,996.84,996.37,996.83,996.687,5,5
1649944840,996.92,996.92,996.75,996.75,996.838,2,2
1649944841,997.1,997.12,997.09,997.12,997.105,2,2
1649944842,996.73,996.93,996.73,996.93,996.812,4,3
1649944843,997.13,997.13,997.09,997.09,997.11,2,2
1649944844,996.75,996.75,996.75,996.75,996.75,1,1
1649944845,997.0,997.19,996.97,997.19,997.089,15,8
1649944846,997.19,997.38,997.19,997.38,997.32,6,4
1649944847,996.69,997.36,996.69,997.36,997.09,5,3
1649944848,997.34,997.46,997.1,997.29,997.249,18,10
1649944849,997.45,997.57,997.22,997.49,997.47,25,18
1649944850,997.76,997.78,997.64,997.69,997.729,12,10
1649944851,997.74,997.77,997.49,997.77,997.646,13,8
1649944852,997.33,997.5,997.32,997.32,997.429,5,3
1649944853,997.0,997.27,997.0,997.27,997.127,4,3
1649944854,996.83,996.83,996.35,996.46,996.428,13,7
1649944855,996.22,996.22,996.0,996.07,996.117,27,7
1649944856,996.06,996.07,996.06,996.07,996.064,4,2
1649944857,996.09,996.1,996.09,996.09,996.091,1,1
1649944858,995.89,996.36,995.89,996.12,996.123,3,3
1649944859,996.12,996.12,996.12,996.12,996.12,0,0
1649944860,995.89,996.51,995.89,996.51,996.279,5,3
1649944861,996.26,996.26,996.25,996.26,996.257,1,1
1649944862,996.26,996.26,996.25,996.26,996.26,0,0
1649944863,996.91,996.91,996.91,996.91,996.91,2,1
