date,open,high,low,close,average,volume,count
1649255400,50.7,50.71,50.69,50.71,50.698,48,20
1649255401,50.71,50.74,50.7,50.74,50.717,24,12
1649255402,50.75,50.76,50.74,50.75,50.75,102,28
1649255403,50.75,50.75,50.74,50.74,50.746,85,12
1649255404,50.74,50.74,50.73,50.74,50.739,24,6
1649255405,50.73,50.74,50.72,50.73,50.724,84,13
1649255406,50.72,50.72,50.72,50.72,50.72,2,2
1649255407,50.73,50.75,50.71,50.71,50.732,147,52
1649255408,50.72,50.72,50.67,50.67,50.702,86,35
1649255409,50.68,50.69,50.67,50.67,50.678,140,17
1649255410,50.68,50.69,50.67,50.68,50.681,58,17
1649255411,50.69,50.69,50.68,50.68,50.686,63,12
1649255412,50.69,50.7,50.68,50.68,50.689,24,15
1649255413,50.68,50.7,50.68,50.7,50.689,70,21
1649255414,50.71,50.71,50.68,50.69,50.693,46,8
1649255415,50.69,50.69,50.68,50.68,50.687,5,5
1649255416,50.68,50.69,50.68,50.68,50.686,17,4
1649255417,50.68,50.69,50.67,50.69,50.684,112,40
1649255418,50.68,50.68,50.63,50.63,50.655,256,65
1649255419,50.63,50.63,50.62,50.63,50.622,58,15
1649255420,50.62,50.64,50.62,50.64,50.633,141,41
1649255421,50.63,50.66,50.62,50.66,50.639,31,19
1649255422,50.67,50.67,50.66,50.66,50.665,5,3
1649255423,50.66,50.69,50.66,50.69,50.682,17,4
1649255424,50.68,50.69,50.66,50.67,50.672,18,10
1649255425,50.66,50.66,50.65,50.66,50.66,11,5
1649255426,50.66,50.66,50.66,50.66,50.66,0,0
1649255427,50.69,50.7,50.69,50.7,50.698,56,10
1649255428,50.69,50.73,50.69,50.72,50.711,55,11
1649255429,50.7,50.71,50.69,50.71,50.703,31,6
1649255430,50.71,50.73,50.71,50.73,50.714,17,9
1649255431,50.73,50.75,50.72,50.75,50.74,43,11
1649255432,50.73,50.78,50.73,50.77,50.756,134,33
1649255433,50.78,50.82,50.77,50.78,50.799,195,83
1649255434,50.78,50.83,50.77,50.82,50.809,128,47
1649255435,50.82,50.88,50.77,50.88,50.851,223,85
1649255436,50.89,50.9,50.87,50.89,50.89,204,47
