date,open,high,low,close,average,volume,count
1654502400,39.92,39.92,39.92,39.92,39.92,20,2
1654502405,39.92,39.92,39.92,39.92,39.92,0,0
1654502410,39.92,39.92,39.92,39.92,39.92,0,0
1654502415,39.92,39.92,39.92,39.92,39.92,0,0
1654502420,39.92,39.92,39.92,39.92,39.92,0,0
1654502425,39.92,39.92,39.92,39.92,39.92,0,0
1654502430,39.92,39.92,39.92,39.92,39.92,0,0
1654502435,39.92,39.92,39.92,39.92,39.92,0,0
1654502440,39.92,39.92,39.92,39.92,39.92,0,0
1654502445,39.92,39.92,39.92,39.92,39.92,0,0
1654502450,39.92,39.92,39.92,39.92,39.92,0,0
1654502455,39.92,39.92,39.92,39.92,39.92,0,0
1654502460,39.92,39.92,39.92,39.92,39.92,0,0
1654502465,39.92,39.92,39.92,39.92,39.92,0,0
1654502470,39.92,39.92,39.92,39.92,39.92,0,0
1654502475,39.92,39.92,39.92,39.92,39.92,0,0
1654502480,39.92,39.92,39.92,39.92,39.92,0,0
1654502485,39.92,39.92,39.92,39.92,39.92,0,0
1654502490,39.92,39.92,39.92,39.92,39.92,0,0
1654502495,39.92,39.92,39.92,39.92,39.92,0,0
1654502500,39.92,39.92,39.92,39.92,39.92,0,0
1654502505,39.92,39.92,39.92,39.92,39.92,0,0
1654502510,39.92,39.92,39.92,39.92,39.92,0,0
1654502515,39.92,39.92,39.92,39.92,39.92,0,0
1654502520,39.92,39.92,39.92,39.92,39.92,0,0
1654502525,39.92,39.92,39.92,39.92,39.92,0,0
1654502530,39.92,39.92,39.92,39.92,39.92,0,0
1654502535,39.92,39.92,39.92,39.92,39.92,0,0
1654502540,39.92,39.92,39.92,39.92,39.92,0,0
1654502545,39.92,39.92,39.92,39.92,39.92,0,0
1654502550,39.92,39.92,39.92,39.92,39.92,0,0
1654502555,39.92,39.92,39.92,39.92,39.92,0,0
1654502560,39.92,39.92,39.92,39.92,39.92,0,0
1654502565,39.92,39.92,39.92,39.92,39.92,0,0
1654502570,39.92,39.92,39.92,39.92,39.92,0,0
1654502575,39.92,39.92,39.92,39.92,39.92,0,0
1654502580,39.92,39.92,39.92,39.92,39.92,0,0
1654502585,39.92,39.92,39.92,39.92,39.92,0,0
1654502590,39.92,39.92,39.92,39.92,39.92,0,0
1654502595,39.92,39.92,39.92,39.92,39.92,0,0
1654502600,39.92,39.92,39.92,39.92,39.92,0,0
1654502605,39.92,39.92,39.92,39.92,39.92,0,0
1654502610,39.92,39.92,39.92,39.92,39.92,0,0
1654502615,39.92,39.92,39.92,39.92,39.92,0,0
1654502620,39.92,39.92,39.92,39.92,39.92,0,0
1654502625,39.92,39.92,39.92,39.92,39.92,0,0
1654502630,39.92,39.92,39.92,39.92,39.92,0,0
1654502635,39.92,39.92,39.92,39.92,39.92,0,0
1654502640,39.92,39.92,39.92,39.92,39.92,0,0
1654502645,39.92,39.92,39.92,39.92,39.92,0,0
1654502650,39.92,39.92,39.92,39.92,39.92,0,0
1654502655,39.92,39.92,39.92,39.92,39.92,0,0
1654502660,39.92,39.92,39.92,39.92,39.92,0,0
1654502665,39.92,39.92,39.92,39.92,39.92,0,0
1654502670,39.92,39.92,39.92,39.92,39.92,0,0
1654502675,39.92,39.92,39.92,39.92,39.92,0,0
1654502680,39.92,39.92,39.92,39.92,39.92,0,0
1654502685,39.92,39.92,39.92,39.92,39.92,0,0
1654502690,39.92,39.92,39.92,39.92,39.92,0,0
1654502695,39.92,39.92,39.92,39.92,39.92,0,0
1654502700,39.92,39.92,39.92,39.92,39.92,0,0
1654502705,39.92,39.92,39.92,39.92,39.92,0,0
1654502710,39.92,39.92,39.92,39.92,39.92,0,0
1654502715,39.92,39.92,39.92,39.92,39.92,0,0
1654502720,39.92,39.92,39.92,39.92,39.92,0,0
1654502725,39.92,39.92,39.92,39.92,39.92,0,0
1654502730,39.92,39.92,39.92,39.92,39.92,0,0
1654502735,40.16,40.16,40.16,40.16,40.16,2,1
1654502740,40.16,40.16,40.16,40.16,40.16,0,0
1654502745,40.16,40.16,40.16,40.16,40.16,0,0
1654502750,40.16,40.16,40.16,40.16,40.16,0,0
1654502755,40.16,40.16,40.16,40.16,40.16,0,0
1654502760,40.16,40.16,40.16,40.16,40.16,0,0
1654502765,40.16,40.16,40.16,40.16,40.16,0,0
1654502770,40.16,40.16,40.16,40.16,40.16,0,0
1654502775,40.16,40.16,40.16,40.16,40.16,0,0
1654502780,40.16,40.16,40.16,40.16,40.16,0,0
1654502785,40.16,40.16,40.16,40.16,40.16,0,0
1654502790,40.16,40.16,40.16,40.16,40.16,0,0
1654502795,40.16,40.16,40.16,40.16,40.16,0,0
1654502800,40.16,40.16,40.16,40.16,40.16,0,0
1654502805,40.16,40.16,40.16,40.16,40.16,0,0
1654502810,40.16,40.16,40.16,40.16,40.16,0,0
1654502815,40.16,40.16,40.16,40.16,40.16,0,0
1654502820,40.16,40.16,40.16,40.16,40.16,0,0
1654502825,40.16,40.16,40.16,40.16,40.16,0,0
1654502830,40.16,40.16,40.16,40.16,40.16,0,0
1654502835,40.16,40.16,40.16,40.16,40.16,0,0
1654502840,40.16,40.16,40.16,40.16,40.16,0,0
1654502845,40.16,40.16,40.16,40.16,40.16,0,0
1654502850,40.16,40.16,40.16,40.16,40.16,0,0
1654502855,40.16,40.16,40.16,40.16,40.16,0,0
1654502860,40.16,40.16,40.16,40.16,40.16,0,0
1654502865,40.16,40.16,40.16,40.16,40.16,0,0
1654502870,40.16,40.16,40.16,40.16,40.16,0,0
1654502875,40.16,40.16,40.16,40.16,40.16,0,0
1654502880,40.16,40.16,40.16,40.16,40.16,0,0
1654502885,40.16,40.16,40.16,40.16,40.16,0,0
1654502890,40.16,40.16,40.16,40.16,40.16,0,0
1654502895,40.16,40.16,40.16,40.16,40.16,0,0
1654502900,40.16,40.16,40.16,40.16,40.16,0,0
1654502905,40.16,40.16,40.16,40.16,40.16,0,0
1654502910,40.16,40.16,40.16,40.16,40.16,0,0
1654502915,40.16,40.16,40.16,40.16,40.16,0,0
1654502920,40.16,40.16,40.16,40.16,40.16,0,0
1654502925,40.16,40.16,40.16,40.16,40.16,0,0
1654502930,40.16,40.16,40.16,40.16,40.16,0,0
1654502935,40.16,40.16,40.16,40.16,40.16,0,0
1654502940,40.16,40.16,40.16,40.16,40.16,0,0
1654502945,40.16,40.16,40.16,40.16,40.16,0,0
1654502950,40.26,40.26,40.26,40.26,40.26,3,2
1654502955,40.26,40.26,40.26,40.26,40.26,0,0
1654502960,40.26,40.26,40.26,40.26,40.26,0,0
1654502965,40.26,40.26,40.26,40.26,40.26,0,0
1654502970,40.26,40.26,40.26,40.26,40.26,0,0
1654502975,40.26,40.26,40.26,40.26,40.26,0,0
1654502980,40.26,40.26,40.26,40.26,40.26,0,0
1654502985,40.26,40.26,40.26,40.26,40.26,0,0
1654502990,40.26,40.26,40.26,40.26,40.26,0,0
1654502995,40.26,40.26,40.26,40.26,40.26,0,0
1654503000,40.26,40.26,40.26,40.26,40.26,0,0
1654503005,40.26,40.26,40.26,40.26,40.26,0,0
1654503010,40.26,40.26,40.26,40.26,40.26,0,0
1654503015,40.26,40.26,40.26,40.26,40.26,0,0
1654503020,40.26,40.26,40.26,40.26,40.26,0,0
