date,open,high,low,close,average,volume,count
20211207,45.48,46.34,44.32,44.65,45.289,167204,75189
20211208,44.78,46.2,44.34,45.65,45.635,154871,65389
20211209,46.0,48.22,45.6,46.38,47.068,225899,105808
20211210,46.33,47.07,44.97,45.63,45.531,123579,61596
20211213,45.99,45.99,43.77,44.49,44.688,99518,48888
20211214,44.52,44.69,43.7,44.3,44.209,85605,44466
20211215,44.36,44.5,42.74,44.3,43.543,127161,61279
20211216,44.34,45.03,42.72,42.85,43.396,112174,47477
20211217,42.83,44.04,41.63,43.35,43.171,259831,70871
20211220,42.25,43.33,41.79,43.1,42.587,102873,52761
20211221,43.29,44.45,42.72,44.03,43.868,82318,39056
20211222,44.08,44.56,43.62,44.0,43.996,81678,32970
20211223,44.05,44.53,43.0,44.05,43.971,77994,35887
20211227,44.2,44.92,44.11,44.2,44.464,74279,36226
20211228,44.46,44.78,43.23,43.44,43.776,76617,38602
20211229,43.63,43.64,42.56,42.67,42.824,75367,34506
20211230,42.75,45.09,42.63,44.32,44.392,128583,59280
20211231,44.46,44.84,43.18,43.2,43.676,88371,41668
20220103,43.57,43.72,42.48,42.68,42.884,126975,56917
20220104,42.79,42.98,40.36,40.78,41.027,182607,79879
20220105,40.75,41.88,38.94,39.5,40.295,193189,85698
20220106,39.38,40.44,38.69,39.75,39.807,141798,63593
20220107,39.68,40.69,39.31,39.72,39.872,117344,54656
20220110,39.67,40.25,38.22,40.1,39.165,130776,63945
20220111,40.23,40.94,39.6,40.81,40.536,122092,53819
20220112,40.72,41.48,39.77,40.25,40.485,88003,44218
20220113,40.15,40.34,38.61,38.76,39.109,133475,58045
20220114,38.92,39.05,37.51,38.46,38.177,125142,58384
20220118,37.51,38.2,37.01,37.3,37.486,129418,57021
20220119,37.25,38.28,37.0,37.47,37.607,122854,60389
20220120,38.0,39.03,36.39,36.88,38.078,143915,66144
20220121,36.98,37.2,34.31,34.5,35.682,215892,100504
20220124,34.82,35.14,32.05,34.71,33.694,270655,114984
20220125,34.5,34.99,33.62,34.31,34.196,150060,75162
20220126,34.64,35.43,33.26,33.87,34.3,174408,85316
20220127,33.75,35.15,33.7,34.1,34.426,138546,71130
20220128,33.86,35.34,33.3,35.23,34.637,117804,61974
20220131,35.42,37.66,35.02,37.6,36.995,149073,74803
20220201,37.65,39.22,36.87,38.9,37.625,121444,60863
20220202,38.73,39.2,32.66,33.6,36.377,156102,73783
20220203,34.0,38.3,33.2,37.38,34.559,285464,138716
20220204,37.08,37.44,34.76,37.15,36.424,197650,101391
20220207,37.2,37.33,35.89,36.1,36.462,204413,85917
20220208,36.02,36.48,35.15,36.37,35.814,144060,80398
20220209,36.3,39.1,36.07,38.45,37.266,209254,102457
20220210,38.15,41.54,36.21,37.01,37.989,412550,159984
20220211,36.69,38.18,35.66,35.78,36.61,199356,90758
20220214,35.01,36.61,35.01,35.69,35.967,133811,70793
20220215,36.2,37.0,36.01,36.78,36.746,159680,59541
20220216,37.06,37.06,35.52,36.02,36.004,158432,64809
20220217,35.9,36.61,35.2,35.41,35.785,123999,53815
20220218,35.7,35.7,34.03,34.04,34.52,134510,71340
20220222,34.2,34.2,32.75,33.27,33.239,142229,72699
20220223,33.47,33.47,32.41,32.41,32.841,124248,65679
20220224,32.14,35.07,30.6,34.56,33.843,193645,99935
20220225,34.54,35.4,34.13,35.03,34.917,133318,69458
20220228,34.66,36.05,34.1,35.47,35.419,153510,77839
20220301,35.41,36.13,34.7,35.82,35.455,143529,73984
20220302,35.5,35.87,34.13,34.48,34.638,157195,83529
20220303,34.92,35.18,32.94,32.95,33.876,162366,72814
20220304,33.1,34.23,32.95,33.05,33.401,140709,73920
20220307,32.67,33.88,32.01,32.25,33.037,158109,85367
20220308,32.6,33.83,31.95,32.69,32.839,151290,79133
