date,open,high,low,close,average,volume,count
1638781440,40.8,40.8,40.8,40.8,40.8,1,1
1638781500,40.8,40.8,40.8,40.8,40.8,0,0
1638781560,40.8,40.8,40.8,40.8,40.8,0,0
1638781620,40.8,40.8,40.8,40.8,40.8,0,0
1638781680,40.8,40.8,40.8,40.8,40.8,0,0
1638781740,40.8,40.8,40.8,40.8,40.8,0,0
1638781800,40.8,40.8,40.8,40.8,40.8,0,0
1638781860,40.8,40.8,40.8,40.8,40.8,0,0
1638781920,40.8,40.8,40.8,40.8,40.8,0,0
1638781980,40.96,40.96,40.96,40.96,40.96,1,1
1638782040,40.96,40.96,40.96,40.96,40.96,0,0
1638782100,40.96,40.96,40.96,40.96,40.96,0,0
1638782160,40.96,40.96,40.96,40.96,40.96,0,0
1638782220,40.96,40.96,40.96,40.96,40.96,0,0
1638782280,40.96,40.96,40.96,40.96,40.96,0,0
1638782340,40.96,40.96,40.96,40.96,40.96,0,0
1638782400,40.96,40.96,40.96,40.96,40.96,0,0
1638782460,40.96,40.96,40.96,40.96,40.96,0,0
1638782520,40.96,40.96,40.96,40.96,40.96,0,0
1638782580,41.0,41.0,41.0,41.0,41.0,2,1
1638782640,41.0,41.0,41.0,41.0,41.0,0,0
1638782700,41.0,41.0,41.0,41.0,41.0,0,0
1638782760,41.0,41.0,41.0,41.0,41.0,0,0
1638782820,41.0,41.0,41.0,41.0,41.0,0,0
1638782880,41.0,41.0,41.0,41.0,41.0,0,0
1638782940,41.0,41.0,41.0,41.0,41.0,0,0
1638783000,41.0,41.0,41.0,41.0,41.0,0,0
1638783060,41.0,41.0,41.0,41.0,41.0,0,0
1638783120,41.0,41.0,41.0,41.0,41.0,0,0
1638783180,41.0,41.0,41.0,41.0,41.0,0,0
1638783240,41.0,41.0,41.0,41.0,41.0,0,0
1638783300,41.0,41.0,41.0,41.0,41.0,0,0
1638783360,41.0,41.0,41.0,41.0,41.0,0,0
1638783420,41.0,41.0,41.0,41.0,41.0,0,0
1638783480,40.96,40.96,40.96,40.96,40.96,1,1
1638783540,40.96,40.96,40.96,40.96,40.96,0,0
1638783600,40.95,40.95,40.95,40.95,40.95,1,1
1638783660,40.94,40.94,40.94,40.94,40.94,2,2
