date,open,high,low,close,average,volume,count
1629727200,39.75,39.75,39.75,39.75,39.75,6,2
1629727201,39.76,39.76,39.75,39.76,39.759,11,1
1629727202,39.76,39.76,39.75,39.76,39.758,2,2
1629727203,39.76,39.76,39.75,39.76,39.76,0,0
1629727204,39.76,39.77,39.75,39.77,39.762,18,11
1629727205,39.76,39.78,39.76,39.77,39.767,12,7
1629727206,39.77,39.77,39.77,39.77,39.77,0,0
1629727207,39.77,39.77,39.77,39.77,39.77,1,1
1629727208,39.77,39.77,39.77,39.77,39.77,12,11
1629727209,39.77,39.78,39.77,39.77,39.771,38,29
1629727210,39.78,39.79,39.78,39.78,39.785,62,47
1629727211,39.78,39.78,39.78,39.78,39.78,2,2
1629727212,39.77,39.78,39.77,39.77,39.775,1,1
1629727213,39.77,39.78,39.77,39.77,39.77,0,0
1629727214,39.78,39.78,39.77,39.78,39.78,1,1
1629727215,39.78,39.78,39.77,39.78,39.78,0,0
1629727216,39.78,39.78,39.77,39.78,39.78,0,0
1629727217,39.77,39.78,39.77,39.77,39.775,1,1
1629727218,39.77,39.78,39.77,39.77,39.771,23,10
1629727219,39.77,39.77,39.76,39.77,39.765,8,4
1629727220,39.77,39.77,39.76,39.77,39.77,0,0
1629727221,39.77,39.77,39.76,39.77,39.77,0,0
1629727222,39.77,39.77,39.75,39.75,39.753,183,133
1629727223,39.75,39.76,39.75,39.76,39.755,6,6
1629727224,39.76,39.77,39.75,39.77,39.762,9,6
1629727225,39.77,39.77,39.76,39.77,39.77,0,0
1629727226,39.76,39.76,39.76,39.76,39.76,3,3
1629727227,39.77,39.77,39.76,39.77,39.763,80,23
1629727228,39.77,39.77,39.77,39.77,39.77,0,0
1629727229,39.77,39.77,39.76,39.77,39.763,14,5
1629727230,39.77,39.77,39.76,39.77,39.77,0,0
1629727231,39.77,39.77,39.76,39.77,39.765,2,2
1629727232,39.77,39.77,39.76,39.77,39.77,0,0
1629727233,39.77,39.77,39.76,39.77,39.77,0,0
1629727234,39.76,39.77,39.76,39.77,39.765,13,2
1629727235,39.76,39.76,39.74,39.75,39.748,20,13
1629727236,39.75,39.75,39.74,39.75,39.748,4,4
1629727237,39.75,39.75,39.73,39.73,39.741,9,7
1629727238,39.73,39.73,39.7,39.72,39.716,86,37
1629727239,39.71,39.71,39.7,39.7,39.707,19,14
1629727240,39.7,39.71,39.69,39.69,39.699,127,27
1629727241,39.69,39.69,39.69,39.69,39.69,3,1
1629727242,39.68,39.68,39.66,39.66,39.664,24,14
1629727243,39.66,39.67,39.65,39.66,39.66,87,41
1629727244,39.66,39.66,39.65,39.66,39.656,24,19
1629727245,39.66,39.69,39.65,39.66,39.676,57,21
1629727246,39.66,39.67,39.66,39.66,39.661,6,6
1629727247,39.67,39.67,39.66,39.67,39.669,70,22
1629727248,39.67,39.67,39.66,39.66,39.667,22,10
1629727249,39.66,39.66,39.65,39.66,39.655,36,17
1629727250,39.68,39.69,39.68,39.69,39.688,58,33
1629727251,39.7,39.7,39.69,39.7,39.695,4,2
1629727252,39.7,39.7,39.69,39.7,39.7,0,0
1629727253,39.69,39.7,39.67,39.68,39.686,26,13
1629727254,39.68,39.72,39.68,39.72,39.711,32,22
1629727255,39.72,39.72,39.69,39.7,39.701,42,17
1629727256,39.7,39.73,39.7,39.73,39.712,21,16
1629727257,39.73,39.73,39.71,39.71,39.723,46,8
1629727258,39.71,39.72,39.71,39.71,39.711,13,12
1629727259,39.7,39.71,39.7,39.7,39.702,11,5
1629727260,39.7,39.7,39.68,39.68,39.694,10,7
1629727261,39.69,39.69,39.68,39.69,39.685,2,1
1629727262,39.69,39.69,39.67,39.68,39.68,42,26
1629727263,39.67,39.67,39.65,39.66,39.659,33,21
1629727264,39.66,39.66,39.64,39.64,39.652,14,12
1629727265,39.65,39.65,39.64,39.65,39.646,6,5
1629727266,39.67,39.67,39.66,39.67,39.667,3,3
1629727267,39.67,39.67,39.63,39.64,39.649,50,31
1629727268,39.65,39.67,39.64,39.67,39.662,23,10
1629727269,39.68,39.68,39.67,39.68,39.677,14,11
1629727270,39.69,39.7,39.69,39.69,39.692,6,6
1629727271,39.7,39.7,39.69,39.69,39.692,6,4
1629727272,39.69,39.69,39.68,39.69,39.688,1,1
1629727273,39.68,39.69,39.68,39.68,39.684,1,1
1629727274,39.68,39.69,39.68,39.69,39.683,2,2
1629727275,39.68,39.69,39.67,39.67,39.68,23,8
1629727276,39.66,39.67,39.66,39.66,39.665,1,1
1629727277,39.66,39.67,39.66,39.66,39.66,38,14
1629727278,39.66,39.67,39.65,39.66,39.66,15,4
1629727279,39.66,39.66,39.65,39.66,39.657,1,1
1629727280,39.66,39.67,39.65,39.66,39.658,9,4
1629727281,39.66,39.67,39.66,39.67,39.668,27,7
1629727282,39.69,39.7,39.68,39.69,39.692,6,5
1629727283,39.69,39.69,39.69,39.69,39.69,5,5
1629727284,39.69,39.69,39.68,39.68,39.682,3,3
