date,open,high,low,close,average,volume,count
1655971200,21.56,21.56,21.54,21.54,21.552,6,3
1655972100,21.54,21.6,21.54,21.58,21.58,50,20
1655973000,21.58,21.58,21.5,21.5,21.543,10,2
1655973900,21.5,21.5,21.5,21.5,21.5,0,0
1655974800,21.56,21.57,21.56,21.57,21.567,7,5
1655975700,21.61,21.61,21.61,21.61,21.61,5,1
1655976600,21.6,21.62,21.6,21.62,21.61,11,4
1655977500,21.65,21.65,21.65,21.65,21.65,1,1
1655978400,21.65,21.65,21.65,21.65,21.65,0,0
1655979300,21.7,21.75,21.7,21.75,21.737,16,6
1655980200,21.71,21.71,21.71,21.71,21.71,2,1
1655981100,21.78,21.78,21.78,21.78,21.78,1,1
1655982000,21.83,21.83,21.67,21.68,21.74,88,18
1655982900,21.66,21.69,21.6,21.69,21.663,119,16
1655983800,21.69,21.72,21.67,21.67,21.692,15,8
1655984700,21.7,21.71,21.7,21.7,21.702,40,29
1655985600,21.7,21.75,21.54,21.68,21.687,124,32
1655986500,21.66,21.72,21.64,21.68,21.663,70,30
1655987400,21.62,21.66,21.51,21.6,21.594,167,54
1655988300,21.59,21.64,21.58,21.64,21.603,57,23
1655989200,21.64,21.7,21.62,21.69,21.645,58,27
1655990100,21.74,21.74,21.61,21.61,21.671,81,27
1655991000,21.63,21.91,21.55,21.59,21.698,17772,6975
1655991900,21.6,21.77,21.39,21.73,21.547,14152,7183
1655992800,21.72,21.86,21.6,21.75,21.74,8156,3780
1655993700,21.74,21.94,21.69,21.85,21.825,9733,4367
1655994600,21.85,21.99,21.73,21.93,21.861,10054,5000
1655995500,21.93,22.05,21.9,21.91,21.978,8659,3575
1655996400,21.91,22.0,21.85,21.97,21.906,7014,3165
1655997300,21.97,22.02,21.89,22.0,21.966,4817,2330
1655998200,22.0,22.04,21.79,21.91,21.88,7824,3023
1655999100,21.91,22.05,21.89,21.96,21.996,9753,3441
1656000000,21.96,21.96,21.75,21.91,21.849,9465,3595
1656000900,21.9,21.98,21.86,21.93,21.917,5820,2609
1656001800,21.92,21.95,21.68,21.78,21.796,6800,2979
1656002700,21.78,21.78,21.63,21.64,21.726,5471,2386
1656003600,21.64,21.76,21.54,21.73,21.672,6249,2605
