date,open,high,low,close,average,volume,count
1625655600,120.06,120.06,120.06,120.06,120.06,1,1
1625655900,120.0,120.0,120.0,120.0,120.0,2,2
1625656200,120.0,120.0,120.0,120.0,120.0,0,0
1625656500,120.93,120.93,120.93,120.93,120.93,1,1
1625656800,120.93,120.93,120.93,120.93,120.93,0,0
1625657100,120.8,121.0,120.8,120.85,120.901,14,10
1625657400,120.85,120.85,120.85,120.85,120.85,0,0
1625657700,120.85,120.85,120.85,120.85,120.85,0,0
1625658000,120.88,120.88,120.85,120.85,120.856,8,6
1625658300,120.85,120.85,120.85,120.85,120.85,0,0
1625658600,120.87,120.87,120.85,120.85,120.856,3,3
1625658900,120.85,120.85,120.85,120.85,120.85,0,0
1625659200,120.8,121.0,120.0,121.0,120.689,11,8
1625659500,120.88,120.88,120.85,120.85,120.865,2,2
1625659800,120.85,120.85,120.85,120.85,120.85,1,1
1625660100,120.85,121.0,120.85,120.94,120.942,23,13
1625660400,120.9,120.95,120.9,120.95,120.913,7,3
1625660700,121.09,121.23,120.94,121.23,121.091,6,4
1625661000,121.23,121.23,121.23,121.23,121.23,0,0
1625661300,120.9,120.9,120.9,120.9,120.9,2,2
1625661600,120.8,120.8,120.7,120.7,120.745,3,2
1625661900,120.78,120.9,120.78,120.9,120.885,47,4
1625662200,121.0,121.0,121.0,121.0,121.0,1,1
1625662500,121.0,121.0,121.0,121.0,121.0,3,1
1625662800,121.08,121.2,121.0,121.11,121.082,23,11
1625663100,121.1,121.1,121.1,121.1,121.1,1,1
1625663400,121.1,121.1,121.1,121.1,121.1,0,0
1625663700,121.0,121.11,120.9,121.0,120.999,8,6
1625664000,120.53,120.91,120.53,120.91,120.754,5,4
1625664300,120.5,120.5,120.5,120.5,120.5,1,1
1625664600,120.5,121.54,119.0,119.24,120.687,1151,325
1625664900,119.21,119.76,117.8,118.38,118.675,799,315
1625665200,118.35,119.87,118.1,118.6,118.925,406,180
1625665500,118.91,118.92,117.37,118.11,118.06,515,244
1625665800,118.41,118.98,117.63,118.04,118.304,279,124
1625666100,118.35,119.17,118.11,118.67,118.803,317,70
1625666400,118.65,118.65,116.55,116.55,117.351,508,250
1625666700,116.52,117.5,116.38,117.21,116.887,433,170
1625667000,117.26,117.76,116.95,117.61,117.356,190,97
1625667300,117.63,117.95,117.01,117.32,117.549,258,147
1625667600,117.3,117.3,116.05,116.19,116.476,386,203
1625667900,116.29,117.0,115.28,115.65,116.001,639,309
1625668200,115.36,116.32,115.36,115.95,115.894,467,281
1625668500,115.91,116.3,115.39,115.5,115.862,314,169
1625668800,115.64,115.64,114.22,114.58,114.734,1325,590
1625669100,114.36,116.31,114.33,115.81,115.532,448,235
1625669400,115.86,116.49,115.63,116.0,116.102,277,144
1625669700,116.0,116.4,115.7,116.03,116.098,268,179
1625670000,115.85,116.99,115.64,116.23,116.346,411,142
1625670300,116.21,116.52,115.85,115.85,116.12,148,66
1625670600,115.86,116.8,115.78,116.34,116.459,340,105
1625670900,116.32,116.88,116.0,116.88,116.459,182,103
1625671200,116.8,117.4,116.5,117.03,116.992,529,193
1625671500,116.96,117.63,116.54,116.8,117.251,1366,219
1625671800,117.15,117.18,116.7,116.85,116.898,137,69
1625672100,116.78,117.93,116.63,117.75,117.53,663,213
1625672400,117.82,118.33,117.38,118.01,117.792,205,111
1625672700,118.31,118.49,117.9,118.1,118.202,355,100
1625673000,118.14,118.7,118.08,118.08,118.365,412,140
1625673300,118.1,118.4,117.43,117.64,117.731,260,99
1625673600,117.64,117.9,117.64,117.69,117.741,66,38
1625673900,117.84,118.08,117.43,117.63,117.765,79,54
1625674200,117.63,118.2,117.56,118.2,117.858,79,26
1625674500,118.1,118.1,117.44,117.8,117.685,211,106
1625674800,117.69,117.81,116.91,116.95,117.243,234,121
1625675100,117.16,117.47,116.77,117.35,117.163,198,114
1625675400,117.33,117.43,116.92,117.0,117.158,52,32
1625675700,117.4,117.65,117.05,117.5,117.504,79,31
1625676000,117.61,117.8,117.48,117.63,117.638,42,29
1625676300,117.71,117.98,117.4,117.59,117.718,61,37
1625676600,117.31,117.91,117.31,117.45,117.566,42,28
1625676900,117.65,117.65,117.09,117.6,117.361,61,29
1625677200,117.4,117.55,116.75,117.0,117.335,83,42
1625677500,116.84,117.03,116.36,116.73,116.694,181,110
1625677800,116.64,116.67,116.14,116.5,116.395,95,53
1625678100,116.51,116.93,116.51,116.79,116.775,155,62
1625678400,116.79,117.03,116.7,116.87,116.896,185,83
1625678700,116.97,116.98,116.38,116.91,116.614,101,41
1625679000,116.89,116.89,116.34,116.41,116.558,121,72
1625679300,116.47,116.71,116.32,116.59,116.507,45,34
1625679600,116.48,116.6,116.3,116.6,116.416,122,29
1625679900,116.54,116.6,116.2,116.5,116.364,68,40
1625680200,116.41,116.94,116.41,116.67,116.603,52,36
1625680500,116.81,117.06,116.68,116.7,116.894,62,48
1625680800,116.92,117.5,116.82,117.45,117.087,108,68
1625681100,117.3,117.44,117.01,117.18,117.188,52,37
1625681400,117.18,117.27,116.79,116.88,117.028,43,26
1625681700,116.88,117.2,116.67,116.93,116.924,49,38
1625682000,117.28,117.42,116.72,117.42,116.984,63,33
1625682300,117.48,117.68,117.07,117.07,117.437,100,76
1625682600,117.11,117.18,116.77,117.0,116.977,41,35
1625682900,116.85,116.86,116.2,116.25,116.504,207,88
1625683200,116.21,116.75,116.21,116.68,116.345,43,29
1625683500,116.5,116.95,116.31,116.69,116.616,88,63
1625683800,116.7,117.05,116.7,116.87,116.865,44,39
1625684100,116.97,117.25,116.88,116.99,117.118,75,53
1625684400,117.1,117.28,117.03,117.1,117.204,103,43
1625684700,117.08,117.22,116.8,116.94,117.094,132,56
1625685000,117.02,117.26,116.97,117.1,117.093,47,28
1625685300,117.18,117.46,117.17,117.39,117.331,50,24
1625685600,117.38,117.39,116.94,117.03,117.096,75,52
1625685900,117.11,117.2,116.75,116.83,116.979,90,60
1625686200,116.97,117.38,116.94,117.28,117.19,104,64
1625686500,117.33,117.37,117.0,117.0,117.2,75,63
1625686800,117.08,117.17,116.82,117.07,116.995,79,54
1625687100,117.16,117.59,117.14,117.43,117.432,278,97
1625687400,117.6,117.94,117.21,117.38,117.708,681,223
1625687700,117.41,117.99,117.11,117.44,117.502,732,540
1625688000,117.4,117.4,117.4,117.4,117.4,318,2
1625688300,117.4,117.4,117.4,117.4,117.4,0,0
1625688600,117.05,117.05,117.0,117.0,117.003,17,5
1625688900,117.0,117.0,117.0,117.0,117.0,0,0
1625689200,117.0,117.0,117.0,117.0,117.0,0,0
1625689500,117.0,117.0,117.0,117.0,117.0,0,0
1625689800,117.75,117.75,117.74,117.75,117.749,16,4
1625690100,117.75,117.75,117.75,117.75,117.75,0,0
1625690400,117.85,117.85,117.85,117.85,117.85,1,1
1625690700,117.65,117.65,117.65,117.65,117.65,2,2
1625691000,117.65,117.65,117.65,117.65,117.65,1,1
1625691300,117.65,117.65,117.65,117.65,117.65,0,0
1625691600,117.4,117.65,117.4,117.65,117.567,9,2
1625691900,117.65,117.65,117.65,117.65,117.65,16,5
1625692200,117.65,117.65,117.65,117.65,117.65,0,0
1625692500,117.65,117.65,117.65,117.65,117.65,0,0
1625692800,117.12,117.12,117.12,117.12,117.12,2,1
1625693100,117.12,117.12,117.12,117.12,117.12,0,0
1625693400,117.12,117.12,117.12,117.12,117.12,0,0
1625693700,117.12,117.12,117.12,117.12,117.12,0,0
1625694000,117.12,117.12,117.12,117.12,117.12,0,0
1625694300,117.12,117.12,117.12,117.12,117.12,0,0
1625694600,117.12,117.12,117.12,117.12,117.12,0,0
1625694900,117.12,117.12,117.12,117.12,117.12,0,0
1625695200,117.12,117.12,117.12,117.12,117.12,0,0
1625695500,117.12,117.12,117.12,117.12,117.12,0,0
1625695800,117.12,117.12,117.12,117.12,117.12,0,0
1625696100,117.12,117.12,117.12,117.12,117.12,0,0
1625696400,117.12,117.12,117.12,117.12,117.12,0,0
1625696700,117.5,117.5,117.5,117.5,117.5,4,2
1625697000,117.5,117.5,117.5,117.5,117.5,0,0
1625697300,117.5,117.5,117.5,117.5,117.5,0,0
1625697600,117.5,117.5,117.5,117.5,117.5,0,0
1625697900,117.5,117.5,117.5,117.5,117.5,0,0
1625698200,117.5,117.5,117.5,117.5,117.5,0,0
1625698500,117.5,117.5,117.5,117.5,117.5,0,0
1625698800,117.5,117.5,117.5,117.5,117.5,0,0
1625699100,117.25,117.25,117.25,117.25,117.25,1,1
1625699400,117.13,117.13,117.13,117.13,117.13,1,1
1625699700,117.13,117.13,117.13,117.13,117.13,0,0
1625700000,117.13,117.13,117.13,117.13,117.13,0,0
1625700300,117.01,117.01,117.01,117.01,117.01,2,1
1625700600,117.01,117.01,117.01,117.01,117.01,0,0
1625700900,117.01,117.01,117.01,117.01,117.01,0,0
1625701200,117.01,117.01,117.01,117.01,117.01,0,0
1625701500,117.01,117.01,117.01,117.01,117.01,0,0
1625701800,117.01,117.01,117.01,117.01,117.01,0,0
1625702100,117.34,117.34,117.34,117.34,117.34,1,1
1625731200,117.35,117.35,117.35,117.35,117.35,1,1
1625731500,117.35,117.35,117.35,117.35,117.35,0,0
1625731800,117.35,117.35,117.35,117.35,117.35,0,0
1625732100,117.35,117.35,117.35,117.35,117.35,0,0
1625732400,117.35,117.35,117.35,117.35,117.35,0,0
1625732700,117.35,117.35,117.35,117.35,117.35,0,0
1625733000,117.35,117.35,117.35,117.35,117.35,0,0
1625733300,117.35,117.35,117.35,117.35,117.35,0,0
1625733600,117.35,117.35,117.35,117.35,117.35,0,0
1625733900,117.35,117.35,117.35,117.35,117.35,0,0
1625734200,117.35,117.35,117.35,117.35,117.35,0,0
1625734500,117.35,117.35,117.35,117.35,117.35,0,0
1625734800,117.35,117.35,117.35,117.35,117.35,0,0
1625735100,117.35,117.35,117.35,117.35,117.35,0,0
1625735400,117.35,117.35,117.35,117.35,117.35,0,0
1625735700,117.35,117.35,117.35,117.35,117.35,0,0
1625736000,117.35,117.35,117.35,117.35,117.35,0,0
1625736300,117.35,117.35,117.35,117.35,117.35,0,0
1625736600,117.35,117.35,117.35,117.35,117.35,0,0
1625736900,117.35,117.35,117.35,117.35,117.35,0,0
1625737200,117.35,117.35,117.35,117.35,117.35,0,0
1625737500,117.35,117.35,117.35,117.35,117.35,0,0
1625737800,117.35,117.35,117.35,117.35,117.35,0,0
1625738100,117.35,117.35,117.35,117.35,117.35,0,0
1625738400,117.35,117.35,117.35,117.35,117.35,0,0
1625738700,117.35,117.35,117.35,117.35,117.35,0,0
1625739000,117.35,117.35,117.35,117.35,117.35,0,0
1625739300,117.35,117.35,117.35,117.35,117.35,0,0
1625739600,117.35,117.35,117.35,117.35,117.35,0,0
1625739900,117.35,117.35,117.35,117.35,117.35,0,0
1625740200,117.35,117.35,117.35,117.35,117.35,0,0
1625740500,114.01,114.01,114.01,114.01,114.01,2,1
1625740800,114.01,114.01,114.01,114.01,114.01,0,0
1625741100,114.01,114.01,114.01,114.01,114.01,0,0
1625741400,114.01,114.01,114.01,114.01,114.01,0,0
1625741700,114.0,114.0,114.0,114.0,114.0,4,1
1625742000,114.0,114.0,113.0,113.0,113.405,31,19
1625742300,113.0,113.0,113.0,113.0,113.0,3,2
1625742600,113.0,113.0,113.0,113.0,113.0,4,4
1625742900,112.85,112.85,112.74,112.74,112.791,2,2
1625743200,112.6,112.6,112.5,112.55,112.542,10,6
1625743500,112.55,113.0,112.55,113.0,112.899,7,3
1625743800,113.0,113.0,113.0,113.0,113.0,0,0
1625744100,113.0,113.0,113.0,113.0,113.0,0,0
1625744400,112.65,112.65,112.6,112.6,112.605,11,4
1625744700,112.52,112.53,112.2,112.2,112.424,7,7
1625745000,112.06,112.09,112.05,112.09,112.059,10,7
1625745300,112.11,112.11,112.11,112.11,112.11,2,2
1625745600,113.72,114.0,112.11,112.5,112.882,107,43
1625745900,112.56,112.56,112.5,112.5,112.509,20,7
1625746200,112.11,112.11,111.5,111.69,111.938,52,14
1625746500,111.66,111.66,111.66,111.66,111.66,2,1
1625746800,112.0,112.0,112.0,112.0,112.0,8,1
1625747100,112.96,113.0,112.5,113.0,112.823,35,12
1625747400,113.15,113.15,112.85,112.85,112.964,7,5
1625747700,112.9,112.9,112.85,112.85,112.892,6,3
1625748000,112.85,112.85,112.49,112.49,112.803,14,5
1625748300,111.87,112.01,111.86,112.0,111.924,8,5
1625748600,112.02,112.02,112.0,112.0,112.001,40,10
1625748900,112.0,112.0,111.51,111.51,111.812,8,6
1625749200,111.75,111.98,111.51,111.98,111.721,41,16
1625749500,112.5,112.5,112.5,112.5,112.5,5,2
1625749800,112.0,112.5,111.9,111.9,112.101,3,3
1625750100,111.9,111.9,111.9,111.9,111.9,2,2
1625750400,112.5,112.85,112.5,112.85,112.729,7,3
1625750700,112.7,112.7,112.6,112.6,112.655,8,2
1625751000,112.57,114.57,110.82,114.25,112.894,2411,810
1625751300,114.0,114.79,113.34,113.54,114.022,545,279
1625751600,113.73,114.38,112.73,113.18,113.455,628,289
1625751900,113.3,113.36,111.67,112.27,112.265,571,343
1625752200,112.26,113.99,111.95,113.59,113.221,629,319
1625752500,113.73,115.4,113.41,115.24,114.279,562,253
1625752800,115.05,115.74,114.56,115.39,115.064,461,204
1625753100,115.46,115.75,114.66,114.66,115.306,479,185
1625753400,114.78,116.62,114.65,115.88,115.791,889,191
1625753700,115.96,116.74,115.3,115.35,116.142,203,100
1625754000,115.51,115.83,114.35,114.81,114.949,231,131
1625754300,115.5,116.9,115.06,116.8,116.078,215,102
1625754600,116.7,116.9,115.65,115.89,116.316,154,95
1625754900,116.21,116.44,115.11,115.5,115.7,260,188
1625755200,115.5,116.25,114.85,115.79,115.491,85,56
1625755500,116.09,116.16,115.12,115.2,115.663,53,42
1625755800,115.38,116.53,115.15,116.53,115.918,95,65
1625756100,115.86,116.3,115.44,115.66,115.99,162,44
1625756400,115.8,116.0,115.12,115.99,115.68,109,56
1625756700,116.0,117.5,115.9,117.25,116.842,247,114
1625757000,117.3,117.8,116.79,116.99,117.229,410,122
1625757300,117.0,117.16,116.4,116.85,116.71,90,36
1625757600,116.88,117.01,116.25,116.43,116.631,65,42
1625757900,116.39,117.6,116.39,117.29,117.119,552,138
1625758200,117.19,117.29,116.45,117.01,116.917,67,44
1625758500,117.13,117.81,116.65,117.69,117.364,111,52
1625758800,117.69,117.79,117.16,117.25,117.536,80,50
1625759100,117.5,118.46,117.31,118.15,117.972,273,142
1625759400,118.25,119.18,117.95,119.0,118.744,416,209
1625759700,119.1,119.19,118.07,118.8,118.596,234,116
1625760000,118.8,118.97,118.27,118.7,118.624,213,101
1625760300,118.88,119.45,118.25,118.31,118.812,184,100
1625760600,118.5,118.54,117.92,118.16,118.243,63,35
1625760900,118.1,118.31,117.3,118.07,117.723,186,111
1625761200,118.14,118.55,117.83,117.83,118.183,68,43
1625761500,117.84,118.6,117.69,118.25,118.25,79,42
1625761800,118.58,118.85,118.2,118.37,118.478,177,73
1625762100,118.43,119.2,118.42,118.8,118.812,130,54
1625762400,119.04,119.04,118.3,118.96,118.629,95,54
1625762700,118.99,118.99,118.21,118.57,118.515,80,47
1625763000,118.5,118.85,118.2,118.69,118.535,82,44
1625763300,118.77,119.0,118.08,118.28,118.49,169,96
1625763600,118.25,119.1,118.01,118.82,118.484,689,267
1625763900,118.65,119.43,118.4,119.43,118.891,262,136
1625764200,119.4,119.45,118.57,119.0,118.989,261,130
1625764500,119.18,119.39,118.8,119.35,119.132,209,124
1625764800,119.35,119.7,119.17,119.68,119.462,341,143
1625765100,119.7,120.18,119.65,119.88,119.902,494,234
1625765400,120.16,120.42,119.82,120.28,120.139,289,134
1625765700,120.3,121.68,120.2,121.08,120.921,517,273
1625766000,121.02,121.33,120.5,120.69,120.814,252,181
1625766300,120.98,121.12,120.5,120.99,120.834,182,102
1625766600,120.67,120.83,120.24,120.35,120.482,166,111
1625766900,120.28,120.69,120.05,120.42,120.357,283,116
1625767200,120.5,120.75,119.92,120.5,120.256,198,123
1625767500,120.53,120.63,119.57,119.57,120.104,195,80
1625767800,119.53,120.31,119.53,120.31,119.934,87,59
1625768100,120.3,120.34,119.28,119.51,119.646,139,85
1625768400,119.48,120.01,119.3,119.4,119.575,167,82
1625768700,119.63,119.94,119.51,119.85,119.727,186,78
1625769000,119.63,119.85,119.37,119.67,119.582,147,86
1625769300,119.57,119.93,119.4,119.93,119.756,251,98
1625769600,119.71,120.01,119.57,119.84,119.865,248,116
1625769900,119.83,120.03,119.43,119.75,119.787,113,56
1625770200,119.65,119.97,119.5,119.9,119.705,101,55
1625770500,119.99,120.0,119.72,119.83,119.885,101,52
1625770800,119.83,120.04,119.42,119.71,119.889,205,57
1625771100,119.71,119.71,119.38,119.38,119.497,87,40
1625771400,119.49,119.8,119.05,119.13,119.531,119,53
1625771700,119.0,119.15,118.65,119.0,118.872,173,74
1625772000,119.3,119.37,118.53,118.62,119.054,181,95
1625772300,118.58,118.58,118.06,118.2,118.256,310,161
1625772600,118.25,118.39,118.1,118.19,118.249,213,141
1625772900,118.2,118.36,118.08,118.23,118.246,203,133
1625773200,118.33,118.48,117.78,118.43,118.094,272,137
1625773500,118.21,118.76,118.08,118.76,118.335,162,125
1625773800,118.54,119.67,118.54,119.44,119.146,266,166
1625774100,119.45,119.77,119.39,119.67,119.635,576,438
1625774400,119.75,119.99,119.0,119.01,119.726,309,13
1625774700,119.01,119.01,119.01,119.01,119.01,2,1
1625775000,119.3,119.5,119.3,119.5,119.47,6,2
1625775300,119.3,119.3,119.3,119.3,119.3,1,1
1625775600,119.39,119.4,119.39,119.4,119.394,2,2
1625775900,119.5,119.78,119.5,119.75,119.713,4,3
1625776200,119.75,119.75,119.75,119.75,119.75,0,0
1625776500,119.75,119.75,119.75,119.75,119.75,0,0
1625776800,119.75,119.75,119.75,119.75,119.75,0,0
1625777100,119.4,119.78,119.4,119.78,119.552,8,4
1625777400,119.78,119.78,119.78,119.78,119.78,0,0
1625777700,119.7,119.8,119.7,119.8,119.727,8,3
1625778000,119.8,119.8,119.8,119.8,119.8,0,0
1625778300,119.8,119.8,119.8,119.8,119.8,1,1
1625778600,119.8,119.8,119.8,119.8,119.8,0,0
1625778900,119.8,119.8,119.8,119.8,119.8,0,0
1625779200,119.8,119.8,119.8,119.8,119.8,0,0
1625779500,119.8,119.8,119.8,119.8,119.8,0,0
1625779800,119.8,119.8,119.8,119.8,119.8,0,0
1625780100,119.8,119.8,119.8,119.8,119.8,0,0
1625780400,119.8,119.8,119.8,119.8,119.8,0,0
1625780700,119.8,119.8,119.8,119.8,119.8,0,0
1625781000,119.9,119.94,119.76,119.76,119.867,3,3
1625781300,119.76,119.76,119.76,119.76,119.76,0,0
1625781600,119.76,119.76,119.76,119.76,119.76,0,0
1625781900,119.76,119.76,119.76,119.76,119.76,0,0
1625782200,119.98,119.98,119.98,119.98,119.98,2,2
1625782500,119.98,119.98,119.98,119.98,119.98,0,0
1625782800,119.98,119.98,119.98,119.98,119.98,0,0
1625783100,119.98,119.98,119.98,119.98,119.98,0,0
1625783400,119.98,119.98,119.98,119.98,119.98,0,0
1625783700,119.98,119.98,119.98,119.98,119.98,0,0
1625784000,119.98,119.98,119.98,119.98,119.98,0,0
1625784300,119.75,119.9,119.75,119.9,119.793,7,2
1625784600,120.0,121.51,120.0,121.51,121.024,34,18
1625784900,121.51,122.62,121.49,122.62,122.027,69,31
1625785200,122.43,122.5,121.49,121.74,121.792,59,12
1625785500,121.02,121.02,121.02,121.02,121.02,2,1
1625785800,121.02,121.02,121.02,121.02,121.02,0,0
1625786100,121.2,121.2,121.07,121.07,121.128,2,2
1625786400,121.3,121.3,121.3,121.3,121.3,10,1
1625786700,121.52,121.52,121.41,121.42,121.482,12,6
1625787000,121.38,121.38,121.38,121.38,121.38,1,1
1625787300,121.5,121.68,121.5,121.68,121.593,3,3
1625787600,121.69,121.9,121.51,121.69,121.789,16,6
1625787900,121.69,121.69,121.62,121.62,121.655,2,2
1625788200,121.78,121.8,121.37,121.37,121.586,20,7
1625788500,121.37,121.9,121.33,121.33,121.467,12,5
1625818200,121.94,121.94,121.94,121.94,121.94,1,1
1625818500,121.94,121.94,121.94,121.94,121.94,0,0
1625818800,121.94,121.94,121.94,121.94,121.94,0,0
