date,open,high,low,close,average,volume,count
20210702,22.33,22.63,22.13,22.55,22.439,198868,46281
20210706,22.57,22.69,21.75,21.92,21.969,241023,56075
20210707,22.13,22.29,21.75,21.82,21.946,239934,55526
20210708,21.6,21.9,21.18,21.68,21.594,235931,71292
20210709,21.98,22.6,21.83,22.5,22.4,157370,40189
20210712,22.5,22.5,22.0,22.26,22.26,161336,43628
20210713,22.45,22.5,22.12,22.37,22.378,129933,35681
20210714,22.36,22.94,22.36,22.75,22.731,198692,53796
20210715,22.8,22.92,22.34,22.54,22.611,163284,49877
20210716,22.72,22.74,22.06,22.12,22.318,219820,64767
20210719,22.1,22.1,21.13,21.4,21.318,249930,72202
20210720,21.4,21.72,20.86,21.56,21.475,193911,56800
20210721,21.71,22.17,21.44,22.15,21.912,177684,50995
20210722,22.07,22.3,21.64,21.95,21.849,127862,38951
20210723,21.96,22.18,21.75,21.75,21.927,177113,47855
20210726,21.85,22.64,21.85,22.6,22.465,156012,45835
20210727,22.3,22.41,21.95,22.0,22.182,167528,52669
20210728,22.29,23.03,22.22,22.99,22.765,232704,65285
20210729,22.87,23.25,22.53,22.6,22.823,266223,73650
20210730,22.71,22.71,20.96,21.15,21.496,391163,97499
20210802,21.15,21.76,21.01,21.3,21.477,252428,63719
20210803,21.21,21.77,20.89,21.6,21.439,335675,88659
20210804,21.75,21.89,21.48,21.75,21.676,287743,87983
20210805,21.6,21.6,20.8,20.99,21.104,307365,83293
20210806,21.05,21.28,20.91,20.94,21.074,221840,55878
20210809,20.94,20.98,20.44,20.95,20.722,153720,48134
20210810,20.94,21.36,20.84,21.3,21.186,171347,42693
20210811,21.39,21.39,20.94,21.0,21.096,135390,39993
20210812,21.0,21.14,20.83,20.84,20.94,165594,42580
20210813,20.99,21.04,20.53,20.65,20.72,140463,36940
20210816,20.5,20.71,20.12,20.5,20.504,200027,53063
20210817,20.27,20.73,20.03,20.25,20.292,251873,69135
20210818,20.1,20.1,19.0,19.19,19.568,383228,80430
20210819,19.1,19.1,17.99,18.16,18.171,559043,141652
20210820,18.06,18.33,17.82,18.22,18.191,296722,65253
20210823,18.24,18.49,17.87,17.97,17.995,273465,70145
20210824,17.97,19.2,17.97,19.0,19.009,410188,89314
20210825,18.85,19.35,18.72,19.12,18.988,169183,47172
20210826,19.12,19.12,18.65,18.7,18.86,141416,38312
20210827,18.8,19.66,18.61,19.45,19.329,148015,41055
20210830,19.43,19.8,19.18,19.35,19.373,150274,37454
20210831,19.29,19.35,18.92,19.0,19.058,203185,48545
20210901,19.07,19.25,18.57,19.06,19.003,210162,53884
20210902,19.0,19.36,18.92,19.1,19.107,192162,60263
20210903,19.26,19.55,19.0,19.07,19.145,200491,53222
20210907,19.15,19.15,18.7,18.76,18.846,135955,34936
