date,open,high,low,close,average,volume,count
1662021300,14.91,14.91,14.91,14.91,14.91,1,1
1662021600,14.91,14.91,14.91,14.91,14.91,0,0
1662021900,14.91,14.91,14.91,14.91,14.91,0,0
1662022200,14.91,14.91,14.91,14.91,14.91,0,0
1662022500,14.91,14.91,14.91,14.91,14.91,0,0
1662022800,15.07,15.19,15.07,15.19,15.11368,8,4
1662023100,15.19,15.19,15.19,15.19,15.19,0,0
1662023400,15.19,15.19,15.19,15.19,15.19,0,0
1662023700,15.19,15.19,15.19,15.19,15.19,0,0
1662024000,14.95,14.95,14.91,14.91,14.914,10,4
1662024300,14.91,14.91,14.91,14.91,14.91,0,0
1662024600,14.91,14.91,14.91,14.91,14.91,0,0
1662024900,14.91,14.91,14.91,14.91,14.91,0,0
1662025200,14.91,14.91,14.91,14.91,14.91,0,0
1662025500,14.95,14.95,14.95,14.95,14.95,1,1
1662025800,14.95,14.95,14.95,14.95,14.95,0,0
1662026100,14.95,14.95,14.95,14.95,14.95,0,0
1662026400,14.95,14.95,14.95,14.95,14.95,0,0
1662026700,14.95,14.95,14.95,14.95,14.95,0,0
1662027000,14.95,14.95,14.95,14.95,14.95,0,0
1662027300,14.95,14.95,14.95,14.95,14.95,0,0
1662027600,14.95,14.95,14.95,14.95,14.95,0,0
1662027900,14.95,14.95,14.95,14.95,14.95,0,0
1662028200,14.95,14.95,14.95,14.95,14.95,0,0
1662028500,14.95,14.95,14.95,14.95,14.95,0,0
1662028800,14.98,14.98,14.97,14.97,14.97313,3,3
1662029100,14.97,14.97,14.97,14.97,14.97,0,0
1662029400,14.97,14.97,14.97,14.97,14.97,0,0
1662029700,14.97,14.97,14.97,14.97,14.97,0,0
1662030000,14.97,14.97,14.97,14.97,14.97,1,1
1662030300,14.97,14.97,14.97,14.97,14.97,0,0
1662030600,15.15,15.24,15.15,15.24,15.21974,4,4
1662030900,15.24,15.24,15.24,15.24,15.24,0,0
1662031200,15.24,15.24,15.24,15.24,15.24,0,0
1662031500,15.24,15.24,15.24,15.24,15.24,0,0
1662031800,15.24,15.24,15.24,15.24,15.24,0,0
1662032100,15.24,15.24,15.24,15.24,15.24,0,0
1662032400,15.24,15.24,15.24,15.24,15.24,0,0
1662032700,15.24,15.24,15.24,15.24,15.24,0,0
1662033000,15.24,15.24,15.24,15.24,15.24,0,0
1662033300,15.1,15.15,15.1,15.15,15.125,2,2
1662033600,14.9702,15.1599,14.94,14.94,15.04778,22,4
1662033900,14.94,14.94,14.94,14.94,14.94,0,0
1662034200,14.94,14.94,14.94,14.94,14.94,0,0
1662034500,15.02,15.02,15.01,15.01,15.01143,7,4
1662034800,15.07,15.07,15.07,15.07,15.07,1,1
1662035100,15.07,15.07,15.07,15.07,15.07,0,0
1662035400,15.07,15.07,15.07,15.07,15.07,0,0
1662035700,15.06,15.06,15.06,15.06,15.06,1,1
1662036000,15.06,15.06,15.06,15.06,15.06,0,0
1662036300,15.03,15.03,15.01,15.01,15.01583,12,7
1662036600,14.94,14.94,14.94,14.94,14.94,3,1
1662036900,14.96,14.96,14.96,14.96,14.96,4,4
1662037200,15.0,15.03,15.0,15.03,15.02137,13,8
1662037500,15.08,15.08,15.08,15.08,15.08,1,1
1662037800,15.13,15.13,15.13,15.13,15.13,1,1
1662038100,15.13,15.13,15.13,15.13,15.13,0,0
1662038400,15.13,15.13,15.13,15.13,15.13,0,0
1662038700,15.13,15.13,15.13,15.13,15.13,0,0
1662039000,15.13,15.34,14.98,15.045,15.13428,720,192
1662039300,15.025,15.2,14.96,15.18,15.04898,295,178
1662039600,15.2,15.35,15.161,15.3199,15.29657,596,274
1662039900,15.3,15.32,15.14,15.25,15.23457,511,213
1662040200,15.25,15.25,15.05,15.13,15.14324,205,107
1662040500,15.12,15.12,14.9,15.055,15.00793,836,447
1662040800,15.055,15.07,14.94,15.04,15.00269,176,79
1662041100,15.06,15.06,14.96,15.0105,15.00037,180,100
1662041400,15.0,15.0,14.9,14.93,14.95112,500,176
1662041700,14.91,15.04,14.88,15.02,14.96792,380,152
1662042000,15.02,15.2411,15.01,15.23,15.13862,438,174
1662042300,15.23,15.28,15.09,15.1684,15.20868,494,209
1662042600,15.155,15.185,15.04,15.06,15.1012,197,94
1662042900,15.03,15.22,15.01,15.13,15.10507,435,162
1662043200,15.13,15.15,15.05,15.05,15.09934,242,119
1662043500,15.0584,15.083,15.01,15.04,15.04174,164,102
1662043800,15.07,15.1393,15.07,15.08,15.10488,177,93
1662044100,15.08,15.1317,15.04,15.05,15.08849,158,97
1662044400,15.04,15.15,15.02,15.14,15.06893,192,119
1662044700,15.15,15.24,15.14,15.22,15.18289,326,160
1662045000,15.23,15.31,15.22,15.25,15.26369,534,220
1662045300,15.25,15.251,15.14,15.15,15.19093,197,86
1662045600,15.1558,15.2,15.11,15.13,15.1487,361,162
1662045900,15.105,15.115,15.08,15.1,15.10041,203,122
1662046200,15.09,15.17,15.09,15.14,15.13561,224,147
1662046500,15.14,15.185,15.0996,15.1,15.14744,106,81
1662046800,15.1,15.1,15.02,15.02,15.04151,169,83
1662047100,15.03,15.045,14.98,14.99,15.01137,228,112
1662047400,14.98,15.0099,14.9,15.009,14.94453,350,185
1662047700,15.01,15.05,14.99,15.036,15.02713,115,57
1662048000,15.04,15.13,15.04,15.13,15.09689,132,75
1662048300,15.135,15.1441,15.0609,15.13,15.1122,123,71
1662048600,15.12,15.12,15.07,15.1,15.09277,94,57
1662048900,15.09,15.2,15.09,15.17,15.15362,243,118
1662049200,15.18,15.1885,15.115,15.17,15.15149,172,90
1662049500,15.17,15.23,15.1434,15.2099,15.19306,306,116
1662049800,15.2,15.2,15.15,15.16,15.17624,185,98
1662050100,15.16,15.16,15.0983,15.1,15.1142,119,84
1662050400,15.1099,15.1127,15.09,15.09,15.10219,92,54
1662050700,15.095,15.12,15.075,15.12,15.09687,80,41
1662051000,15.12,15.175,15.11,15.175,15.13286,145,94
1662051300,15.19,15.2,15.11,15.135,15.15942,195,97
1662051600,15.1301,15.14,15.09,15.12,15.12036,212,86
1662051900,15.105,15.11,15.055,15.1,15.08722,154,72
1662052200,15.11,15.19,15.1,15.19,15.13668,244,137
1662052500,15.1821,15.23,15.162,15.17,15.19591,300,96
1662052800,15.16,15.185,15.15,15.1806,15.16551,108,64
1662053100,15.18,15.24,15.16,15.24,15.20054,212,87
1662053400,15.245,15.36,15.245,15.35,15.3021,665,251
1662053700,15.36,15.44,15.29,15.435,15.34536,1134,378
1662054000,15.4399,15.46,15.34,15.4097,15.41365,967,327
1662054300,15.4001,15.4001,15.26,15.29,15.31415,223,89
1662054600,15.3,15.34,15.29,15.315,15.32728,314,131
1662054900,15.3067,15.385,15.3067,15.365,15.34534,374,149
1662055200,15.365,15.37,15.29,15.29,15.326,212,100
1662055500,15.295,15.4099,15.28,15.29,15.32548,1157,315
1662055800,15.285,15.285,15.2091,15.24,15.24055,136,89
1662056100,15.25,15.32,15.25,15.3,15.29137,292,182
1662056400,15.3,15.32,15.25,15.3,15.28918,329,184
1662056700,15.3,15.3,15.24,15.2513,15.28714,61,40
1662057000,15.25,15.28,15.245,15.27,15.26385,72,58
