date,open,high,low,close,average,volume,count
1629817200,15.52,15.52,15.51,15.52,15.517,4,3
1629817201,15.52,15.52,15.51,15.52,15.52,0,0
1629817202,15.51,15.51,15.5,15.51,15.501,162,54
1629817203,15.51,15.51,15.49,15.5,15.496,37,21
1629817204,15.5,15.5,15.49,15.5,15.5,0,0
1629817205,15.5,15.5,15.49,15.5,15.5,0,0
1629817206,15.5,15.5,15.49,15.5,15.5,0,0
1629817207,15.5,15.5,15.49,15.5,15.5,0,0
1629817208,15.5,15.5,15.49,15.5,15.5,0,0
1629817209,15.5,15.5,15.49,15.5,15.5,0,0
1629817210,15.5,15.5,15.49,15.5,15.5,0,0
1629817211,15.5,15.5,15.49,15.5,15.5,0,0
1629817212,15.5,15.5,15.49,15.5,15.5,0,0
1629817213,15.5,15.5,15.49,15.5,15.5,0,0
1629817214,15.49,15.49,15.49,15.49,15.49,1,1
1629817215,15.49,15.49,15.49,15.49,15.49,0,0
1629817216,15.49,15.49,15.47,15.47,15.485,31,16
1629817217,15.47,15.47,15.47,15.47,15.47,0,0
1629817218,15.47,15.47,15.47,15.47,15.47,0,0
1629817219,15.47,15.47,15.47,15.47,15.47,0,0
1629817220,15.48,15.48,15.48,15.48,15.48,1,1
1629817221,15.48,15.48,15.48,15.48,15.48,0,0
1629817222,15.48,15.48,15.48,15.48,15.48,0,0
1629817223,15.48,15.48,15.48,15.48,15.48,0,0
1629817224,15.47,15.47,15.47,15.47,15.47,8,5
1629817225,15.47,15.47,15.47,15.47,15.47,0,0
1629817226,15.47,15.47,15.47,15.47,15.47,0,0
1629817227,15.46,15.46,15.46,15.46,15.46,1,1
1629817228,15.46,15.46,15.46,15.46,15.46,0,0
1629817229,15.46,15.46,15.46,15.46,15.46,0,0
1629817230,15.46,15.46,15.46,15.46,15.46,0,0
1629817231,15.47,15.47,15.46,15.46,15.469,48,31
1629817232,15.46,15.47,15.46,15.46,15.46,0,0
1629817233,15.46,15.47,15.46,15.46,15.46,0,0
1629817234,15.46,15.47,15.46,15.46,15.46,0,0
1629817235,15.46,15.47,15.46,15.46,15.46,0,0
1629817236,15.46,15.47,15.46,15.46,15.46,0,0
1629817237,15.46,15.47,15.46,15.46,15.465,13,2
1629817238,15.46,15.47,15.46,15.46,15.46,0,0
1629817239,15.46,15.47,15.46,15.46,15.46,0,0
1629817240,15.46,15.47,15.46,15.46,15.46,0,0
1629817241,15.46,15.47,15.46,15.46,15.46,0,0
1629817242,15.46,15.47,15.46,15.46,15.46,0,0
1629817243,15.46,15.47,15.46,15.46,15.46,0,0
1629817244,15.46,15.47,15.46,15.46,15.46,0,0
1629817245,15.46,15.48,15.46,15.48,15.474,54,36
1629817246,15.49,15.49,15.48,15.49,15.487,5,4
1629817247,15.49,15.49,15.48,15.49,15.485,2,2
1629817248,15.49,15.49,15.48,15.49,15.49,0,0
1629817249,15.48,15.48,15.48,15.48,15.48,1,1
1629817250,15.48,15.48,15.48,15.48,15.48,0,0
1629817251,15.48,15.48,15.48,15.48,15.48,0,0
1629817252,15.48,15.48,15.48,15.48,15.48,0,0
1629817253,15.49,15.49,15.48,15.49,15.485,1,1
1629817254,15.49,15.49,15.48,15.49,15.49,0,0
1629817255,15.48,15.48,15.47,15.47,15.475,44,30
1629817256,15.46,15.47,15.45,15.46,15.46,54,33
1629817257,15.46,15.46,15.45,15.46,15.455,6,1
1629817258,15.45,15.45,15.45,15.45,15.45,2,1
1629817259,15.45,15.46,15.45,15.45,15.453,4,2
1629817260,15.45,15.45,15.45,15.45,15.45,5,2
1629817261,15.46,15.46,15.45,15.45,15.456,21,17
1629817262,15.45,15.45,15.45,15.45,15.45,2,1
1629817263,15.46,15.46,15.45,15.46,15.455,1,1
1629817264,15.45,15.46,15.45,15.46,15.453,2,2
1629817265,15.46,15.46,15.45,15.46,15.46,0,0
1629817266,15.46,15.46,15.45,15.46,15.46,0,0
1629817267,15.46,15.46,15.45,15.46,15.46,0,0
1629817268,15.46,15.46,15.45,15.46,15.46,0,0
1629817269,15.46,15.46,15.45,15.46,15.46,0,0
1629817270,15.46,15.46,15.45,15.46,15.46,0,0
1629817271,15.46,15.46,15.45,15.46,15.46,0,0
1629817272,15.46,15.46,15.45,15.46,15.46,0,0
1629817273,15.46,15.46,15.45,15.46,15.455,1,1
1629817274,15.46,15.46,15.45,15.46,15.455,7,5
1629817275,15.46,15.46,15.45,15.46,15.455,5,1
1629817276,15.46,15.46,15.45,15.46,15.455,5,3
1629817277,15.46,15.46,15.45,15.46,15.46,0,0
1629817278,15.46,15.46,15.45,15.46,15.455,1,1
1629817279,15.46,15.46,15.45,15.46,15.46,0,0
1629817280,15.46,15.46,15.46,15.46,15.46,1,1
1629817281,15.46,15.46,15.45,15.46,15.455,2,2
1629817282,15.46,15.46,15.45,15.46,15.46,0,0
1629817283,15.46,15.46,15.45,15.46,15.46,0,0
1629817284,15.46,15.46,15.45,15.46,15.46,1,1
1629817285,15.46,15.46,15.45,15.46,15.46,0,0
1629817286,15.46,15.46,15.45,15.46,15.455,8,3
1629817287,15.46,15.46,15.45,15.46,15.46,0,0
1629817288,15.46,15.46,15.45,15.46,15.46,0,0
1629817289,15.46,15.46,15.45,15.46,15.46,0,0
1629817290,15.46,15.46,15.45,15.46,15.46,0,0
1629817291,15.46,15.46,15.45,15.46,15.455,1,1
1629817292,15.46,15.46,15.45,15.46,15.46,0,0
1629817293,15.46,15.46,15.45,15.46,15.46,0,0
1629817294,15.46,15.46,15.45,15.46,15.46,0,0
1629817295,15.46,15.48,15.46,15.47,15.466,97,54
1629817296,15.47,15.47,15.47,15.47,15.47,8,8
1629817297,15.47,15.47,15.47,15.47,15.47,0,0
1629817298,15.47,15.47,15.47,15.47,15.47,0,0
1629817299,15.47,15.47,15.47,15.47,15.47,0,0
1629817300,15.47,15.47,15.47,15.47,15.47,0,0
1629817301,15.48,15.48,15.47,15.48,15.475,6,1
1629817302,15.48,15.48,15.47,15.48,15.48,0,0
1629817303,15.48,15.48,15.47,15.48,15.479,24,14
1629817304,15.48,15.48,15.48,15.48,15.48,12,8
1629817305,15.48,15.49,15.47,15.49,15.481,8,4
1629817306,15.49,15.49,15.48,15.49,15.49,0,0
1629817307,15.49,15.49,15.48,15.49,15.49,0,0
1629817308,15.49,15.49,15.48,15.49,15.49,0,0
1629817309,15.48,15.48,15.48,15.48,15.48,1,1
1629817310,15.48,15.48,15.48,15.48,15.48,0,0
1629817311,15.49,15.49,15.48,15.49,15.487,10,2
1629817312,15.49,15.49,15.48,15.49,15.49,0,0
1629817313,15.49,15.49,15.48,15.49,15.49,0,0
1629817314,15.49,15.49,15.48,15.49,15.49,0,0
1629817315,15.49,15.49,15.48,15.49,15.49,0,0
1629817316,15.49,15.49,15.48,15.48,15.489,92,57
1629817317,15.48,15.48,15.48,15.48,15.48,0,0
1629817318,15.48,15.48,15.48,15.48,15.48,0,0
1629817319,15.48,15.48,15.48,15.48,15.48,1,1
1629817320,15.48,15.48,15.48,15.48,15.48,0,0
1629817321,15.48,15.48,15.48,15.48,15.48,21,11
1629817322,15.48,15.48,15.48,15.48,15.48,0,0
1629817323,15.48,15.48,15.48,15.48,15.48,0,0
1629817324,15.48,15.48,15.48,15.48,15.48,0,0
1629817325,15.47,15.48,15.47,15.47,15.471,3,1
1629817326,15.47,15.48,15.47,15.47,15.47,0,0
1629817327,15.47,15.48,15.47,15.47,15.47,0,0
1629817328,15.48,15.48,15.47,15.48,15.475,1,1
1629817329,15.48,15.48,15.47,15.48,15.48,0,0
1629817330,15.48,15.48,15.47,15.48,15.475,2,1
1629817331,15.48,15.48,15.47,15.48,15.48,0,0
1629817332,15.48,15.48,15.47,15.48,15.48,0,0
1629817333,15.48,15.48,15.47,15.48,15.48,0,0
1629817334,15.48,15.48,15.47,15.48,15.48,0,0
1629817335,15.48,15.48,15.47,15.48,15.48,0,0
1629817336,15.48,15.48,15.47,15.48,15.48,0,0
1629817337,15.48,15.48,15.47,15.48,15.48,0,0
1629817338,15.48,15.48,15.47,15.48,15.48,0,0
1629817339,15.47,15.47,15.47,15.47,15.47,1,1
1629817340,15.47,15.47,15.46,15.46,15.47,24,16
1629817341,15.46,15.46,15.46,15.46,15.46,0,0
1629817342,15.46,15.46,15.46,15.46,15.46,0,0
1629817343,15.46,15.46,15.46,15.46,15.46,0,0
1629817344,15.46,15.46,15.46,15.46,15.46,0,0
1629817345,15.46,15.46,15.46,15.46,15.46,0,0
1629817346,15.46,15.46,15.46,15.46,15.46,1,1
1629817347,15.46,15.46,15.46,15.46,15.46,0,0
1629817348,15.46,15.46,15.46,15.46,15.46,0,0
1629817349,15.46,15.46,15.46,15.46,15.46,0,0
1629817350,15.46,15.48,15.46,15.47,15.47,63,28
1629817351,15.47,15.47,15.47,15.47,15.47,0,0
1629817352,15.47,15.47,15.47,15.47,15.47,0,0
1629817353,15.47,15.47,15.47,15.47,15.47,11,8
1629817354,15.46,15.47,15.46,15.47,15.46,58,37
1629817355,15.46,15.47,15.46,15.47,15.467,3,3
1629817356,15.47,15.47,15.47,15.47,15.47,6,5
1629817357,15.47,15.47,15.47,15.47,15.47,0,0
1629817358,15.47,15.47,15.47,15.47,15.47,0,0
1629817359,15.47,15.47,15.47,15.47,15.47,0,0
1629817360,15.47,15.47,15.47,15.47,15.47,0,0
1629817361,15.47,15.47,15.47,15.47,15.47,0,0
1629817362,15.47,15.47,15.47,15.47,15.47,0,0
1629817363,15.47,15.47,15.47,15.47,15.47,0,0
1629817364,15.47,15.47,15.47,15.47,15.47,0,0
1629817365,15.47,15.47,15.47,15.47,15.47,0,0
1629817366,15.47,15.47,15.47,15.47,15.47,0,0
1629817367,15.48,15.48,15.47,15.48,15.479,4,4
1629817368,15.48,15.48,15.48,15.48,15.48,0,0
1629817369,15.48,15.48,15.48,15.48,15.48,0,0
1629817370,15.48,15.48,15.48,15.48,15.48,0,0
1629817371,15.48,15.48,15.48,15.48,15.48,0,0
1629817372,15.47,15.48,15.47,15.47,15.47,1,1
1629817373,15.47,15.48,15.47,15.47,15.47,0,0
1629817374,15.47,15.48,15.47,15.47,15.47,0,0
1629817375,15.48,15.48,15.47,15.48,15.475,8,3
1629817376,15.48,15.49,15.47,15.49,15.48,18,15
1629817377,15.49,15.49,15.49,15.49,15.49,0,0
1629817378,15.49,15.49,15.49,15.49,15.49,0,0
1629817379,15.49,15.49,15.49,15.49,15.49,0,0
1629817380,15.49,15.49,15.49,15.49,15.49,0,0
1629817381,15.49,15.49,15.48,15.49,15.485,1,1
1629817382,15.49,15.49,15.48,15.49,15.49,0,0
1629817383,15.49,15.49,15.48,15.49,15.486,4,4
1629817384,15.49,15.49,15.48,15.48,15.482,7,3
1629817385,15.49,15.49,15.48,15.49,15.485,6,1
1629817386,15.49,15.49,15.48,15.49,15.49,0,0
1629817387,15.49,15.49,15.48,15.49,15.49,0,0
1629817388,15.49,15.49,15.48,15.49,15.49,0,0
1629817389,15.49,15.49,15.48,15.49,15.49,0,0
1629817390,15.49,15.49,15.48,15.49,15.485,1,1
1629817391,15.49,15.49,15.48,15.49,15.49,0,0
1629817392,15.49,15.49,15.48,15.49,15.49,0,0
1629817393,15.49,15.49,15.48,15.49,15.49,0,0
1629817394,15.49,15.5,15.49,15.5,15.49,25,16
1629817395,15.5,15.5,15.49,15.5,15.495,1,1
