date,open,high,low,close,average,volume,count
1624971600,46.22,46.22,46.22,46.22,46.22,0,0
1624971601,46.22,46.22,46.22,46.22,46.22,0,0
1624971602,46.22,46.22,46.22,46.22,46.22,0,0
1624971603,46.22,46.22,46.22,46.22,46.22,0,0
1624971604,46.22,46.22,46.22,46.22,46.22,0,0
1624971605,46.22,46.22,46.22,46.22,46.22,0,0
1624971606,46.22,46.22,46.22,46.22,46.22,0,0
1624971607,46.22,46.22,46.22,46.22,46.22,0,0
1624971608,46.22,46.22,46.22,46.22,46.22,0,0
1624971609,46.22,46.22,46.22,46.22,46.22,0,0
1624971610,46.22,46.22,46.22,46.22,46.22,0,0
1624971611,46.22,46.22,46.22,46.22,46.22,0,0
1624971612,46.22,46.22,46.22,46.22,46.22,0,0
1624971613,46.2,46.2,46.2,46.2,46.2,8,2
1624971614,46.2,46.2,46.2,46.2,46.2,0,0
1624971615,46.2,46.2,46.2,46.2,46.2,0,0
1624971616,46.2,46.2,46.2,46.2,46.2,0,0
1624971617,46.2,46.2,46.2,46.2,46.2,0,0
1624971618,46.2,46.2,46.2,46.2,46.2,0,0
1624971619,46.2,46.2,46.2,46.2,46.2,0,0
1624971620,46.2,46.2,46.2,46.2,46.2,0,0
1624971621,46.2,46.2,46.2,46.2,46.2,0,0
1624971622,46.2,46.2,46.2,46.2,46.2,0,0
1624971623,46.2,46.2,46.2,46.2,46.2,0,0
1624971624,46.2,46.2,46.2,46.2,46.2,0,0
1624971625,46.2,46.2,46.2,46.2,46.2,0,0
1624971626,46.2,46.2,46.2,46.2,46.2,0,0
1624971627,46.22,46.23,46.22,46.22,46.223,1,1
1624971628,46.22,46.23,46.22,46.22,46.22,0,0
1624971629,46.22,46.23,46.22,46.22,46.22,0,0
1624971630,46.22,46.23,46.22,46.22,46.22,0,0
1624971631,46.22,46.23,46.22,46.22,46.22,0,0
1624971632,46.22,46.23,46.22,46.22,46.22,0,0
1624971633,46.22,46.23,46.22,46.22,46.22,0,0
1624971634,46.22,46.23,46.22,46.22,46.22,0,0
1624971635,46.22,46.23,46.22,46.22,46.22,0,0
1624971636,46.22,46.23,46.22,46.22,46.22,0,0
