date,open,high,low,close,average,volume,count
1623762000,11.88,11.88,11.88,11.88,11.88,0,0
1623762001,11.88,11.88,11.88,11.88,11.88,0,0
1623762002,11.88,11.88,11.88,11.88,11.88,0,0
1623762003,11.88,11.88,11.88,11.88,11.88,0,0
1623762004,11.88,11.88,11.88,11.88,11.88,0,0
1623762005,11.88,11.88,11.88,11.88,11.88,0,0
1623762006,11.88,11.88,11.88,11.88,11.88,0,0
1623762007,11.88,11.88,11.88,11.88,11.88,1,1
1623762008,11.88,11.88,11.88,11.88,11.88,0,0
1623762009,11.88,11.88,11.88,11.88,11.88,0,0
1623762010,11.89,11.89,11.88,11.88,11.881,25,3
1623762011,11.88,11.88,11.88,11.88,11.88,139,11
1623762012,11.88,11.88,11.88,11.88,11.88,0,0
1623762013,11.88,11.88,11.88,11.88,11.88,0,0
1623762014,11.88,11.88,11.88,11.88,11.88,1,1
1623762015,11.88,11.88,11.88,11.88,11.88,0,0
1623762016,11.88,11.88,11.88,11.88,11.88,24,1
1623762017,11.88,11.88,11.88,11.88,11.88,2,1
1623762018,11.88,11.88,11.88,11.88,11.88,2,1
1623762019,11.88,11.88,11.87,11.88,11.879,14,4
1623762020,11.88,11.88,11.88,11.88,11.88,0,0
1623762021,11.88,11.88,11.88,11.88,11.88,0,0
1623762022,11.88,11.88,11.88,11.88,11.88,10,1
1623762023,11.88,11.88,11.88,11.88,11.88,0,0
1623762024,11.87,11.87,11.87,11.87,11.87,10,1
1623762025,11.88,11.88,11.88,11.88,11.88,10,7
1623762026,11.88,11.89,11.88,11.89,11.887,3,2
1623762027,11.88,11.88,11.88,11.88,11.88,4,1
1623762028,11.88,11.88,11.88,11.88,11.88,2,1
1623762029,11.88,11.88,11.88,11.88,11.88,0,0
1623762030,11.88,11.88,11.88,11.88,11.88,0,0
1623762031,11.89,11.89,11.89,11.89,11.89,10,1
1623762032,11.88,11.88,11.87,11.87,11.874,2,2
1623762033,11.88,11.88,11.88,11.88,11.88,1,1
1623762034,11.88,11.88,11.88,11.88,11.88,3,2
1623762035,11.88,11.88,11.88,11.88,11.88,0,0
1623762036,11.89,11.89,11.89,11.89,11.89,9,1
1623762037,11.88,11.88,11.88,11.88,11.88,1,1
1623762038,11.88,11.88,11.88,11.88,11.88,0,0
1623762039,11.88,11.88,11.88,11.88,11.88,0,0
1623762040,11.88,11.88,11.88,11.88,11.88,0,0
1623762041,11.88,11.88,11.88,11.88,11.88,0,0
1623762042,11.88,11.88,11.88,11.88,11.88,0,0
1623762043,11.88,11.88,11.88,11.88,11.88,0,0
1623762044,11.89,11.89,11.89,11.89,11.89,49,17
1623762045,11.89,11.89,11.89,11.89,11.89,0,0
1623762046,11.89,11.89,11.89,11.89,11.89,2,1
1623762047,11.89,11.89,11.89,11.89,11.89,0,0
1623762048,11.89,11.89,11.89,11.89,11.89,0,0
1623762049,11.89,11.89,11.89,11.89,11.89,14,5
1623762050,11.89,11.89,11.89,11.89,11.89,0,0
1623762051,11.89,11.89,11.89,11.89,11.89,1,1
1623762052,11.88,11.89,11.88,11.88,11.88,27,3
1623762053,11.89,11.9,11.89,11.89,11.893,25,6
1623762054,11.89,11.89,11.89,11.89,11.89,0,0
1623762055,11.89,11.89,11.89,11.89,11.89,0,0
1623762056,11.89,11.89,11.88,11.88,11.883,7,3
1623762057,11.88,11.88,11.88,11.88,11.88,0,0
1623762058,11.88,11.88,11.88,11.88,11.88,0,0
1623762059,11.89,11.89,11.88,11.88,11.883,3,3
1623762060,11.88,11.88,11.88,11.88,11.88,3,3
1623762061,11.89,11.89,11.89,11.89,11.89,3,2
1623762062,11.89,11.89,11.89,11.89,11.89,0,0
1623762063,11.88,11.88,11.88,11.88,11.88,2,1
1623762064,11.89,11.89,11.89,11.89,11.89,3,1
1623762065,11.89,11.89,11.89,11.89,11.89,0,0
1623762066,11.89,11.89,11.89,11.89,11.89,0,0
1623762067,11.88,11.9,11.88,11.88,11.887,25,8
1623762068,11.88,11.88,11.88,11.88,11.88,30,1
1623762069,11.89,11.89,11.89,11.89,11.89,14,2
1623762070,11.89,11.89,11.89,11.89,11.89,3,1
1623762071,11.88,11.88,11.88,11.88,11.88,3,1
1623762072,11.88,11.88,11.88,11.88,11.88,40,17
1623762073,11.88,11.88,11.88,11.88,11.88,3,1
1623762074,11.88,11.88,11.87,11.87,11.88,20,2
1623762075,11.87,11.87,11.87,11.87,11.87,0,0
1623762076,11.87,11.87,11.87,11.87,11.87,1,1
1623762077,11.87,11.87,11.87,11.87,11.87,0,0
1623762078,11.88,11.88,11.88,11.88,11.88,1,1
1623762079,11.88,11.88,11.88,11.88,11.88,8,1
1623762080,11.88,11.88,11.88,11.88,11.88,7,1
1623762081,11.88,11.88,11.88,11.88,11.88,0,0
1623762082,11.88,11.88,11.88,11.88,11.88,6,1
1623762083,11.87,11.88,11.87,11.88,11.875,2,2
1623762084,11.88,11.88,11.88,11.88,11.88,0,0
1623762085,11.88,11.88,11.88,11.88,11.88,1,1
1623762086,11.88,11.88,11.88,11.88,11.88,2,1
1623762087,11.88,11.88,11.88,11.88,11.88,0,0
1623762088,11.88,11.88,11.88,11.88,11.88,1,1
1623762089,11.88,11.88,11.88,11.88,11.88,2,1
1623762090,11.88,11.88,11.88,11.88,11.88,0,0
1623762091,11.88,11.88,11.88,11.88,11.88,0,0
1623762092,11.88,11.88,11.88,11.88,11.88,0,0
1623762093,11.88,11.88,11.88,11.88,11.88,0,0
1623762094,11.88,11.88,11.88,11.88,11.88,0,0
1623762095,11.88,11.88,11.88,11.88,11.88,5,1
1623762096,11.88,11.88,11.88,11.88,11.88,0,0
1623762097,11.87,11.87,11.87,11.87,11.87,5,3
1623762098,11.87,11.87,11.87,11.87,11.87,1,1
1623762099,11.87,11.87,11.87,11.87,11.87,1,1
1623762100,11.87,11.87,11.87,11.87,11.87,6,2
1623762101,11.87,11.87,11.87,11.87,11.87,5,2
1623762102,11.86,11.87,11.85,11.87,11.867,35,6
1623762103,11.87,11.87,11.87,11.87,11.87,0,0
1623762104,11.87,11.87,11.87,11.87,11.87,0,0
1623762105,11.87,11.87,11.87,11.87,11.87,0,0
1623762106,11.87,11.87,11.87,11.87,11.87,0,0
1623762107,11.86,11.86,11.86,11.86,11.86,1,1
1623762108,11.86,11.86,11.86,11.86,11.86,0,0
1623762109,11.86,11.86,11.86,11.86,11.86,1,1
1623762110,11.86,11.86,11.86,11.86,11.86,0,0
1623762111,11.86,11.86,11.86,11.86,11.86,0,0
1623762112,11.85,11.86,11.85,11.85,11.851,17,8
1623762113,11.85,11.85,11.85,11.85,11.85,0,0
1623762114,11.86,11.86,11.86,11.86,11.86,2,2
1623762115,11.87,11.87,11.87,11.87,11.87,10,2
1623762116,11.87,11.87,11.87,11.87,11.87,0,0
1623762117,11.87,11.87,11.87,11.87,11.87,0,0
1623762118,11.85,11.85,11.85,11.85,11.85,2,1
1623762119,11.85,11.85,11.85,11.85,11.85,0,0
1623762120,11.86,11.87,11.86,11.87,11.868,5,2
1623762121,11.87,11.87,11.87,11.87,11.87,40,5
