date,open,high,low,close,average,volume,count
1623744000,11.27,11.74,11.27,11.74,11.493,10,5
1623744005,11.74,11.74,11.74,11.74,11.74,0,0
1623744010,11.66,11.66,11.65,11.65,11.659,8,3
1623744015,11.65,11.65,11.65,11.65,11.65,0,0
1623744020,11.69,11.69,11.69,11.69,11.69,2,1
1623744025,11.62,11.62,11.62,11.62,11.62,1,1
1623744030,11.6,11.68,11.6,11.68,11.653,3,2
1623744035,11.62,11.62,11.62,11.62,11.62,3,1
1623744040,11.63,11.63,11.63,11.63,11.63,10,1
1623744045,11.63,11.63,11.63,11.63,11.63,0,0
1623744050,11.62,11.62,11.6,11.6,11.618,13,4
1623744055,11.6,11.6,11.6,11.6,11.6,0,0
1623744060,11.6,11.6,11.6,11.6,11.6,5,2
1623744065,11.59,11.59,11.59,11.59,11.59,3,1
1623744070,11.59,11.59,11.59,11.59,11.59,0,0
1623744075,11.59,11.59,11.59,11.59,11.59,0,0
1623744080,11.59,11.59,11.59,11.59,11.59,0,0
1623744085,11.59,11.59,11.59,11.59,11.59,6,2
1623744090,11.55,11.55,11.55,11.55,11.55,1,1
1623744095,11.58,11.59,11.58,11.59,11.588,19,4
1623744100,11.55,11.55,11.55,11.55,11.55,4,1
1623744105,11.59,11.59,11.59,11.59,11.59,15,4
1623744110,11.59,11.59,11.58,11.59,11.589,7,4
1623744115,11.57,11.57,11.55,11.55,11.557,6,4
1623744120,11.55,11.55,11.55,11.55,11.55,0,0
1623744125,11.55,11.55,11.55,11.55,11.55,0,0
1623744130,11.55,11.55,11.55,11.55,11.55,0,0
1623744135,11.55,11.55,11.55,11.55,11.55,0,0
1623744140,11.55,11.55,11.55,11.55,11.55,0,0
1623744145,11.55,11.55,11.55,11.55,11.55,0,0
1623744150,11.57,11.57,11.55,11.55,11.555,4,3
1623744155,11.57,11.57,11.57,11.57,11.57,1,1
1623744160,11.57,11.57,11.57,11.57,11.57,0,0
1623744165,11.57,11.57,11.57,11.57,11.57,0,0
1623744170,11.57,11.57,11.57,11.57,11.57,0,0
1623744175,11.55,11.55,11.55,11.55,11.55,7,3
1623744180,11.55,11.55,11.54,11.54,11.541,17,8
1623744185,11.55,11.55,11.4,11.4,11.481,30,11
1623744190,11.4,11.4,11.4,11.4,11.4,0,0
1623744195,11.4,11.4,11.35,11.4,11.389,9,4
1623744200,11.4,11.4,11.4,11.4,11.4,0,0
1623744205,11.39,11.39,11.39,11.39,11.39,1,1
1623744210,11.4,11.4,11.36,11.36,11.385,8,3
1623744215,11.39,11.45,11.39,11.45,11.419,11,3
1623744220,11.45,11.45,11.45,11.45,11.45,0,0
1623744225,11.45,11.45,11.45,11.45,11.45,0,0
1623744230,11.45,11.45,11.45,11.45,11.45,0,0
1623744235,11.45,11.45,11.45,11.45,11.45,0,0
1623744240,11.45,11.45,11.45,11.45,11.45,0,0
1623744245,11.4,11.4,11.4,11.4,11.4,1,1
1623744250,11.4,11.4,11.4,11.4,11.4,0,0
1623744255,11.45,11.48,11.45,11.48,11.46,6,2
1623744260,11.45,11.49,11.45,11.45,11.489,101,7
1623744265,11.45,11.45,11.45,11.45,11.45,0,0
1623744270,11.45,11.45,11.45,11.45,11.45,0,0
1623744275,11.53,11.54,11.53,11.54,11.538,5,2
1623744280,11.49,11.49,11.49,11.49,11.49,1,1
1623744285,11.49,11.49,11.49,11.49,11.49,0,0
1623744290,11.49,11.49,11.49,11.49,11.49,0,0
1623744295,11.53,11.54,11.53,11.54,11.539,15,5
1623744300,11.52,11.54,11.52,11.54,11.537,9,3
