date,open,high,low,close,average,volume,count
1623830400,11.4,11.49,11.39,11.46,11.44,28,15
1623830460,11.38,11.38,11.3,11.3,11.371,39,10
1623830520,11.35,11.35,11.3,11.35,11.337,39,9
1623830580,11.34,11.35,11.32,11.32,11.335,29,11
1623830640,11.32,11.32,11.3,11.31,11.306,31,8
1623830700,11.31,11.32,11.31,11.32,11.319,7,5
1623830760,11.32,11.35,11.32,11.35,11.344,37,13
1623830820,11.33,11.33,11.33,11.33,11.33,1,1
1623830880,11.32,11.33,11.31,11.33,11.326,13,10
1623830940,11.32,11.32,11.3,11.3,11.311,9,4
1623831000,11.31,11.31,11.31,11.31,11.31,1,1
1623831060,11.31,11.33,11.31,11.32,11.32,8,4
1623831120,11.32,11.32,11.32,11.32,11.32,7,2
1623831180,11.32,11.32,11.32,11.32,11.32,0,0
1623831240,11.34,11.34,11.33,11.34,11.338,8,4
1623831300,11.36,11.37,11.36,11.37,11.361,8,8
1623831360,11.35,11.36,11.35,11.36,11.357,3,2
1623831420,11.38,11.38,11.36,11.36,11.375,5,3
1623831480,11.38,11.38,11.37,11.37,11.38,28,7
1623831540,11.37,11.37,11.37,11.37,11.37,0,0
1623831600,11.4,11.41,11.4,11.4,11.403,15,9
1623831660,11.38,11.38,11.36,11.36,11.372,23,6
1623831720,11.37,11.37,11.36,11.36,11.362,11,3
1623831780,11.36,11.36,11.36,11.36,11.36,0,0
1623831840,11.36,11.36,11.35,11.36,11.356,7,6
1623831900,11.35,11.35,11.34,11.34,11.346,7,5
1623831960,11.34,11.34,11.34,11.34,11.34,0,0
1623832020,11.37,11.37,11.37,11.37,11.37,4,3
1623832080,11.37,11.37,11.37,11.37,11.37,0,0
1623832140,11.38,11.38,11.38,11.38,11.38,1,1
1623832200,11.39,11.39,11.39,11.39,11.39,1,1
1623832260,11.39,11.4,11.39,11.4,11.398,46,7
1623832320,11.4,11.4,11.4,11.4,11.4,0,0
1623832380,11.39,11.39,11.39,11.39,11.39,1,1
1623832440,11.37,11.38,11.37,11.37,11.371,7,6
1623832500,11.37,11.37,11.34,11.34,11.349,13,7
1623832560,11.34,11.34,11.33,11.33,11.331,25,5
1623832620,11.33,11.33,11.33,11.33,11.33,0,0
1623832680,11.35,11.35,11.35,11.35,11.35,2,1
1623832740,11.35,11.35,11.35,11.35,11.35,0,0
1623832800,11.35,11.35,11.35,11.35,11.35,0,0
1623832860,11.35,11.35,11.35,11.35,11.35,1,1
1623832920,11.34,11.34,11.32,11.32,11.326,22,7
1623832980,11.32,11.33,11.31,11.33,11.313,10,3
1623833040,11.33,11.33,11.33,11.33,11.33,0,0
1623833100,11.32,11.32,11.31,11.31,11.312,5,4
1623833160,11.32,11.32,11.3,11.3,11.307,17,7
1623833220,11.3,11.32,11.3,11.32,11.304,4,4
1623833280,11.3,11.3,11.3,11.3,11.3,2,2
1623833340,11.3,11.3,11.3,11.3,11.3,6,6
1623833400,11.3,11.3,11.3,11.3,11.3,1,1
1623833460,11.3,11.3,11.3,11.3,11.3,2,1
1623833520,11.31,11.31,11.31,11.31,11.31,1,1
1623833580,11.32,11.32,11.32,11.32,11.32,10,1
1623833640,11.32,11.32,11.32,11.32,11.32,0,0
1623833700,11.32,11.32,11.32,11.32,11.32,0,0
1623833760,11.32,11.32,11.32,11.32,11.32,0,0
1623833820,11.35,11.4,11.35,11.37,11.381,51,20
1623833880,11.4,11.4,11.39,11.4,11.397,9,3
1623833940,11.4,11.4,11.4,11.4,11.4,0,0
1623834000,11.4,11.4,11.4,11.4,11.4,0,0
1623834060,11.39,11.39,11.39,11.39,11.39,2,1
1623834120,11.37,11.38,11.37,11.38,11.375,2,2
1623834180,11.38,11.38,11.38,11.38,11.38,0,0
1623834240,11.38,11.38,11.38,11.38,11.38,0,0
1623834300,11.39,11.4,11.39,11.4,11.397,5,3
1623834360,11.41,11.46,11.41,11.46,11.448,79,25
1623834420,11.46,11.46,11.46,11.46,11.46,0,0
1623834480,11.44,11.44,11.44,11.44,11.44,4,3
1623834540,11.44,11.44,11.44,11.44,11.44,2,2
1623834600,11.45,11.45,11.44,11.45,11.448,10,8
1623834660,11.46,11.46,11.44,11.44,11.445,34,10
1623834720,11.39,11.39,11.35,11.35,11.375,11,10
1623834780,11.35,11.35,11.35,11.35,11.35,0,0
1623834840,11.35,11.35,11.35,11.35,11.35,0,0
1623834900,11.35,11.35,11.35,11.35,11.35,0,0
1623834960,11.35,11.35,11.35,11.35,11.35,0,0
1623835020,11.35,11.35,11.35,11.35,11.35,0,0
1623835080,11.35,11.35,11.35,11.35,11.35,0,0
1623835140,11.35,11.35,11.35,11.35,11.35,1,1
1623835200,11.38,11.39,11.38,11.39,11.388,4,4
1623835260,11.4,11.4,11.4,11.4,11.4,1,1
1623835320,11.4,11.4,11.4,11.4,11.4,0,0
1623835380,11.43,11.45,11.43,11.44,11.44,95,15
1623835440,11.43,11.44,11.43,11.44,11.435,2,2
1623835500,11.43,11.43,11.43,11.43,11.43,16,15
1623835560,11.43,11.43,11.43,11.43,11.43,4,4
1623835620,11.43,11.43,11.43,11.43,11.43,0,0
1623835680,11.43,11.43,11.43,11.43,11.43,0,0
1623835740,11.43,11.43,11.42,11.42,11.425,2,2
1623835800,11.42,11.42,11.42,11.42,11.42,0,0
1623835860,11.42,11.42,11.42,11.42,11.42,4,2
1623835920,11.42,11.44,11.42,11.44,11.426,6,3
1623835980,11.44,11.44,11.44,11.44,11.44,0,0
1623836040,11.44,11.44,11.44,11.44,11.44,0,0
1623836100,11.44,11.44,11.44,11.44,11.44,0,0
1623836160,11.4,11.4,11.4,11.4,11.4,6,5
1623836220,11.4,11.4,11.4,11.4,11.4,0,0
1623836280,11.4,11.4,11.4,11.4,11.4,0,0
1623836340,11.43,11.43,11.42,11.42,11.424,2,2
1623836400,11.42,11.43,11.42,11.43,11.426,5,5
1623836460,11.44,11.44,11.43,11.43,11.436,2,2
1623836520,11.44,11.45,11.44,11.44,11.448,19,4
1623836580,11.43,11.43,11.43,11.43,11.43,1,1
1623836640,11.43,11.43,11.43,11.43,11.43,0,0
1623836700,11.44,11.44,11.43,11.43,11.435,2,2
1623836760,11.44,11.44,11.44,11.44,11.44,5,2
1623836820,11.4,11.44,11.4,11.44,11.431,14,7
1623836880,11.44,11.44,11.44,11.44,11.44,16,9
1623836940,11.44,11.45,11.44,11.45,11.449,21,12
1623837000,11.46,11.46,11.46,11.46,11.46,5,1
1623837060,11.46,11.46,11.45,11.45,11.455,2,2
1623837120,11.46,11.47,11.46,11.46,11.46,51,9
1623837180,11.47,11.48,11.47,11.48,11.479,9,3
1623837240,11.48,11.48,11.48,11.48,11.48,5,5
1623837300,11.49,11.49,11.49,11.49,11.49,1,1
1623837360,11.49,11.49,11.49,11.49,11.49,1,1
1623837420,11.49,11.49,11.49,11.49,11.49,0,0
1623837480,11.47,11.47,11.46,11.46,11.467,3,2
1623837540,11.46,11.48,11.45,11.48,11.475,31,24
1623837600,11.46,11.49,11.45,11.48,11.476,14,9
1623837660,11.47,11.49,11.46,11.49,11.466,9,9
1623837720,11.49,11.49,11.46,11.46,11.476,4,4
1623837780,11.46,11.46,11.46,11.46,11.46,6,2
1623837840,11.46,11.49,11.45,11.45,11.476,25,18
1623837900,11.47,11.49,11.47,11.49,11.48,3,3
1623837960,11.49,11.49,11.45,11.45,11.477,3,2
1623838020,11.48,11.48,11.48,11.48,11.48,1,1
1623838080,11.48,11.48,11.48,11.48,11.48,0,0
1623838140,11.48,11.48,11.48,11.48,11.48,0,0
