date,open,high,low,close,average,volume,count
20210106,19.47,20.98,19.1,20.85,20.499,57789,18298
20210107,20.82,21.58,20.15,20.75,20.731,38468,11967
20210108,20.8,21.14,19.7,20.16,20.256,53801,16194
20210111,20.15,20.35,19.14,19.8,19.737,39097,15039
20210112,19.85,21.0,19.6,20.8,20.55,55112,14356
20210113,21.0,24.61,20.8,24.25,23.013,100913,34312
20210114,24.25,28.48,23.78,27.35,26.711,132820,43193
20210115,27.11,28.15,24.4,24.75,25.548,88231,33181
20210119,24.8,26.99,24.8,26.0,26.097,41647,14702
20210120,26.1,26.64,25.6,25.75,25.991,30900,9138
20210121,26.0,26.15,24.45,25.05,25.184,28250,10774
20210122,24.48,25.17,23.9,24.75,24.435,24657,9111
20210125,24.82,29.37,24.82,26.5,27.542,85814,30780
20210126,26.7,27.97,26.5,27.5,27.245,37256,10333
20210127,27.11,31.49,25.8,29.02,29.616,82492,30155
20210128,29.05,32.85,27.5,29.24,29.949,56324,19848
20210129,27.8,30.4,27.8,29.8,29.63,35979,12612
20210201,30.53,32.58,30.18,31.8,31.417,26142,9762
20210202,32.0,32.32,28.28,29.6,29.556,39558,13540
20210203,29.42,30.45,28.87,29.2,29.526,16493,6600
20210204,28.8,29.67,28.52,29.35,29.304,12352,5096
20210205,29.3,30.0,28.4,28.7,29.208,22907,9116
20210208,28.72,29.9,27.3,28.15,28.079,30323,10273
20210209,28.15,30.25,27.53,29.14,29.368,19873,7974
20210210,28.78,30.88,28.31,28.85,29.262,20982,7807
20210211,28.68,29.75,27.94,28.08,28.751,17219,5924
20210212,28.31,28.63,27.35,27.8,27.81,14228,4671
20210216,27.45,28.77,26.37,26.5,27.313,28805,11334
20210217,26.72,27.29,24.14,24.44,24.919,69437,27614
20210218,24.6,24.63,22.1,22.35,22.706,73871,27552
20210219,22.5,23.29,21.25,22.6,21.89,74160,26220
20210222,22.5,22.73,21.46,22.04,21.987,40195,14538
20210223,22.0,22.0,19.77,21.5,20.801,40149,13198
20210224,21.17,22.35,20.28,20.45,20.612,49348,16051
20210225,20.51,20.9,18.6,18.6,19.695,72533,24813
20210226,18.85,19.8,18.08,19.5,19.012,47562,19788
