date,open,high,low,close,average,volume,count
1631174400,8.93,8.93,8.93,8.93,8.93,1,1
1631175300,8.9,8.91,8.8,8.8,8.8323,36,4
1631176200,8.71,8.71,8.71,8.71,8.71,2,1
1631177100,8.77,8.77,8.77,8.77,8.77,1,1
1631178000,8.77,8.77,8.77,8.77,8.77,0,0
1631178900,8.77,8.77,8.77,8.77,8.77,0,0
1631179800,8.77,8.77,8.77,8.77,8.77,0,0
1631180700,8.77,8.77,8.77,8.77,8.77,0,0
1631181600,8.77,8.77,8.77,8.77,8.77,0,0
1631182500,8.77,8.77,8.77,8.77,8.77,0,0
1631183400,8.89,9.0,8.89,9.0,8.92958,13,5
1631184300,9.1,9.1,9.1,9.1,9.1,88,2
1631185200,8.9,8.98,8.9,8.98,8.93194,7,6
1631186100,8.98,8.98,8.98,8.98,8.98,0,0
1631187000,8.98,8.98,8.98,8.98,8.98,0,0
1631187900,8.98,8.98,8.98,8.98,8.98,0,0
1631188800,8.9799,8.98,8.819,8.95,8.91449,84,21
1631189700,8.9,8.9,8.9,8.9,8.9,5,2
1631190600,8.87,8.92,8.86,8.92,8.86151,95,3
1631191500,8.9,8.93,8.86,8.93,8.91318,98,10
1631192400,8.93,8.93,8.9,8.91,8.90781,137,21
1631193300,8.91,8.93,8.9,8.9,8.90328,183,39
1631194200,8.9,8.9,8.71,8.76,8.78613,3563,1122
1631195100,8.76,8.85,8.65,8.8087,8.71339,5372,1614
1631196000,8.805,8.88,8.76,8.805,8.8144,2687,1185
1631196900,8.8,8.87,8.745,8.86,8.80925,1710,810
1631197800,8.86,9.07,8.86,8.9814,8.99291,5417,1679
1631198700,9.0,9.0309,8.96,8.9657,8.99763,1794,807
1631199600,8.965,9.07,8.965,9.04,9.03848,2156,786
1631200500,9.04,9.0599,8.955,8.97,8.99986,1563,719
1631201400,8.9786,9.02,8.95,9.01,8.97814,1353,489
1631202300,9.02,9.03,8.97,9.0212,9.00294,926,366
1631203200,9.025,9.2,9.01,9.141,9.11897,4162,898
1631204100,9.1401,9.23,9.1,9.1412,9.15706,3155,1084
1631205000,9.14,9.19,9.1109,9.12,9.15496,1807,576
1631205900,9.115,9.1211,9.06,9.081,9.0912,1258,542
1631206800,9.0885,9.1,9.06,9.1,9.07989,854,345
1631207700,9.0987,9.1199,8.995,9.04,9.03812,1650,575
1631208600,9.05,9.06,9.0,9.04,9.01954,820,320
1631209500,9.035,9.06,9.02,9.04,9.03995,704,290
1631210400,9.0388,9.05,9.0,9.0378,9.02694,869,420
1631211300,9.04,9.05,9.0,9.0199,9.02041,812,392
1631212200,9.015,9.025,8.995,9.01,9.00675,691,369
1631213100,9.0001,9.03,9.0001,9.02,9.0171,477,168
1631214000,9.02,9.075,9.02,9.045,9.05197,1198,390
1631214900,9.0424,9.075,9.04,9.075,9.05522,581,258
1631215800,9.07,9.14,9.06,9.102,9.10751,1411,621
1631216700,9.1006,9.115,9.03,9.05,9.06367,3760,1718
1631217600,9.04,9.06,9.01,9.01,9.04003,1357,16
1631218500,9.02,9.05,9.01,9.05,9.03441,37,9
1631219400,9.04,9.05,9.02,9.03,9.03633,12,9
1631220300,9.03,9.0399,9.03,9.0399,9.0344,2,2
1631221200,9.03,9.03,9.02,9.03,9.02298,52,8
1631222100,9.02,9.04,9.02,9.04,9.03651,10,4
1631223000,9.04,9.04,9.03,9.03,9.03686,20,9
1631223900,9.03,9.04,9.03,9.03,9.03638,20,7
1631224800,9.04,9.04,9.02,9.04,9.03636,19,5
1631225700,9.04,9.04,9.02,9.02,9.02278,50,9
1631226600,9.04,9.04,9.02,9.02,9.0358,18,3
1631227500,9.04,9.04,9.04,9.04,9.04,2,2
1631228400,9.03,9.03,9.03,9.03,9.03,6,3
1631229300,9.04,9.04,9.04,9.04,9.04,2,1
1631230200,9.04,9.04,9.04,9.04,9.04,89,9
1631231100,9.03,9.04,9.0,9.01,9.02725,88,16
1631260800,9.03,9.04,9.03,9.04,9.03858,15,2
1631261700,9.05,9.05,9.05,9.05,9.05,1,1
