date,open,high,low,close,average,volume,count
1628688600,23.66,23.66,23.57,23.63,23.62,29,20
1628688601,23.66,23.77,23.55,23.61,23.614,1827,52
1628688602,23.68,23.76,23.61,23.61,23.67,45,10
1628688603,23.59,23.71,23.59,23.7,23.674,5,5
1628688604,23.67,23.69,23.66,23.68,23.676,40,6
1628688605,23.66,23.67,23.66,23.67,23.665,65,8
1628688606,23.67,23.78,23.66,23.72,23.696,26,17
1628688607,23.72,23.72,23.72,23.72,23.72,0,0
1628688608,23.69,23.71,23.68,23.71,23.689,6,2
1628688609,23.69,23.69,23.67,23.67,23.677,16,15
1628688610,23.71,23.71,23.68,23.7,23.707,29,4
1628688611,23.7,23.7,23.7,23.7,23.7,0,0
1628688612,23.68,23.75,23.67,23.75,23.702,42,27
1628688613,23.72,23.72,23.71,23.71,23.716,12,3
1628688614,23.7,23.75,23.7,23.75,23.742,13,8
1628688615,23.75,23.79,23.74,23.79,23.77,28,18
1628688616,23.79,23.79,23.79,23.79,23.79,0,0
1628688617,23.82,23.83,23.82,23.82,23.822,5,5
1628688618,23.89,23.9,23.89,23.89,23.898,9,4
1628688619,23.85,23.9,23.84,23.9,23.873,2,2
1628688620,23.9,23.9,23.9,23.9,23.9,1,1
1628688621,23.89,23.89,23.88,23.89,23.887,10,1
1628688622,23.89,23.89,23.88,23.89,23.89,0,0
1628688623,23.86,23.95,23.81,23.89,23.876,69,31
1628688624,23.95,24.12,23.95,24.1,24.024,163,52
1628688625,24.03,24.15,24.03,24.04,24.132,26,9
1628688626,24.02,24.06,24.02,24.05,24.037,20,2
1628688627,24.08,24.4,24.06,24.4,24.243,96,34
1628688628,24.26,24.89,24.16,24.88,24.584,239,84
1628688629,24.58,24.88,24.58,24.88,24.81,8,4
1628688630,24.79,24.87,24.58,24.66,24.716,11,9
1628688631,24.54,24.86,24.54,24.86,24.7,2,2
1628688632,24.55,24.87,24.54,24.87,24.599,6,2
1628688633,24.59,24.59,24.59,24.59,24.59,1,1
1628688634,24.6,24.61,24.6,24.6,24.601,4,1
1628688635,24.59,24.76,24.58,24.75,24.665,20,2
1628688636,24.43,24.44,24.43,24.43,24.431,1,1
1628688637,24.43,24.44,24.43,24.43,24.43,0,0
1628688638,24.61,24.61,24.6,24.61,24.606,1,1
1628688639,24.47,24.53,24.46,24.53,24.508,3,2
1628688640,24.31,24.32,24.31,24.31,24.31,3,1
1628688641,24.31,24.31,24.31,24.31,24.31,10,1
1628688642,24.53,24.63,24.31,24.62,24.544,16,4
1628688643,24.53,24.74,24.52,24.74,24.549,9,2
1628688644,24.38,24.74,24.37,24.54,24.497,6,3
1628688645,24.44,24.45,24.44,24.44,24.444,12,1
1628688646,24.56,24.71,24.56,24.71,24.635,2,2
1628688647,24.71,24.71,24.64,24.65,24.649,51,2
1628688648,24.65,24.65,24.64,24.65,24.65,0,0
1628688649,24.65,24.65,24.64,24.65,24.65,0,0
1628688650,24.52,24.54,24.48,24.54,24.498,20,6
1628688651,24.6,24.6,24.51,24.58,24.563,3,3
1628688652,24.55,24.71,24.55,24.68,24.641,20,11
1628688653,24.61,24.69,24.61,24.69,24.679,12,3
1628688654,24.69,24.72,24.66,24.72,24.696,14,4
1628688655,24.74,24.76,24.49,24.49,24.696,113,34
1628688656,24.61,24.61,24.56,24.56,24.585,19,10
1628688657,24.5,24.53,24.5,24.52,24.51,2,2
1628688658,24.5,24.61,24.5,24.61,24.57,30,12
1628688659,24.59,24.59,24.55,24.55,24.582,4,2
1628688660,24.6,24.6,24.55,24.55,24.58,11,4
1628688661,24.61,24.61,24.55,24.61,24.582,10,4
1628688662,24.61,24.61,24.59,24.59,24.609,44,10
1628688663,24.61,24.61,24.55,24.55,24.596,4,2
1628688664,24.51,24.56,24.51,24.55,24.54,3,2
1628688665,24.55,24.6,24.49,24.53,24.532,55,32
1628688666,24.5,24.55,24.5,24.55,24.534,18,16
1628688667,24.55,24.55,24.5,24.55,24.542,41,4
1628688668,24.58,24.58,24.55,24.55,24.562,4,4
1628688669,24.55,24.55,24.55,24.55,24.55,0,0
1628688670,24.51,24.56,24.48,24.55,24.522,47,33
1628688671,24.55,24.58,24.55,24.55,24.553,9,8
1628688672,24.55,24.55,24.55,24.55,24.55,7,5
1628688673,24.5,24.55,24.5,24.5,24.525,15,7
1628688674,24.55,24.55,24.55,24.55,24.55,12,4
1628688675,24.55,24.55,24.55,24.55,24.55,5,5
1628688676,24.55,24.56,24.53,24.53,24.545,21,12
1628688677,24.53,24.54,24.53,24.53,24.53,0,0
1628688678,24.55,24.58,24.47,24.5,24.531,43,21
1628688679,24.43,24.43,24.41,24.41,24.422,3,3
1628688680,24.4,24.41,24.22,24.22,24.338,20,12
1628688681,24.24,24.24,24.21,24.21,24.226,7,4
1628688682,24.37,24.39,24.37,24.39,24.385,4,2
1628688683,24.39,24.39,24.39,24.39,24.39,0,0
1628688684,24.39,24.39,24.39,24.39,24.39,1,1
1628688685,24.4,24.4,24.39,24.4,24.399,5,1
1628688686,24.29,24.29,24.28,24.29,24.285,1,1
1628688687,24.29,24.39,24.28,24.39,24.373,6,2
1628688688,24.34,24.39,24.33,24.39,24.364,2,2
1628688689,24.29,24.29,24.28,24.29,24.285,11,1
1628688690,24.3,24.53,24.3,24.52,24.402,57,47
1628688691,24.29,24.61,24.28,24.61,24.593,37,11
1628688692,24.61,24.61,24.61,24.61,24.61,0,0
1628688693,24.61,24.61,24.61,24.61,24.61,0,0
