date,open,high,low,close,average,volume,count
20210615,26.75,27.0,25.72,26.76,26.357,226732,79495
20210616,26.65,26.76,25.45,25.6,25.919,293792,100710
20210617,25.77,25.87,23.26,23.98,24.157,435169,154611
20210618,23.91,24.32,22.5,22.54,23.136,338077,117070
20210621,22.86,23.72,22.52,23.48,23.334,220546,78401
20210622,23.31,23.7,22.91,23.04,23.175,180808,62462
20210623,23.13,24.17,23.13,23.52,23.819,202622,66403
20210624,23.6,24.54,23.37,24.35,24.028,282604,87831
20210625,24.59,24.85,23.64,23.79,23.848,499398,71511
20210628,23.71,23.96,22.96,23.21,23.283,171835,58902
20210629,23.29,23.92,23.23,23.46,23.575,146894,44373
20210630,23.4,24.05,23.12,24.03,23.693,118913,36307
20210701,24.1,24.73,23.21,24.05,24.141,152641,49129
20210702,24.0,24.39,23.71,24.03,24.08,143618,45616
20210706,24.05,24.25,22.3,22.35,22.834,213119,69309
20210707,22.35,23.37,22.35,22.97,22.895,208653,69429
20210708,22.55,22.84,21.59,22.53,22.285,181969,65778
20210709,22.69,24.61,22.69,24.6,24.163,223503,74994
20210712,24.48,25.28,23.78,25.14,24.817,172007,53894
20210713,25.19,25.2,24.11,24.11,24.436,152137,48802
20210714,24.16,24.9,23.21,23.27,23.808,143102,50512
20210715,23.68,23.88,22.81,23.19,23.364,141975,46248
20210716,23.21,23.41,21.79,21.88,22.274,179514,57128
20210719,21.89,21.9,20.54,21.61,21.156,238705,91021
20210720,21.8,22.25,21.05,22.18,21.895,171220,56088
20210721,22.12,23.3,22.12,23.29,22.915,149735,55859
20210722,23.28,23.33,22.15,23.15,22.825,158969,58279
20210723,23.07,23.35,22.58,23.02,22.947,106746,36599
20210726,22.8,24.28,22.55,24.27,23.883,141377,51701
20210727,24.0,24.14,23.35,23.69,23.673,134936,46645
20210728,24.0,24.89,23.38,24.79,24.116,173536,60041
20210729,24.79,26.1,24.72,25.24,25.553,236922,84002
20210730,25.25,26.68,25.01,26.34,26.227,243862,82186
20210802,26.55,26.76,24.96,25.01,25.551,212405,73135
20210803,25.1,25.98,24.55,25.64,25.362,162608,60219
20210804,25.82,26.1,25.14,25.27,25.562,114352,42700
20210805,25.2,25.78,25.11,25.35,25.429,101340,37117
20210806,25.4,26.25,25.34,25.89,25.87,127309,45558
20210809,25.88,27.19,25.59,27.18,26.725,155920,55478
20210810,27.15,29.0,26.93,28.87,28.315,310646,98221
20210811,28.8,29.0,27.65,28.2,28.247,224103,81130
20210812,28.2,28.3,27.25,28.0,27.776,144651,53125
20210813,27.98,29.41,27.86,28.88,28.933,209896,68109
20210816,28.41,29.4,27.69,28.95,28.655,200725,63799
20210817,28.88,28.98,27.58,28.14,28.164,183751,60468
20210818,28.2,30.57,27.87,29.98,29.746,348309,118737
20210819,29.13,29.15,26.91,27.13,27.628,270065,94802
20210820,27.1,28.04,26.63,27.03,27.148,170693,56903
20210823,27.09,27.85,26.94,27.3,27.417,168441,52757
20210824,27.57,28.49,27.3,28.12,28.076,141364,45585
20210825,27.85,28.36,27.21,27.29,27.767,128046,42452
20210826,27.31,27.59,26.37,26.5,26.927,149017,55918
20210827,26.78,27.97,26.72,27.55,27.582,140138,46662
20210830,26.95,28.1,26.95,27.06,27.501,122967,41278
20210831,27.05,27.17,26.27,26.72,26.575,148605,55184
20210901,26.72,27.35,25.88,27.03,26.731,202662,64766
20210902,27.12,27.77,26.84,26.95,27.344,138721,43404
20210903,26.94,27.33,26.21,26.25,26.548,138929,48781
20210907,26.23,27.0,26.23,26.55,26.567,111738,39297
20210908,26.47,26.63,25.25,25.34,25.617,139050,47485
20210909,25.39,25.99,25.11,25.71,25.667,118990,44197
20210910,25.95,26.89,25.83,25.88,26.316,197382,64141
20210913,25.88,26.43,24.83,25.46,25.292,213581,67166
20210914,25.39,25.6,24.39,24.42,24.84,162349,59941
20210915,24.56,26.32,24.56,25.95,25.712,218690,69594
20210916,25.89,25.91,24.55,25.09,25.423,146973,50403
20210917,25.3,25.32,23.11,23.33,23.586,484378,160416
20210920,23.14,23.14,21.45,21.81,21.866,307451,109170
20210921,21.82,22.4,20.93,21.26,21.375,324877,100367
20210922,21.51,22.37,21.48,21.67,21.882,276456,92437
20210923,21.83,22.36,21.61,21.95,22.067,205715,66396
20210924,21.87,22.34,21.58,21.86,21.981,136004,42423
20210927,22.07,22.96,21.85,22.91,22.625,189437,59055
20210928,22.8,22.94,22.07,22.42,22.422,170219,63582
20210929,22.88,23.05,21.66,21.89,22.014,176489,60417
20210930,22.01,22.42,21.72,22.07,22.097,165130,51340
20211001,21.8,22.29,21.35,21.75,21.736,276548,72525
20211004,21.85,22.35,21.4,21.94,22.045,191882,63179
20211005,21.95,22.62,21.69,22.47,22.299,166729,50507
20211006,21.61,22.44,20.44,20.57,20.79,416370,128663
20211007,20.6,21.39,20.6,20.81,20.923,246562,77187
20211008,20.82,21.14,20.65,20.67,20.815,129501,42239
20211011,20.93,21.81,20.89,21.36,21.535,184260,56768
20211012,21.28,21.87,21.21,21.79,21.637,149055,44783
20211013,21.7,22.1,21.27,21.49,21.502,126963,38395
20211014,21.6,22.88,21.6,22.63,22.477,219014,68101
20211015,22.55,22.89,22.08,22.14,22.428,174384,51464
20211018,21.71,22.07,20.46,21.83,21.071,339336,101433
20211019,21.99,22.21,21.32,22.08,21.78,179140,53296
20211020,22.0,22.86,21.69,22.43,22.493,203481,56153
20211021,22.26,22.7,21.81,22.14,22.147,195147,56438
20211022,21.93,22.98,21.82,22.83,22.68,251236,81305
20211025,22.96,24.79,22.86,24.64,24.163,277487,88633
20211026,24.6,25.06,23.74,24.3,24.443,230026,78031
20211027,24.26,24.26,23.24,23.47,23.667,184020,55642
20211028,23.52,25.43,22.99,25.07,23.446,208593,64810
20211029,25.02,27.0,24.91,26.46,26.501,646445,204971
20211101,26.27,26.95,25.49,25.69,25.918,245289,87215
20211102,25.51,26.04,24.82,25.88,25.507,211965,73473
20211103,25.89,26.45,25.59,26.38,26.197,148359,53294
20211104,26.45,26.74,26.14,26.5,26.388,141526,55926
20211105,26.18,26.62,25.91,26.15,26.216,134756,51978
20211108,26.43,28.36,26.17,26.8,27.428,278586,87918
20211109,26.55,26.84,25.77,25.92,26.172,145539,54788
20211110,26.11,26.37,25.18,25.3,25.655,133915,41509
20211111,25.66,26.9,25.5,26.85,26.396,153514,53002
20211112,26.5,26.83,26.02,26.25,26.462,134600,40295
20211115,26.06,26.48,25.43,25.77,25.67,134408,43108
20211116,25.74,26.07,24.92,25.29,25.287,118788,36671
20211117,25.05,25.51,24.39,24.45,24.887,115954,36692
20211118,24.67,24.7,23.95,24.33,24.297,186225,39303
20211119,24.23,24.75,23.79,24.51,24.387,111905,37759
20211122,25.01,26.01,24.61,25.53,25.668,181515,58315
20211123,25.52,26.4,25.4,25.52,25.796,127925,46471
20211124,25.53,25.63,24.99,25.15,25.219,89400,30403
20211126,24.5,24.5,23.55,24.11,23.915,96215,35907
20211129,24.03,24.83,23.13,23.27,23.569,148644,51059
20211130,22.97,23.93,22.36,22.66,22.911,172923,57204
20211201,23.27,23.68,22.31,22.43,23.018,169923,64800
20211202,22.61,23.11,22.2,22.36,22.603,193507,65296
20211203,22.38,22.8,22.05,22.56,22.453,166750,67144
20211206,22.99,23.18,22.37,22.72,22.831,128807,43188
20211207,23.1,24.04,23.1,23.66,23.695,128463,48173
20211208,23.52,23.84,23.01,23.63,23.544,98319,34039
20211209,23.61,23.61,22.88,23.07,23.15,114260,41383
20211210,23.12,23.5,22.3,22.66,22.682,110562,42347
20211213,22.95,23.0,21.96,22.18,22.256,108285,40367
