date,open,high,low,close,average,volume,count
1641393000,24.97,24.97,24.97,24.97,24.97,1,1
1641393001,24.97,24.97,24.97,24.97,24.97,1,1
1641393002,24.97,24.97,24.97,24.97,24.97,0,0
1641393003,24.99,24.99,24.99,24.99,24.99,11,5
1641393004,25.0,25.0,25.0,25.0,25.0,11,6
1641393005,25.0,25.0,24.98,24.98,24.99,2,2
1641393006,25.0,25.0,25.0,25.0,25.0,1,1
1641393007,25.0,25.0,24.99,24.99,24.995,2,2
1641393008,24.99,24.99,24.99,24.99,24.99,0,0
1641393009,24.99,24.99,24.99,24.99,24.99,0,0
1641393010,25.0,25.0,25.0,25.0,25.0,2,2
1641393011,25.0,25.0,25.0,25.0,25.0,0,0
1641393012,25.0,25.0,25.0,25.0,25.0,0,0
1641393013,25.0,25.0,25.0,25.0,25.0,0,0
1641393014,25.0,25.0,25.0,25.0,25.0,0,0
1641393015,25.0,25.0,25.0,25.0,25.0,0,0
1641393016,25.01,25.01,25.0,25.0,25.009,11,6
1641393017,25.0,25.01,25.0,25.01,25.005,2,2
1641393018,25.01,25.01,25.01,25.01,25.01,0,0
1641393019,25.01,25.01,25.01,25.01,25.01,4,2
1641393020,25.01,25.01,25.01,25.01,25.01,0,0
1641393021,25.01,25.01,25.01,25.01,25.01,0,0
1641393022,25.01,25.01,25.01,25.01,25.01,0,0
1641393023,25.01,25.03,25.01,25.01,25.016,37,18
1641393024,25.01,25.03,24.99,24.99,25.014,12,9
1641393025,24.99,24.99,24.99,24.99,24.99,0,0
1641393026,25.01,25.01,25.0,25.0,25.01,21,13
1641393027,25.01,25.03,25.0,25.01,25.017,15,12
1641393028,25.01,25.01,25.01,25.01,25.01,6,5
1641393029,25.01,25.01,25.01,25.01,25.01,0,0
1641393030,25.01,25.01,25.01,25.01,25.01,1,1
1641393031,25.01,25.01,25.0,25.01,25.009,18,11
1641393032,25.02,25.03,25.01,25.01,25.02,10,9
1641393033,25.03,25.03,25.03,25.03,25.03,2,2
1641393034,25.03,25.03,25.03,25.03,25.03,0,0
1641393035,25.05,25.05,25.04,25.05,25.048,13,7
1641393036,25.05,25.05,24.99,25.03,25.002,4118,148
1641393037,25.04,25.04,25.02,25.03,25.033,52,21
1641393038,25.04,25.06,25.03,25.04,25.041,137,47
1641393039,25.05,25.05,25.04,25.05,25.047,16,9
1641393040,25.06,25.08,25.06,25.06,25.068,41,13
1641393041,25.08,25.08,25.05,25.06,25.073,24,9
