date,open,high,low,close,average,volume,count
1626184800,4.105,4.11,4.1,4.11,4.10701,216,51
1626184801,4.105,4.12,4.1,4.115,4.10977,867,107
1626184802,4.115,4.12,4.11,4.12,4.1179,230,42
1626184803,4.12,4.13,4.11,4.12,4.12042,219,51
1626184804,4.12,4.12,4.11,4.115,4.11539,236,51
1626184805,4.118,4.1193,4.1,4.101,4.11327,168,51
1626184806,4.11,4.12,4.1,4.1,4.10622,220,80
1626184807,4.105,4.11,4.1,4.1086,4.10491,128,22
1626184808,4.1,4.105,4.09,4.09,4.09769,557,65
1626184809,4.1,4.1,4.09,4.0993,4.09476,198,40
1626184810,4.09,4.1,4.09,4.095,4.0929,489,68
1626184811,4.0983,4.1,4.09,4.09,4.09124,641,84
1626184812,4.1,4.1,4.07,4.07,4.07826,1462,246
1626184813,4.07,4.08,4.07,4.071,4.07251,308,40
1626184814,4.072,4.08,4.07,4.07,4.0736,198,32
1626184815,4.07,4.08,4.07,4.0782,4.07186,121,26
1626184816,4.07,4.08,4.07,4.075,4.07589,170,16
1626184817,4.075,4.0798,4.07,4.0765,4.07746,163,24
1626184818,4.071,4.08,4.07,4.075,4.07287,95,39
1626184819,4.075,4.0799,4.07,4.0799,4.07359,201,41
1626184820,4.075,4.08,4.07,4.078,4.07518,180,33
1626184821,4.0706,4.08,4.07,4.0701,4.07138,348,44
1626184822,4.08,4.08,4.07,4.0794,4.07151,67,14
1626184823,4.0779,4.0781,4.06,4.065,4.06719,420,47
1626184824,4.06,4.07,4.06,4.06,4.06222,116,23
1626184825,4.0601,4.07,4.06,4.065,4.06317,420,47
1626184826,4.0609,4.0679,4.06,4.0633,4.06322,930,54
1626184827,4.065,4.07,4.06,4.06,4.06076,406,98
1626184828,4.0625,4.07,4.06,4.0665,4.06639,237,64
1626184829,4.06,4.0991,4.06,4.095,4.0749,758,99
1626184830,4.095,4.11,4.09,4.0996,4.09867,771,145
1626184831,4.095,4.11,4.0901,4.1,4.10218,354,57
1626184832,4.09,4.12,4.09,4.1001,4.1074,178,38
1626184833,4.1082,4.11,4.0999,4.1014,4.10512,274,65
1626184834,4.1094,4.11,4.1004,4.105,4.10796,58,20
1626184835,4.1,4.1099,4.1,4.1081,4.10179,114,34
1626184836,4.1,4.11,4.1,4.1,4.10525,220,74
