date,open,high,low,close,average,volume,count
1625126400,2.23,2.39,2.17,2.39,2.26919,2955,753
1625127300,2.39,2.45,2.31,2.31,2.3992,2566,738
1625128200,2.31,2.36,2.26,2.28,2.29564,1319,447
1625129100,2.28,2.32,2.27,2.29,2.29458,1160,307
1625130000,2.29,2.29,2.21,2.25,2.24061,1193,322
1625130900,2.25,2.26,2.23,2.25,2.23885,496,119
1625131800,2.25,2.29,2.24,2.24,2.26205,375,143
1625132700,2.25,2.29,2.23,2.26,2.2591,508,149
1625133600,2.26,2.27,2.24,2.24,2.25304,228,83
1625134500,2.24,2.25,2.23,2.25,2.24283,374,106
1625135400,2.26,2.29,2.25,2.29,2.27119,455,117
1625136300,2.29,2.29,2.26,2.26,2.28115,491,175
1625137200,2.26,2.29,2.2,2.23,2.23639,3636,639
1625138100,2.23,2.23,2.08,2.15,2.13532,7494,1305
1625139000,2.15,2.24,2.14,2.21,2.19103,3509,785
1625139900,2.22,2.22,2.17,2.21,2.19784,1017,324
1625140800,2.21,2.29,2.08,2.22,2.19472,12655,910
1625141700,2.22,2.27,2.21,2.25,2.23984,3133,504
1625142600,2.25,2.33,2.23,2.32,2.28359,4424,726
1625143500,2.31,2.33,2.24,2.2501,2.2909,4475,693
1625144400,2.2501,2.26,2.17,2.19,2.21321,9692,1357
1625145300,2.19,2.24,2.18,2.18,2.2105,5911,1043
1625146200,2.19,2.19,1.97,1.99,2.08964,152290,15614
1625147100,1.99,2.15,1.98,2.0975,2.08105,92121,10010
1625148000,2.0928,2.23,2.09,2.17,2.16921,69316,6960
1625148900,2.1701,2.24,2.17,2.22,2.20791,41426,4671
1625149800,2.22,2.221,2.14,2.15,2.18339,33507,3780
1625150700,2.14,2.15,2.05,2.0682,2.09925,40132,4416
1625151600,2.0666,2.12,2.06,2.065,2.09771,21916,2317
1625152500,2.0605,2.07,2.02,2.0497,2.04758,27090,2658
1625153400,2.05,2.12,2.04,2.11,2.08243,22611,2627
1625154300,2.1062,2.13,2.07,2.085,2.10291,12613,1619
1625155200,2.085,2.14,2.085,2.11,2.10961,10253,1344
1625156100,2.115,2.16,2.11,2.1199,2.13883,20175,2021
1625157000,2.115,2.18,2.09,2.175,2.14175,21603,2119
1625157900,2.17,2.1799,2.1,2.1015,2.13472,19802,2154
1625158800,2.1001,2.11,2.07,2.075,2.08814,12305,1388
1625159700,2.075,2.1,2.05,2.0859,2.0748,18206,2121
1625160600,2.085,2.09,2.06,2.0681,2.0727,8015,941
1625161500,2.0601,2.07,2.04,2.0605,2.05256,14830,1519
1625162400,2.068,2.11,2.05,2.072,2.08601,15452,1378
1625163300,2.0799,2.1,2.05,2.0791,2.07091,7603,1021
1625164200,2.08,2.157,2.07,2.14,2.1165,21962,2089
1625165100,2.1301,2.15,2.08,2.0957,2.10563,23019,2493
1625166000,2.095,2.11,2.06,2.07,2.09422,13288,1621
1625166900,2.065,2.13,2.0601,2.13,2.10069,14125,1354
1625167800,2.1299,2.15,2.11,2.125,2.12938,22030,2534
1625168700,2.1201,2.14,2.09,2.1085,2.12092,19965,2461
1625169600,2.12,2.13,2.04,2.07,2.07891,4330,229
1625170500,2.08,2.09,2.05,2.07,2.0734,2906,203
1625171400,2.07,2.08,2.055,2.06,2.0654,2343,179
1625172300,2.065,2.07,2.06,2.065,2.06337,818,102
1625173200,2.06,2.09,2.06,2.07,2.07095,1379,119
1625174100,2.07,2.0801,2.07,2.08,2.07424,1448,86
1625175000,2.08,2.12,2.07,2.11,2.09602,1442,106
1625175900,2.11,2.11,2.1,2.1,2.10254,1541,106
1625176800,2.1,2.11,2.07,2.08,2.08199,726,59
1625177700,2.08,2.08,2.05,2.07,2.06329,972,71
1625178600,2.07,2.11,2.07,2.1,2.09087,878,63
1625179500,2.09,2.1,2.07,2.09,2.0889,335,35
1625180400,2.09,2.1,2.06,2.06,2.07135,490,48
1625181300,2.06,2.07,2.05,2.07,2.06031,655,63
1625182200,2.06,2.07,2.05,2.07,2.06248,506,36
1625183100,2.06,2.08,2.03,2.08,2.05525,1243,142
1625212800,2.08,2.12,2.04,2.06,2.05911,475,151
1625213700,2.06,2.07,1.99,2.03,2.01895,897,229
1625214600,2.03,2.03,2.01,2.02,2.02143,377,73
1625215500,2.02,2.03,2.0,2.02,2.01879,527,129
1625216400,2.03,2.03,2.0,2.03,2.00906,593,150
1625217300,2.02,2.03,2.0,2.0,2.00717,254,88
1625218200,2.0,2.01,1.99,2.0,1.99919,290,80
1625219100,2.0,2.0,1.99,1.99,1.99562,391,106
1625220000,1.99,1.99,1.96,1.96,1.97672,808,221
1625220900,1.96,2.0,1.96,1.98,1.98416,332,113
1625221800,1.98,1.98,1.93,1.94,1.95477,717,214
1625222700,1.94,1.97,1.92,1.97,1.93991,1392,287
1625223600,1.97,2.07,1.93,2.02,2.01622,3821,960
1625224500,2.03,2.08,2.02,2.07,2.05837,2572,467
1625225400,2.06,2.07,2.01,2.01,2.02495,1094,267
1625226300,2.02,2.04,2.0,2.04,2.01637,720,196
1625227200,1.975,2.08,1.975,2.02,2.01891,4060,399
1625228100,2.01,2.02,1.97,1.99,1.98803,3876,443
1625229000,1.99,2.05,1.95,2.02,1.98226,5261,761
1625229900,2.02,2.03,1.98,1.99,2.00315,1527,331
1625230800,1.9899,2.0,1.96,2.0,1.97503,5284,649
1625231700,2.0,2.03,1.98,2.03,1.99875,3692,579
1625232600,2.03,2.07,1.97,2.0172,2.00743,45121,5082
1625233500,2.015,2.03,1.9,1.9589,1.95282,45068,4605
1625234400,1.9511,1.96,1.85,1.8699,1.89096,51086,5401
1625235300,1.87,1.93,1.85,1.908,1.88654,27437,2684
1625236200,1.9078,1.91,1.82,1.87,1.85579,31170,3081
1625237100,1.87,1.92,1.85,1.8701,1.88127,23653,2001
1625238000,1.8701,1.9,1.84,1.9,1.87498,16612,1444
1625238900,1.9,1.9,1.89,1.895,1.89518,8870,726
1625239800,1.9,1.94,1.89,1.9371,1.91876,19177,1538
1625240700,1.93,1.94,1.9,1.9,1.91758,11277,1037
1625241600,1.905,1.91,1.87,1.89,1.88867,9565,889
1625242500,1.887,1.9,1.86,1.8787,1.87578,9878,789
1625243400,1.87,1.88,1.85,1.853,1.86583,7851,921
1625244300,1.855,1.87,1.8301,1.84,1.85236,13190,1488
1625245200,1.84,1.87,1.83,1.85,1.84589,12763,1149
1625246100,1.8466,1.87,1.84,1.86,1.86308,5871,597
1625247000,1.862,1.87,1.85,1.86,1.8573,5003,501
1625247900,1.8554,1.89,1.8501,1.8879,1.87829,10433,818
1625248800,1.885,1.9,1.88,1.9,1.89031,5633,466
1625249700,1.8914,1.9,1.87,1.8984,1.89256,5726,571
1625250600,1.9,1.9,1.88,1.885,1.89456,5593,752
1625251500,1.885,1.89,1.87,1.875,1.87944,7019,684
1625252400,1.8714,1.9,1.87,1.9,1.8894,10599,988
1625253300,1.895,1.93,1.89,1.925,1.91314,11224,931
1625254200,1.9221,1.955,1.89,1.9047,1.92927,21935,2086
1625255100,1.905,1.91,1.88,1.89,1.89391,18375,2293
1625256000,1.88,1.91,1.85,1.87,1.87816,3293,240
1625256900,1.87,1.88,1.85,1.87,1.86443,2616,151
1625257800,1.87,1.89,1.86,1.89,1.87364,1429,112
1625258700,1.89,1.91,1.87,1.91,1.8919,672,75
1625259600,1.9,1.91,1.89,1.89,1.89631,485,57
1625260500,1.89,1.89,1.87,1.88,1.87628,844,98
1625261400,1.88,1.89,1.85,1.85,1.86463,1267,93
1625262300,1.86,1.86,1.85,1.85,1.85453,1298,104
1625263200,1.855,1.86,1.85,1.86,1.8532,569,47
1625264100,1.86,1.86,1.85,1.85,1.85056,913,50
1625265000,1.845,1.86,1.835,1.835,1.8435,1717,84
1625265900,1.835,1.85,1.83,1.85,1.83758,1126,67
1625266800,1.84,1.86,1.84,1.85,1.84684,990,55
1625267700,1.85,1.85,1.84,1.85,1.84532,366,30
1625268600,1.85,1.85,1.84,1.84,1.84256,551,24
1625269500,1.85,1.8501,1.83,1.85,1.84167,1123,76
1625558400,1.9,1.98,1.86,1.97,1.92458,548,134
1625559300,1.97,1.99,1.95,1.97,1.97497,753,133
1625560200,1.97,1.98,1.9,1.95,1.95047,501,105
1625561100,1.95,1.96,1.9,1.91,1.93485,273,99
1625562000,1.92,1.96,1.91,1.96,1.93758,360,76
1625562900,1.96,2.0,1.95,1.97,1.99116,1242,267
1625563800,1.97,1.98,1.93,1.93,1.955,190,77
1625564700,1.92,1.96,1.92,1.95,1.94678,363,85
1625565600,1.95,1.96,1.94,1.96,1.94944,106,31
1625566500,1.96,1.98,1.95,1.98,1.96454,146,33
1625567400,1.97,1.97,1.96,1.97,1.96347,113,35
1625568300,1.98,1.98,1.96,1.97,1.97497,113,40
1625569200,1.97,1.98,1.9,1.95,1.93409,2582,647
1625570100,1.94,1.95,1.93,1.95,1.93613,573,129
1625571000,1.95,1.96,1.92,1.93,1.94436,1251,214
1625571900,1.94,1.95,1.93,1.93,1.94338,602,143
1625572800,1.9699,1.98,1.9,1.97,1.94516,5486,449
1625573700,1.98,2.05,1.97,2.01,2.0189,7684,1140
1625574600,2.01,2.04,1.96,1.98,2.00421,4628,669
1625575500,1.98,2.04,1.98,2.03,2.02514,3275,514
1625576400,2.03,2.03,2.0,2.01,2.01259,4495,616
1625577300,2.01,2.01,1.98,2.0,1.98922,3355,419
1625578200,2.0,2.12,2.0,2.015,2.06093,85815,10397
1625579100,2.01,2.04,1.97,2.04,2.00666,41459,4237
1625580000,2.0399,2.04,1.99,2.0,2.01845,15636,2271
1625580900,2.0099,2.01,1.95,1.98,1.98053,20259,2411
1625581800,1.98,2.0,1.96,2.0,1.98022,15409,1601
1625582700,1.995,2.0,1.98,1.98,1.99293,10425,1181
1625583600,1.985,1.99,1.955,1.97,1.97507,15461,1722
1625584500,1.965,1.9688,1.93,1.94,1.9488,19855,2007
1625585400,1.94,1.95,1.91,1.9139,1.93057,19117,1711
1625586300,1.9186,1.92,1.88,1.9054,1.89822,18177,1924
1625587200,1.91,1.93,1.9,1.925,1.91279,7037,821
1625588100,1.92,1.96,1.92,1.96,1.9361,9168,782
1625589000,1.96,1.97,1.93,1.9301,1.95353,10134,862
1625589900,1.94,1.95,1.93,1.9479,1.93802,4319,596
1625590800,1.9401,1.97,1.94,1.955,1.95801,6793,698
1625591700,1.9591,1.96,1.92,1.9276,1.93971,4806,565
1625592600,1.924,1.95,1.91,1.945,1.92591,8720,970
1625593500,1.9468,1.95,1.93,1.934,1.93765,3239,289
1625594400,1.93,1.9699,1.92,1.9699,1.9424,8183,729
1625595300,1.97,2.36,1.97,2.235,2.20867,176378,20055
1625596200,2.235,2.37,2.22,2.22,2.29385,128434,15829
1625597100,2.225,2.29,2.18,2.22,2.23094,83985,11841
