date,open,high,low,close,average,volume,count
1626681600,56.91,56.95,56.49,56.51,56.577,44,20
1626682500,56.57,56.65,56.45,56.45,56.562,23,12
1626683400,56.35,56.35,56.29,56.29,56.321,8,6
1626684300,56.13,56.15,55.9,55.9,56.003,66,26
1626685200,55.87,55.98,55.81,55.98,55.858,23,8
1626686100,56.0,56.03,55.91,56.03,55.984,3,3
1626687000,55.91,56.09,55.91,55.93,55.938,13,3
1626687900,55.93,55.93,55.93,55.93,55.93,0,0
1626688800,55.96,55.97,55.96,55.97,55.964,2,2
1626689700,55.96,55.97,55.9,55.97,55.947,6,5
1626690600,55.96,55.96,55.9,55.9,55.907,8,2
1626691500,55.9,55.9,55.9,55.9,55.9,1,1
1626692400,55.99,56.48,55.95,56.03,56.21,453,128
1626693300,56.05,56.05,55.79,55.79,55.937,89,50
1626694200,55.8,55.81,55.46,55.52,55.62,418,134
1626695100,55.6,55.73,55.53,55.6,55.628,73,42
1626696000,56.0,56.36,55.46,55.51,55.801,653,143
1626696900,55.54,55.68,55.5,55.57,55.575,136,82
1626697800,55.6,55.63,55.46,55.52,55.544,135,68
1626698700,55.52,55.73,55.52,55.62,55.668,147,73
1626699600,55.59,55.63,55.45,55.62,55.544,222,95
1626700500,55.61,55.69,55.32,55.58,55.482,317,178
1626701400,55.64,56.2,55.2,55.51,55.576,32248,13037
1626702300,55.51,55.63,55.05,55.15,55.296,16554,8096
1626703200,55.14,55.29,54.89,55.03,55.069,18900,7979
1626704100,55.03,55.21,54.73,54.97,54.97,14806,6697
1626705000,54.97,55.25,54.77,55.25,54.963,14067,6517
1626705900,55.24,55.35,54.72,54.89,55.082,10895,5073
1626706800,54.88,55.16,54.8,55.1,55.008,9132,4261
1626707700,55.11,55.2,54.92,55.01,55.049,9863,4054
1626708600,55.02,55.25,54.98,55.02,55.142,13319,5006
1626709500,55.03,55.26,54.92,55.2,55.068,8845,3185
1626710400,55.2,55.2,54.87,54.88,55.007,7253,3608
1626711300,54.88,54.98,54.83,54.9,54.898,5968,2558
1626712200,54.89,54.89,54.6,54.67,54.771,7100,3316
1626713100,54.67,54.8,54.59,54.77,54.685,9469,4459
1626714000,54.77,54.99,54.72,54.8,54.878,6963,3052
1626714900,54.8,54.87,54.66,54.8,54.761,6332,2998
1626715800,54.79,54.93,54.68,54.72,54.799,10140,4612
1626716700,54.71,54.87,54.65,54.77,54.763,7512,4002
1626717600,54.78,54.99,54.75,54.85,54.858,10042,5299
1626718500,54.86,54.96,54.81,54.91,54.895,7200,3301
