date,open,high,low,close,average,volume,count
1627545600,39.75,39.99,38.47,39.5,39.395,487,163
1627545900,39.28,39.49,39.27,39.37,39.409,242,81
1627546200,39.37,39.37,39.0,39.05,39.181,85,47
1627546500,39.0,39.25,38.87,39.25,39.097,97,31
1627546800,39.12,39.12,38.88,39.0,38.992,117,27
1627547100,39.0,39.08,39.0,39.04,39.033,114,23
1627547400,39.05,39.29,39.05,39.29,39.163,133,41
1627547700,39.22,39.22,39.1,39.1,39.122,41,11
1627548000,39.11,39.21,38.93,38.93,39.067,89,27
1627548300,39.06,39.06,39.0,39.0,39.014,33,10
1627548600,39.03,39.04,39.03,39.04,39.034,3,2
1627548900,39.1,39.11,39.1,39.1,39.101,13,6
1627549200,39.14,39.14,39.1,39.14,39.123,5,3
1627549500,39.14,39.14,39.14,39.14,39.14,0,0
1627549800,39.06,39.06,39.06,39.06,39.06,4,1
1627550100,39.08,39.08,39.04,39.04,39.053,38,14
1627550400,39.06,39.13,39.04,39.13,39.078,29,11
1627550700,39.12,39.12,39.07,39.07,39.113,34,17
1627551000,39.1,39.1,39.1,39.1,39.1,1,1
1627551300,39.11,39.13,39.06,39.13,39.086,17,7
1627551600,39.13,39.2,39.13,39.2,39.163,43,17
1627551900,39.2,39.25,39.19,39.25,39.223,21,7
1627552200,39.25,39.4,39.25,39.4,39.373,34,12
1627552500,39.39,39.39,39.3,39.3,39.301,287,8
1627552800,39.34,39.34,39.23,39.23,39.276,6,4
1627553100,39.22,39.26,39.21,39.26,39.236,15,5
1627553400,39.34,39.44,39.31,39.39,39.363,38,12
1627553700,39.36,39.4,39.36,39.4,39.382,10,4
1627554000,39.45,39.45,39.45,39.45,39.45,1,1
1627554300,39.33,39.33,39.33,39.33,39.33,6,3
1627554600,39.34,39.34,39.3,39.33,39.327,21,9
1627554900,39.25,39.25,39.19,39.2,39.214,66,11
1627555200,39.2,39.2,39.12,39.12,39.181,71,33
1627555500,39.1,39.12,38.91,38.91,39.033,407,53
1627555800,38.96,38.99,38.94,38.94,38.968,10,5
1627556100,39.0,39.05,39.0,39.05,39.04,5,5
1627556400,39.0,39.25,38.8,38.82,39.031,156,67
1627556700,38.9,38.94,38.76,38.76,38.829,60,23
1627557000,38.81,38.81,38.73,38.8,38.792,7,6
1627557300,38.83,38.83,38.8,38.8,38.804,93,20
1627557600,38.85,38.89,38.73,38.76,38.822,37,18
1627557900,38.75,38.75,38.55,38.55,38.706,29,10
1627558200,38.57,38.65,38.56,38.58,38.595,34,16
1627558500,38.56,38.56,38.45,38.45,38.494,34,15
1627558800,38.43,38.64,38.43,38.64,38.572,31,8
1627559100,38.73,38.74,38.73,38.73,38.73,22,5
1627559400,38.73,38.77,38.73,38.77,38.733,14,13
1627559700,38.73,38.73,38.73,38.73,38.73,6,5
1627560000,38.9,39.01,38.5,38.89,38.865,763,88
1627560300,38.8,38.88,38.75,38.75,38.794,25,9
1627560600,38.88,38.88,38.77,38.77,38.825,53,24
1627560900,38.84,38.95,38.72,38.95,38.88,73,32
1627561200,38.88,38.88,38.71,38.79,38.784,45,18
1627561500,38.76,38.76,38.6,38.6,38.702,22,14
1627561800,38.5,38.72,38.5,38.72,38.594,30,15
1627562100,38.7,38.72,38.61,38.61,38.7,55,17
1627562400,38.53,38.75,38.53,38.7,38.709,57,27
1627562700,38.75,38.75,38.69,38.7,38.728,16,8
1627563000,38.62,38.62,38.62,38.62,38.62,10,5
1627563300,38.63,38.63,38.49,38.49,38.548,59,25
1627563600,38.48,38.7,38.48,38.58,38.571,25,16
1627563900,38.58,38.69,38.5,38.62,38.565,50,20
1627564200,38.62,38.7,38.53,38.53,38.634,37,10
1627564500,38.53,38.67,38.45,38.67,38.574,52,21
1627564800,38.66,38.72,38.65,38.71,38.696,136,86
1627565100,38.72,38.95,38.71,38.8,38.833,136,45
1627565400,38.92,38.94,38.03,38.28,38.593,6627,2518
1627565700,38.26,39.26,38.2,39.11,38.733,4706,2312
1627566000,39.15,39.24,38.85,38.85,39.095,3912,2026
1627566300,38.88,39.05,38.71,39.03,38.883,3672,1839
1627566600,39.0,39.17,38.45,38.57,38.93,3469,1563
1627566900,38.58,38.65,38.09,38.24,38.335,2691,1013
1627567200,38.19,38.25,37.55,37.74,37.825,3203,1381
1627567500,37.73,37.74,37.47,37.57,37.606,2364,1168
1627567800,37.55,37.97,37.55,37.86,37.758,2182,1048
1627568100,37.84,38.13,37.68,38.01,37.955,1986,894
1627568400,37.99,38.05,37.82,37.96,37.922,930,508
1627568700,37.95,38.37,37.95,38.31,38.248,1804,739
1627569000,38.32,38.33,38.06,38.23,38.187,891,345
1627569300,38.18,38.33,38.07,38.14,38.193,1002,431
1627569600,38.16,38.28,38.06,38.08,38.15,743,280
1627569900,38.08,38.17,37.95,38.16,38.033,956,384
1627570200,38.17,38.41,38.13,38.37,38.293,1564,538
1627570500,38.34,38.42,38.24,38.34,38.326,745,363
1627570800,38.34,38.48,38.3,38.45,38.406,1035,382
1627571100,38.45,38.47,38.29,38.35,38.382,726,368
1627571400,38.33,38.47,38.3,38.38,38.397,513,208
1627571700,38.4,38.79,38.31,38.72,38.571,1648,691
1627572000,38.73,39.04,38.66,39.01,38.905,2106,879
1627572300,39.0,39.02,38.81,38.95,38.913,1408,615
1627572600,38.94,38.94,38.61,38.62,38.737,1029,357
1627572900,38.65,38.79,38.62,38.68,38.707,912,377
1627573200,38.67,38.82,38.65,38.78,38.748,639,299
1627573500,38.77,38.84,38.64,38.84,38.75,922,380
1627573800,38.84,38.89,38.57,38.63,38.706,769,268
1627574100,38.63,38.65,38.52,38.54,38.586,589,212
1627574400,38.55,38.7,38.51,38.52,38.606,759,337
1627574700,38.53,38.57,38.45,38.56,38.514,697,236
1627575000,38.54,38.56,38.27,38.35,38.385,457,218
1627575300,38.36,38.63,38.33,38.5,38.476,731,244
1627575600,38.51,38.58,38.32,38.36,38.471,494,197
1627575900,38.34,38.37,38.24,38.31,38.3,593,195
1627576200,38.3,38.33,38.17,38.23,38.23,581,216
1627576500,38.24,38.3,38.19,38.2,38.234,264,176
1627576800,38.21,38.23,38.12,38.21,38.175,303,172
1627577100,38.18,38.25,38.09,38.19,38.146,511,229
1627577400,38.19,38.25,38.07,38.18,38.171,230,130
1627577700,38.16,38.39,38.14,38.39,38.253,403,210
1627578000,38.36,38.44,38.3,38.32,38.367,704,223
1627578300,38.32,38.34,38.21,38.31,38.262,453,178
1627578600,38.29,38.35,38.23,38.27,38.281,221,124
1627578900,38.24,38.28,38.18,38.22,38.211,269,164
1627579200,38.23,38.48,38.23,38.41,38.373,637,313
1627579500,38.41,38.42,38.32,38.37,38.366,385,175
1627579800,38.37,38.41,38.26,38.32,38.324,517,160
