date,open,high,low,close,average,volume,count
1638284400,54.1,54.1,54.1,54.1,54.1,1,1
1638284401,54.01,54.14,54.01,54.01,54.047,6,3
1638284402,54.03,54.09,54.03,54.08,54.057,2,2
1638284403,54.15,54.15,54.08,54.08,54.1,17,3
1638284404,54.1,54.14,54.1,54.14,54.127,3,3
1638284405,54.14,54.14,54.14,54.14,54.14,0,0
1638284406,54.14,54.14,54.14,54.14,54.14,0,0
1638284407,54.14,54.14,54.14,54.14,54.14,0,0
1638284408,54.14,54.14,54.14,54.14,54.14,0,0
1638284409,54.09,54.09,54.09,54.09,54.09,1,1
1638284410,54.09,54.09,54.09,54.09,54.09,0,0
1638284411,54.08,54.09,54.03,54.09,54.079,28,11
1638284412,54.09,54.09,54.08,54.09,54.09,0,0
1638284413,54.03,54.04,54.01,54.03,54.026,5,3
1638284414,54.01,54.02,54.01,54.01,54.014,3,1
1638284415,54.0,54.0,54.0,54.0,54.0,1,1
1638284416,54.0,54.05,54.0,54.02,54.023,4,4
1638284417,54.04,54.04,54.04,54.04,54.04,1,1
1638284418,54.05,54.05,54.02,54.02,54.044,5,5
1638284419,54.05,54.05,54.05,54.05,54.05,1,1
1638284420,54.08,54.13,54.05,54.11,54.089,19,15
1638284421,54.13,54.13,54.1,54.1,54.117,3,3
1638284422,54.1,54.1,54.1,54.1,54.1,0,0
1638284423,54.15,54.15,54.12,54.13,54.146,24,11
1638284424,54.12,54.12,54.1,54.1,54.113,3,3
1638284425,54.1,54.1,54.1,54.1,54.1,0,0
1638284426,54.1,54.1,54.1,54.1,54.1,0,0
1638284427,54.13,54.13,54.12,54.13,54.128,20,4
1638284428,54.12,54.14,54.12,54.14,54.13,4,3
1638284429,54.15,54.15,54.15,54.15,54.15,1,1
1638284430,54.15,54.15,54.1,54.1,54.122,13,7
1638284431,54.11,54.13,54.1,54.1,54.113,9,4
1638284432,54.11,54.12,54.1,54.12,54.116,8,6
1638284433,54.1,54.12,54.1,54.12,54.11,2,2
1638284434,54.11,54.12,54.09,54.09,54.099,10,9
1638284435,54.11,54.12,54.1,54.12,54.114,8,5
1638284436,54.11,54.11,54.11,54.11,54.11,2,2
1638284437,54.1,54.11,54.1,54.11,54.105,2,2
1638284438,54.11,54.11,54.11,54.11,54.11,0,0
