date,open,high,low,close,average,volume,count
1638349200,55.5,56.83,55.5,56.5,56.347,746,242
1638350100,56.55,56.75,56.38,56.75,56.524,657,122
1638351000,56.75,57.79,56.75,57.36,57.375,817,347
1638351900,57.39,57.5,57.3,57.45,57.366,411,154
1638352800,57.42,57.49,57.3,57.35,57.354,166,57
1638353700,57.35,57.5,57.31,57.5,57.426,199,60
1638354600,57.57,57.66,57.42,57.49,57.573,97,41
1638355500,57.5,57.5,57.34,57.36,57.411,44,16
1638356400,57.36,57.45,57.3,57.45,57.333,126,35
1638357300,57.42,57.42,57.3,57.4,57.367,56,20
1638358200,57.39,57.42,57.39,57.41,57.403,11,8
1638359100,57.39,57.4,57.33,57.33,57.383,28,12
1638360000,57.32,57.4,57.3,57.31,57.333,427,98
1638360900,57.31,57.31,57.17,57.28,57.262,80,32
1638361800,57.36,57.37,57.01,57.12,57.186,217,57
1638362700,57.01,57.08,56.7,56.83,56.853,297,77
1638363600,57.21,57.4,56.5,56.9,57.035,667,135
1638364500,56.98,57.09,56.7,56.95,56.918,145,60
1638365400,56.9,56.9,56.75,56.75,56.826,91,40
1638366300,56.7,56.7,56.19,56.2,56.48,474,177
1638367200,56.25,56.5,56.19,56.37,56.334,280,137
1638368100,56.38,56.5,56.01,56.05,56.182,1173,386
1638369000,56.08,56.45,53.58,53.92,54.879,34527,11504
1638369900,53.88,54.27,52.73,53.64,53.44,18139,7804
1638370800,53.64,54.34,53.13,53.6,53.831,14126,6040
1638371700,53.61,53.87,53.09,53.75,53.54,7492,2986
1638372600,53.75,54.3,53.43,53.69,53.931,6565,2723
1638373500,53.72,54.33,53.61,54.24,54.053,4230,1846
1638374400,54.23,54.54,53.9,54.25,54.274,4416,1824
1638375300,54.21,54.51,53.56,53.68,54.039,4123,1792
1638376200,53.68,53.82,53.27,53.78,53.502,5135,1720
1638377100,53.78,53.78,53.0,53.02,53.221,5213,1847
1638378000,53.02,53.3,52.92,53.29,53.087,3266,1146
1638378900,53.3,53.45,53.1,53.18,53.256,2207,954
1638379800,53.13,53.55,53.1,53.32,53.311,2265,954
1638380700,53.33,53.41,52.92,52.98,53.023,5273,2218
1638381600,52.98,53.18,52.41,52.61,52.81,5499,2025
1638382500,52.58,52.95,52.52,52.69,52.699,4242,1830
1638383400,52.69,53.0,52.51,52.6,52.781,2309,1084
1638384300,52.59,52.7,52.16,52.64,52.432,2917,1432
1638385200,52.64,52.77,52.23,52.34,52.488,2334,1325
1638386100,52.36,52.7,51.9,52.66,52.218,3435,1365
1638387000,52.62,52.9,52.38,52.4,52.68,2596,1059
1638387900,52.38,52.62,52.13,52.21,52.386,1691,880
1638388800,52.25,52.34,51.46,51.61,51.823,5223,1918
1638389700,51.62,51.65,50.8,51.29,51.127,6360,2502
1638390600,51.25,51.62,50.98,51.56,51.226,5518,2858
1638391500,51.58,51.61,51.0,51.16,51.203,9093,4291
1638392400,51.14,53.86,51.0,51.3,51.212,4820,27
1638393300,51.2,51.32,51.1,51.17,51.172,51,27
1638394200,51.11,51.15,51.01,51.03,51.089,60,28
1638395100,51.14,51.17,51.01,51.02,51.069,36,23
1638396000,51.01,51.1,51.01,51.03,51.045,19,16
1638396900,51.04,51.1,51.04,51.04,51.055,14,5
1638397800,51.1,51.15,51.07,51.09,51.1,28,9
1638398700,51.09,51.21,51.05,51.18,51.13,58,28
1638399600,51.06,51.24,51.06,51.2,51.162,58,24
1638400500,51.22,51.23,51.15,51.18,51.194,100,39
1638401400,51.19,51.39,51.06,51.23,51.222,158,40
